,market,state,url
0,coastal-alabama,alabama,https://www.lennar.com/new-homes/alabama/coastal-alabama
1,huntsville,alabama,https://www.lennar.com/new-homes/alabama/huntsville
2,phoenix,arizona,https://www.lennar.com/new-homes/arizona/phoenix
3,tucson,arizona,https://www.lennar.com/new-homes/arizona/tucson
4,central-california,california,https://www.lennar.com/new-homes/california/central-california
5,inland-empire,california,https://www.lennar.com/new-homes/california/inland-empire
6,la-orange-county,california,https://www.lennar.com/new-homes/california/la-orange-county
7,palm-springs-coachella,california,https://www.lennar.com/new-homes/california/palm-springs-coachella
8,sacramento,california,https://www.lennar.com/new-homes/california/sacramento
9,san-diego,california,https://www.lennar.com/new-homes/california/san-diego
10,san-francisco-bay-area,california,https://www.lennar.com/new-homes/california/san-francisco-bay-area
11,denver,colorado,https://www.lennar.com/new-homes/colorado/denver
12,greater-philadelphia-area,delaware,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area
13,sussex-county,delaware,https://www.lennar.com/new-homes/delaware/sussex-county
14,ft-lauderdale,florida,https://www.lennar.com/new-homes/florida/ft-lauderdale
15,jacksonville-st-augustine,florida,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine
16,miami,florida,https://www.lennar.com/new-homes/florida/miami
17,naples-ft-myers,florida,https://www.lennar.com/new-homes/florida/naples-ft-myers
18,ocala,florida,https://www.lennar.com/new-homes/florida/ocala
19,orlando,florida,https://www.lennar.com/new-homes/florida/orlando
20,palm-beach,florida,https://www.lennar.com/new-homes/florida/palm-beach
21,pensacola,florida,https://www.lennar.com/new-homes/florida/pensacola
22,perdido-key,florida,https://www.lennar.com/new-homes/florida/perdido-key
23,sarasota-manatee,florida,https://www.lennar.com/new-homes/florida/sarasota-manatee
24,space-coast-melbourne,florida,https://www.lennar.com/new-homes/florida/space-coast-melbourne
25,tampa,florida,https://www.lennar.com/new-homes/florida/tampa
26,treasure-coast,florida,https://www.lennar.com/new-homes/florida/treasure-coast
27,chicago,illinois,https://www.lennar.com/new-homes/illinois/chicago
28,central-maryland,maryland,https://www.lennar.com/new-homes/maryland/central-maryland
29,eastern-shore,maryland,https://www.lennar.com/new-homes/maryland/eastern-shore
30,md-dc-metro,maryland,https://www.lennar.com/new-homes/maryland/md-dc-metro
31,southern-maryland,maryland,https://www.lennar.com/new-homes/maryland/southern-maryland
32,minneapolis-st-paul,minnesota,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul
33,charlotte,north-carolina,https://www.lennar.com/new-homes/north-carolina/charlotte
34,greensboro,north-carolina,https://www.lennar.com/new-homes/north-carolina/greensboro
35,raleigh,north-carolina,https://www.lennar.com/new-homes/north-carolina/raleigh
36,wilmington,north-carolina,https://www.lennar.com/new-homes/north-carolina/wilmington
37,new-jersey,new-jersey,https://www.lennar.com/new-homes/new-jersey/new-jersey
38,las-vegas,nevada,https://www.lennar.com/new-homes/nevada/las-vegas
39,reno,nevada,https://www.lennar.com/new-homes/nevada/reno
40,adams-county,pennsylvania,https://www.lennar.com/new-homes/pennsylvania/adams-county
41,york-county,pennsylvania,https://www.lennar.com/new-homes/pennsylvania/york-county
42,charleston,south-carolina,https://www.lennar.com/new-homes/south-carolina/charleston
43,columbia,south-carolina,https://www.lennar.com/new-homes/south-carolina/columbia
44,greenville,south-carolina,https://www.lennar.com/new-homes/south-carolina/greenville
45,hilton-head-bluffton,south-carolina,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton
46,myrtle-beach,south-carolina,https://www.lennar.com/new-homes/south-carolina/myrtle-beach
47,austin-central-texas,texas,https://www.lennar.com/new-homes/texas/austin-central-texas
48,dallas-ft-worth,texas,https://www.lennar.com/new-homes/texas/dallas-ft-worth
49,houston,texas,https://www.lennar.com/new-homes/texas/houston
50,san-antonio,texas,https://www.lennar.com/new-homes/texas/san-antonio
51,richmond-area,virginia,https://www.lennar.com/new-homes/virginia/richmond-area
52,va-dc-metro,virginia,https://www.lennar.com/new-homes/virginia/va-dc-metro
53,williamsburg,virginia,https://www.lennar.com/new-homes/virginia/williamsburg
54,atlanta,georgia,https://www.lennar.com/new-homes/georgia/atlanta
55,savannah,georgia,https://www.lennar.com/new-homes/georgia/savannah
56,inland-northwest,washington,https://www.lennar.com/new-homes/washington/inland-northwest
57,seattle,washington,https://www.lennar.com/new-homes/washington/seattle
58,vancouver,washington,https://www.lennar.com/new-homes/washington/vancouver
59,portland,oregon,https://www.lennar.com/new-homes/oregon/portland
60,willamette-valley,oregon,https://www.lennar.com/new-homes/oregon/willamette-valley
61,nashville,tennessee,https://www.lennar.com/new-homes/tennessee/nashville
62,indianapolis,indiana,https://www.lennar.com/new-homes/indiana/indianapolis
63,northwest-indiana,indiana,https://www.lennar.com/new-homes/indiana/northwest-indiana
64,salt-lake-city,utah,https://www.lennar.com/new-homes/utah/salt-lake-city
65,jefferson-county,west-virginia,https://www.lennar.com/new-homes/west-virginia/jefferson-county
66,boise,idaho,https://www.lennar.com/new-homes/idaho/boise
67,madison,wisconsin,https://www.lennar.com/new-homes/wisconsin/madison
68,oklahoma-city,oklahoma,https://www.lennar.com/new-homes/oklahoma/oklahoma-city
