county,state,Coming soon,Future release,Move-in ready,Under construction
raleigh,north-carolina,36,86,10,45
wilmington,north-carolina,1,40,39,30
charlotte,north-carolina,1,97,59,85
greensboro,north-carolina,0,0,3,0
chicago,illinois,17,58,17,93
richmond-area,virginia,4,5,4,2
atlanta,georgia,9,23,10,28
savannah,georgia,0,19,0,4
huntsville,alabama,0,40,66,143
coastal-alabama,alabama,2,9,15,26
oklahoma-city,oklahoma,0,0,0,8
denver,colorado,1,58,38,121
salt-lake-city,utah,0,40,5,18
greater-philadelphia-area,delaware,1,20,29,6
sussex-county,delaware,20,18,13,41
northwest-indiana,indiana,11,10,43,34
indianapolis,indiana,36,99,45,68
phoenix,arizona,0,115,58,48
tucson,arizona,0,2,19,77
myrtle-beach,south-carolina,1,40,39,30
greenville,south-carolina,0,12,43,20
hilton-head-bluffton,south-carolina,0,19,0,4
columbia,south-carolina,0,42,9,51
charlotte,south-carolina,1,97,59,85
charleston,south-carolina,6,112,20,41
minneapolis-st-paul,minnesota,41,270,140,117
ft-lauderdale,florida,5,6,6,13
space-coast-melbourne,florida,6,1,4,13
treasure-coast,florida,12,11,6,26
palm-beach,florida,5,5,23,23
ocala,florida,1,57,34,20
pensacola,florida,2,8,5,19
perdido-key,florida,0,1,0,0
jacksonville-st-augustine,florida,9,149,20,35
orlando,florida,17,116,34,86
naples-ft-myers,florida,38,76,82,391
miami,florida,24,37,30,54
tampa-manatee,florida,9,221,37,117
sarasota-manatee,florida,6,33,10,31
central-maryland,maryland,0,12,3,16
md-dc-metro,maryland,1,15,12,7
eastern-shore,maryland,3,7,0,7
southern-maryland,maryland,6,12,17,14
san-antonio,texas,46,217,131,63
corpus-christi,texas,0,1,4,1
texas-hill-country,texas,0,0,0,0
austin-central-texas,texas,48,281,155,72
houston,texas,14,192,92,273
dallas-ft-worth,texas,58,143,112,84
york-county,pennsylvania,0,1,0,0
greater-philadelphia-area,pennsylvania,1,20,29,6
adams-county,pennsylvania,0,2,1,1
nashville,tennessee,13,28,10,29
new-jersey,new-jersey,9,15,8,58
inland-northwest,idaho,0,11,11,18
boise,idaho,0,11,2,21
portland,oregon,0,30,45,40
willamette-valley,oregon,0,9,5,13
central-oregon,oregon,0,2,3,3
las-vegas,nevada,13,33,95,60
reno,nevada,0,6,13,28
sacramento,california,2,118,141,135
central-california,california,32,43,37,88
san-diego,california,0,61,2,10
inland-empire,california,0,127,6,67
san-francisco-metro-area,california,0,5,7,0
san-francisco-bay-area,california,0,106,31,19
la-orange-county,california,0,155,18,48
,california,0,155,18,48
palm-springs-coachella,california,0,22,0,15
