county,state,n_homes_06-2023,ring_homes_06-2023,n_homes_10-2022,ring_homes_10-2022,pct-change-N-homes,pct-change-usb
raleigh,north-carolina,177.0,157.0,319.0,285.0,-44.51,-44.91
wilmington,north-carolina,110.0,0.0,103.0,8.0,6.8,-100.0
charlotte,north-carolina,242.0,6.0,199.0,171.0,21.61,-96.49
greensboro,north-carolina,3.0,3.0,,,,
chicago,illinois,185.0,185.0,192.0,141.0,-3.65,31.21
richmond-area,virginia,15.0,0.0,4.0,0.0,275.0,
atlanta,georgia,70.0,54.0,91.0,91.0,-23.08,-40.66
savannah,georgia,23.0,0.0,14.0,0.0,64.29,
huntsville,alabama,249.0,21.0,133.0,0.0,87.22,inf
coastal-alabama,alabama,52.0,18.0,42.0,0.0,23.81,inf
oklahoma-city,oklahoma,8.0,0.0,,,,
denver,colorado,218.0,0.0,277.0,251.0,-21.3,-100.0
salt-lake-city,utah,63.0,15.0,74.0,74.0,-14.86,-79.73
greater-philadelphia-area,delaware,56.0,1.0,92.0,92.0,-39.13,-98.91
sussex-county,delaware,92.0,87.0,91.0,88.0,1.1,-1.14
northwest-indiana,indiana,98.0,98.0,80.0,50.0,22.5,96.0
indianapolis,indiana,248.0,230.0,216.0,210.0,14.81,9.52
phoenix,arizona,221.0,215.0,265.0,257.0,-16.6,-16.34
tucson,arizona,98.0,44.0,78.0,77.0,25.64,-42.86
myrtle-beach,south-carolina,110.0,0.0,103.0,8.0,6.8,-100.0
greenville,south-carolina,75.0,1.0,49.0,49.0,53.06,-97.96
hilton-head-bluffton,south-carolina,23.0,0.0,14.0,0.0,64.29,
columbia,south-carolina,102.0,0.0,42.0,0.0,142.86,
charlotte,south-carolina,242.0,6.0,,,,
charleston,south-carolina,179.0,0.0,189.0,139.0,-5.29,-100.0
minneapolis-st-paul,minnesota,568.0,556.0,665.0,659.0,-14.59,-15.63
ft-lauderdale,florida,30.0,29.0,45.0,28.0,-33.33,3.57
space-coast-melbourne,florida,24.0,9.0,30.0,23.0,-20.0,-60.87
treasure-coast,florida,55.0,11.0,37.0,16.0,48.65,-31.25
palm-beach,florida,56.0,30.0,41.0,21.0,36.59,42.86
ocala,florida,112.0,112.0,83.0,36.0,34.94,211.11
pensacola,florida,34.0,28.0,52.0,0.0,-34.62,inf
perdido-key,florida,1.0,0.0,1.0,0.0,0.0,
jacksonville-st-augustine,florida,213.0,213.0,193.0,184.0,10.36,15.76
orlando,florida,253.0,0.0,337.0,0.0,-24.93,
naples-ft-myers,florida,587.0,420.0,490.0,405.0,19.8,3.7
miami,florida,145.0,139.0,212.0,90.0,-31.6,54.44
tampa-manatee,florida,384.0,11.0,,,,
sarasota-manatee,florida,80.0,52.0,72.0,64.0,11.11,-18.75
central-maryland,maryland,31.0,28.0,30.0,27.0,3.33,3.7
md-dc-metro,maryland,35.0,22.0,58.0,44.0,-39.66,-50.0
eastern-shore,maryland,17.0,17.0,8.0,8.0,112.5,112.5
southern-maryland,maryland,49.0,41.0,48.0,14.0,2.08,192.86
san-antonio,texas,457.0,0.0,530.0,219.0,-13.77,-100.0
corpus-christi,texas,6.0,0.0,,,,
texas-hill-country,texas,0.0,0.0,,,,
austin-central-texas,texas,556.0,9.0,232.0,191.0,139.66,-95.29
houston,texas,571.0,5.0,683.0,82.0,-16.4,-93.9
dallas-ft-worth,texas,397.0,254.0,455.0,339.0,-12.75,-25.07
york-county,pennsylvania,1.0,1.0,4.0,4.0,-75.0,-75.0
greater-philadelphia-area,pennsylvania,56.0,1.0,,,,
adams-county,pennsylvania,4.0,4.0,5.0,5.0,-20.0,-20.0
nashville,tennessee,80.0,80.0,100.0,100.0,-20.0,-20.0
new-jersey,new-jersey,90.0,0.0,116.0,91.0,-22.41,-100.0
inland-northwest,idaho,40.0,0.0,,,,
boise,idaho,34.0,6.0,22.0,19.0,54.55,-68.42
portland,oregon,115.0,8.0,111.0,109.0,3.6,-92.66
willamette-valley,oregon,27.0,0.0,36.0,36.0,-25.0,-100.0
central-oregon,oregon,8.0,0.0,,,,
las-vegas,nevada,201.0,0.0,258.0,193.0,-22.09,-100.0
reno,nevada,47.0,47.0,78.0,61.0,-39.74,-22.95
sacramento,california,396.0,363.0,453.0,383.0,-12.58,-5.22
central-california,california,200.0,20.0,174.0,155.0,14.94,-87.1
san-diego,california,73.0,30.0,76.0,47.0,-3.95,-36.17
inland-empire,california,200.0,26.0,186.0,181.0,7.53,-85.64
san-francisco-metro-area,california,12.0,2.0,,,,
san-francisco-bay-area,california,156.0,123.0,180.0,161.0,-13.33,-23.6
la-orange-county,california,221.0,218.0,164.0,135.0,34.76,61.48
,california,221.0,218.0,,,,
palm-springs-coachella,california,37.0,16.0,48.0,42.0,-22.92,-61.9
va-dc-metro,virginia,,,49.0,18.0,,
williamsburg,virginia,,,16.0,14.0,,
vancouver,washington,,,23.0,18.0,,
inland-northwest,washington,,,23.0,23.0,,
seattle,washington,,,175.0,166.0,,
jefferson-county,west-virginia,,,24.0,5.0,,
madison,wisconsin,,,27.0,0.0,,
tampa,florida,,,516.0,133.0,,
