description,count_06-23,count_10-22,pct-change
ring video doorbell pro,3639.0,6304.0,-42.27
ring alarm security kit – base station,2293.0,4305.0,-46.74
ring alarm security kit – ring alarm motion detector,1917.0,3891.0,-50.73
ring alarm security kit – ring alarm smoke and co listener,1917.0,3860.0,-50.34
ring alarm security kit – ring alarm keypad,1917.0,3768.0,-49.12
wifi heat mapping engineering,929.0,3604.0,-74.22
ring alarm security kit – ring alarm window and door contact sensor,1133.0,2969.0,-61.84
integrated sunnova solar energy system with real-time monitoring,472.0,1083.0,-56.42
ring alarm motion detector,594.0,806.0,-26.3
ring alarm base station,594.0,806.0,-26.3
ring alarm keypad,594.0,791.0,-24.91
ring pro video doorbell,556.0,785.0,-29.17
ring smoke and co listener,556.0,659.0,-15.63
three ring contact sensor,537.0,659.0,-18.51
ring alarm security kit - ring alarm smoke and co listener,231.0,529.0,-56.33
ring alarm security kit - ring alarm motion detector,222.0,501.0,-55.69
ring alarm security kit - ring alarm keypad,205.0,508.0,-59.65
ring alarm security kit - ring alarm window and door contact sensor,131.0,439.0,-70.16
ring alarm smoke and co listener,250.0,286.0,-12.59
ring alarm security kit - base station,139.0,390.0,-64.36
ring alarm security kit,219.0,282.0,-22.34
ring alarm security kit ndash ring alarm door contact sensorsup1,373.0,99.0,276.77
this home is fully equipped with a ring video doorbell pro,134.0,210.0,-36.19
ring alarm security kit – ring alarm contact sensors select locations,180.0,109.0,65.14
ring alarm security kit including base station keypad motion detector smoke and co listener and door contact sensor,283.0,0.0,inf
ring alarm security kit – ring alarm door contact sensors,222.0,23.0,865.22
a ring video doorbell pro is included in the connectivity package,244.0,0.0,inf
ring alarm security kit – ring alarm door contact sensor,12.0,200.0,-94.0
households will appreciate a full ring alarm security kit,209.0,0.0,inf
ring alarm door contact sensor,0.0,191.0,-100.0
ring alarm security kit - ring alarm base station,66.0,118.0,-44.07
ring alarm security kit including,181.0,0.0,inf
this home is fully equipped with the ring video doorbell pro,30.0,148.0,-79.73
- ring alarm security kit – base station,159.0,0.0,inf
- ring alarm security kit – ring alarm motion detector,159.0,0.0,inf
- ring alarm security kit – ring alarm window and door contact sensor,159.0,0.0,inf
- ring alarm security kit – ring alarm smoke and co listener,159.0,0.0,inf
- ring alarm security kit – ring alarm keypad,155.0,0.0,inf
ring video doorbell pro keeps the home safe and secure,122.0,31.0,293.55
quality stainless steel appliance package featuring 30 smooth surface electric range with self-cleaning oven over-the-range built-in microwave with recirculating vent multi-cycle dishwasher,135.0,0.0,inf
ring video pro doorbell,0.0,126.0,-100.0
ring alarm smoke  co listener,0.0,118.0,-100.0
integrated solar energy system with real-time monitoring provided through participation in the buyer-friendly leaseplus new home solar plan by sunnova,108.0,0.0,inf
ring alarm door contact sensors,0.0,103.0,-100.0
integrated solar energy systems with real-time monitoring provided through participation in the buyer-friendly new home solar plan by sunnova,51.0,37.0,37.84
stainless steel dishwasher lends a modern edge during clean-up time,82.0,0.0,inf
connected ring security kit,0.0,82.0,-100.0
ring motion sensor,0.0,81.0,-100.0
all homesites tested for structural bearing capacity,0.0,81.0,-100.0
ring alarm contact sensors select locations,38.0,27.0,40.74
ring alarm security kit - alarm contact sensors,0.0,62.0,-100.0
ring alarm security kit - alarm keypad,0.0,62.0,-100.0
ring alarm security kit - neighbors by ring a neighborhood network,0.0,62.0,-100.0
ring alarm security kit - alarm motion detector,0.0,62.0,-100.0
ring garage opener myq,0.0,59.0,-100.0
3 ring door contact sensors,0.0,59.0,-100.0
wifi heat mapping engineering no wifi dead spots,34.0,22.0,54.55
1-2-10 year homeowners warranty featuring 1 year overall limited coverage 2 year systems protection and a 10 year limited structural warranty,0.0,55.0,-100.0
cabinetry featuring european soft-close full-extension guidesand concealed hinges,0.0,54.0,-100.0
r30 insulation in ceilings to keep our air-conditioned spaces consistently comfortable while lowering energy costs,0.0,53.0,-100.0
this home is fully equipped with a ring video doorbell,53.0,0.0,inf
ring video doorbell pro and alarm security kit,6.0,46.0,-86.96
this home is fully equipped with a ring video doorbell pr,19.0,32.0,-40.62
this home is equipped with a ring video doorbell pro,15.0,35.0,-57.14
this home is fully equipped with a ring pro video doorbell,0.0,47.0,-100.0
ring alarm security kit – with contact sensors,0.0,47.0,-100.0
