county,state,n_homes_06-2023,usb_homes_06-2023,total_features_06-2023,features_per_home_06-2023,n_homes_10-2022,usb_homes_10-2022,total_features_10-2022,features_per_home_10-2022,pct-change-N-homes,pct-change-usb,pct-change-avg-feats-per-home
raleigh,north-carolina,177.0,0.0,10884.0,61.49152542372882,319.0,0.0,23188.0,72.6896551724138,-44.51,,-15.41
wilmington,north-carolina,110.0,0.0,5472.0,49.74545454545454,103.0,0.0,5917.0,57.44660194174757,6.8,,-13.41
charlotte,north-carolina,242.0,232.0,20441.0,84.46694214876032,199.0,171.0,18411.0,92.51758793969849,21.61,35.67,-8.7
greensboro,north-carolina,3.0,0.0,231.0,77.0,,,,,,,
chicago,illinois,185.0,0.0,13158.0,71.12432432432432,192.0,0.0,12808.0,66.70833333333333,-3.65,,6.62
richmond-area,virginia,15.0,0.0,33.0,2.2,4.0,0.0,0.0,0.0,275.0,,inf
atlanta,georgia,70.0,0.0,3473.0,49.614285714285714,91.0,0.0,5484.0,60.26373626373626,-23.08,,-17.67
savannah,georgia,23.0,0.0,1368.0,59.47826086956522,14.0,0.0,832.0,59.42857142857143,64.29,,0.08
huntsville,alabama,249.0,228.0,24915.0,100.06024096385542,133.0,122.0,14143.0,106.33834586466165,87.22,86.89,-5.9
coastal-alabama,alabama,52.0,0.0,3630.0,69.8076923076923,42.0,0.0,2895.0,68.92857142857143,23.81,,1.28
oklahoma-city,oklahoma,8.0,0.0,432.0,54.0,,,,,,,
denver,colorado,218.0,4.0,13151.0,60.325688073394495,277.0,246.0,22229.0,80.24909747292419,-21.3,-98.37,-24.83
salt-lake-city,utah,63.0,0.0,4658.0,73.93650793650794,74.0,0.0,6277.0,84.82432432432432,-14.86,,-12.84
greater-philadelphia-area,delaware,56.0,0.0,3093.0,55.232142857142854,92.0,0.0,6321.0,68.70652173913044,-39.13,,-19.61
sussex-county,delaware,92.0,8.0,5393.0,58.619565217391305,91.0,88.0,6026.0,66.21978021978022,1.1,-90.91,-11.48
northwest-indiana,indiana,98.0,0.0,6943.0,70.84693877551021,80.0,0.0,4255.0,53.1875,22.5,,33.2
indianapolis,indiana,248.0,0.0,22653.0,91.34274193548387,216.0,0.0,21715.0,100.5324074074074,14.81,,-9.14
phoenix,arizona,221.0,0.0,7627.0,34.51131221719457,265.0,0.0,10225.0,38.58490566037736,-16.6,,-10.56
tucson,arizona,98.0,44.0,5592.0,57.06122448979592,78.0,72.0,5808.0,74.46153846153847,25.64,-38.89,-23.37
myrtle-beach,south-carolina,110.0,0.0,5472.0,49.74545454545454,103.0,0.0,5917.0,57.44660194174757,6.8,,-13.41
greenville,south-carolina,75.0,75.0,6409.0,85.45333333333333,49.0,37.0,4618.0,94.24489795918367,53.06,102.7,-9.33
hilton-head-bluffton,south-carolina,23.0,0.0,1368.0,59.47826086956522,14.0,0.0,832.0,59.42857142857143,64.29,,0.08
columbia,south-carolina,102.0,0.0,300.0,2.9411764705882355,42.0,0.0,0.0,0.0,142.86,,inf
charlotte,south-carolina,242.0,232.0,20441.0,84.46694214876032,,,,,,,
charleston,south-carolina,179.0,0.0,12086.0,67.5195530726257,189.0,0.0,14549.0,76.97883597883597,-5.29,,-12.29
minneapolis-st-paul,minnesota,568.0,0.0,48753.0,85.83274647887323,665.0,0.0,60447.0,90.89774436090225,-14.59,,-5.57
ft-lauderdale,florida,30.0,20.0,1430.0,47.666666666666664,45.0,0.0,1849.0,41.08888888888889,-33.33,inf,16.01
space-coast-melbourne,florida,24.0,0.0,1927.0,80.29166666666667,30.0,0.0,2413.0,80.43333333333334,-20.0,,-0.18
treasure-coast,florida,55.0,0.0,3952.0,71.85454545454546,37.0,0.0,1598.0,43.189189189189186,48.65,,66.37
palm-beach,florida,56.0,0.0,4450.0,79.46428571428571,41.0,0.0,2088.0,50.926829268292686,36.59,,56.04
ocala,florida,112.0,0.0,6557.0,58.544642857142854,83.0,0.0,4901.0,59.04819277108434,34.94,,-0.85
pensacola,florida,34.0,0.0,2427.0,71.38235294117646,52.0,0.0,2825.0,54.32692307692308,-34.62,,31.39
perdido-key,florida,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
jacksonville-st-augustine,florida,213.0,0.0,12539.0,58.86854460093897,193.0,0.0,12118.0,62.78756476683938,10.36,,-6.24
orlando,florida,253.0,0.0,7788.0,30.782608695652176,337.0,0.0,8211.0,24.364985163204746,-24.93,,26.34
naples-ft-myers,florida,587.0,0.0,23965.0,40.826235093696766,490.0,0.0,24435.0,49.86734693877551,19.8,,-18.13
miami,florida,145.0,131.0,6123.0,42.227586206896554,212.0,0.0,6034.0,28.462264150943398,-31.6,inf,48.36
tampa-manatee,florida,384.0,14.0,16250.0,42.317708333333336,,,,,,,
sarasota-manatee,florida,80.0,0.0,3680.0,46.0,72.0,0.0,3809.0,52.90277777777778,11.11,,-13.05
central-maryland,maryland,31.0,0.0,1703.0,54.935483870967744,30.0,27.0,1782.0,59.4,3.33,-100.0,-7.52
md-dc-metro,maryland,35.0,12.0,1410.0,40.285714285714285,58.0,42.0,2848.0,49.10344827586207,-39.66,-71.43,-17.96
eastern-shore,maryland,17.0,0.0,1033.0,60.76470588235294,8.0,8.0,512.0,64.0,112.5,-100.0,-5.06
southern-maryland,maryland,49.0,0.0,2495.0,50.91836734693877,48.0,14.0,1116.0,23.25,2.08,-100.0,119.0
san-antonio,texas,457.0,0.0,21433.0,46.89934354485777,530.0,0.0,24765.0,46.72641509433962,-13.77,,0.37
corpus-christi,texas,6.0,0.0,263.0,43.833333333333336,,,,,,,
texas-hill-country,texas,0.0,0.0,0.0,,,,,,,,
austin-central-texas,texas,556.0,0.0,21314.0,38.33453237410072,232.0,0.0,8288.0,35.724137931034484,139.66,,7.31
houston,texas,571.0,0.0,27182.0,47.60420315236427,683.0,0.0,32239.0,47.202049780380676,-16.4,,0.85
dallas-ft-worth,texas,397.0,0.0,28740.0,72.39294710327457,455.0,0.0,34045.0,74.82417582417582,-12.75,,-3.25
york-county,pennsylvania,1.0,0.0,52.0,52.0,4.0,0.0,220.0,55.0,-75.0,,-5.45
greater-philadelphia-area,pennsylvania,56.0,0.0,3093.0,55.232142857142854,,,,,,,
adams-county,pennsylvania,4.0,0.0,240.0,60.0,5.0,5.0,345.0,69.0,-20.0,-100.0,-13.04
nashville,tennessee,80.0,0.0,5315.0,66.4375,100.0,0.0,6974.0,69.74,-20.0,,-4.74
new-jersey,new-jersey,90.0,38.0,4954.0,55.044444444444444,116.0,71.0,8782.0,75.70689655172414,-22.41,-46.48,-27.29
inland-northwest,idaho,40.0,0.0,3399.0,84.975,,,,,,,
boise,idaho,34.0,0.0,420.0,12.352941176470589,22.0,19.0,1654.0,75.18181818181819,54.55,-100.0,-83.57
portland,oregon,115.0,37.0,6766.0,58.834782608695654,111.0,111.0,7286.0,65.63963963963964,3.6,-66.67,-10.37
willamette-valley,oregon,27.0,0.0,1533.0,56.77777777777778,36.0,36.0,2519.0,69.97222222222223,-25.0,-100.0,-18.86
central-oregon,oregon,8.0,0.0,456.0,57.0,,,,,,,
las-vegas,nevada,201.0,0.0,6789.0,33.776119402985074,258.0,188.0,15793.0,61.213178294573645,-22.09,-100.0,-44.82
reno,nevada,47.0,43.0,3117.0,66.31914893617021,78.0,43.0,3477.0,44.57692307692308,-39.74,0.0,48.77
sacramento,california,396.0,367.0,27281.0,68.89141414141415,453.0,383.0,29445.0,65.0,-12.58,-4.18,5.99
central-california,california,200.0,60.0,11821.0,59.105,174.0,155.0,13241.0,76.09770114942529,14.94,-61.29,-22.33
san-diego,california,73.0,44.0,3148.0,43.12328767123287,76.0,26.0,3354.0,44.13157894736842,-3.95,69.23,-2.28
inland-empire,california,200.0,55.0,13982.0,69.91,186.0,181.0,14483.0,77.86559139784946,7.53,-69.61,-10.22
san-francisco-metro-area,california,12.0,0.0,313.0,26.083333333333332,,,,,,,
san-francisco-bay-area,california,156.0,133.0,9508.0,60.94871794871795,180.0,168.0,12103.0,67.2388888888889,-13.33,-20.83,-9.35
la-orange-county,california,221.0,217.0,13190.0,59.68325791855204,164.0,134.0,8705.0,53.079268292682926,34.76,61.94,12.44
,california,221.0,217.0,13190.0,59.68325791855204,,,,,,,
palm-springs-coachella,california,37.0,25.0,2633.0,71.16216216216216,48.0,42.0,3406.0,70.95833333333333,-22.92,-40.48,0.29
va-dc-metro,virginia,,,,,49.0,14.0,1137.0,23.20408163265306,,,
williamsburg,virginia,,,,,16.0,0.0,912.0,57.0,,,
vancouver,washington,,,,,23.0,18.0,1184.0,51.47826086956522,,,
inland-northwest,washington,,,,,23.0,0.0,2429.0,105.6086956521739,,,
seattle,washington,,,,,175.0,0.0,21607.0,123.46857142857142,,,
jefferson-county,west-virginia,,,,,24.0,0.0,310.0,12.916666666666666,,,
madison,wisconsin,,,,,27.0,0.0,88.0,3.259259259259259,,,
tampa,florida,,,,,516.0,167.0,23780.0,46.08527131782946,,,
