description,count_06-23,count_10-22,pct-change
usb outlets in owners suite bedroom and kitchen,359.0,1180.0,-69.58
power hub in kitchen with 4 usb ports and 2 outlets,307.0,208.0,47.6
usb charging port,185.0,224.0,-17.41
usb outlets in kitchen,228.0,122.0,86.89
usb outlets in owners suite bedroom,60.0,155.0,-61.29
usb outlets select locations,120.0,68.0,76.47
usb charger outlet,147.0,0.0,inf
usb outlets in all bedrooms and kitchen,40.0,97.0,-58.76
combo plug and usb charger in kitchen and owner’s suite,14.0,51.0,-72.55
combo plug and usb charger in kitchen and owner’s suite at select locations,27.0,37.0,-27.03
cat 5 usb outlets in kitchen and owner bedroom,14.0,45.0,-68.89
usb outlets in owners suite and kitchen,38.0,19.0,100.0
telephone and usb outlets in kitchen and owner suite so you can keep in touch,0.0,53.0,-100.0
telephone and usb outlets in kitchen and owners bedroom,0.0,49.0,-100.0
usb charger in kitchen and owner’s suite bedroom,9.0,40.0,-77.5
usb outlets in master secondary bedrooms and kitchen,39.0,5.0,680.0
usb outlets in select locations,25.0,15.0,66.67
usb charger in kitchen and ownerrsquos suite,40.0,0.0,inf
combo plug and usb charger in kitchen and ownerrsquos suite at select locations,9.0,28.0,-67.86
usb outlets in owners suite bedroom and kitchen or drop zone per plan,7.0,30.0,-76.67
usb outlets in kitchen and owner’s suite,4.0,25.0,-84.0
combo plug and usb charger in kitchenette,4.0,24.0,-83.33
usb outlets,0.0,25.0,-100.0
usb charger in kitchen and owners suite bedroom,6.0,18.0,-66.67
usb outlets in owners bedroom and kitchen,0.0,20.0,-100.0
telephone and usb outlets in kitchen and owner suite,0.0,20.0,-100.0
two usb outlets in kitchen backsplash,19.0,0.0,inf
usb outlet in owner’s suite bedroom,0.0,19.0,-100.0
gourmet kitchen-island with usb charging station,0.0,19.0,-100.0
two usb outlets in kitchen backsplash one at island and oneat launch if applicable,0.0,16.0,-100.0
usb outlets in all bedrooms,0.0,16.0,-100.0
usb charger in kitchen and owner’s suite,6.0,10.0,-40.0
usb outlets in kitchen and owners suite bedroom,15.0,0.0,inf
combo plug and usb charger in kitchen and owners suite at select locations,4.0,11.0,-63.64
usb charger in kitchen and owner’s suite bedroo,5.0,10.0,-50.0
usb outlets in kitchen and owners suite,15.0,0.0,inf
usb outlets in kitchen and launch if applicable,4.0,10.0,-60.0
combo plug and usb charger in owners suite bedroom and kitchen at select locations,0.0,13.0,-100.0
usb outlets in master and kitchen,6.0,7.0,-14.29
usb charger in kitchen or drop zone per plan and owner’s suite bedroom,5.0,8.0,-37.5
combo plug and usb outlets in kitchen and owners suite at select locations,4.0,8.0,-50.0
two usb outlets in kitchen backsplash and one at island,12.0,0.0,inf
usb charger receptacle in kitchen and master bedroom,8.0,0.0,inf
usb charger in kitchen or drop zone and owner’s suite,0.0,8.0,-100.0
usb outlets in kitchenette,0.0,8.0,-100.0
kitchenetteprivate living - combo plug and usb charger in kitchenette,4.0,4.0,0.0
usb outlets per plan,0.0,6.0,-100.0
usb charger receptacle in kitchen and owners suite,6.0,0.0,inf
usb outlets in owners suite bedroom and kitchen or drop zone,6.0,0.0,inf
usb charger receptacle in kitchen and owner’s suite,5.0,0.0,inf
two usb outlets in kitchen backsplash one at kitchen island and one at launch,4.0,0.0,inf
usb charging outlet,4.0,0.0,inf
combo plug and usb charger in kitchen owner’s suite and loft at select locations,0.0,4.0,-100.0
two usb outlets in kitchen one at backsplash and island and oneat launch if applicable,3.0,0.0,inf
combo plug and usb charger in owners suite bedroom and kitchen,0.0,3.0,-100.0
combo plug and usb outlets in owners suite bedroom and kitchen,0.0,3.0,-100.0
two usb outlets in kitchen backsplash one at island and one at launch,2.0,0.0,inf
