market,state,url
coastal-alabama,alabama,https://www.lennar.com/new-homes/alabama/coastal-alabama
huntsville,alabama,https://www.lennar.com/new-homes/alabama/huntsville
phoenix,arizona,https://www.lennar.com/new-homes/arizona/phoenix
tucson,arizona,https://www.lennar.com/new-homes/arizona/tucson
fresno-bakersfield,california,https://www.lennar.com/new-homes/california/fresno-bakersfield
inland-empire,california,https://www.lennar.com/new-homes/california/inland-empire
la-orange-county,california,https://www.lennar.com/new-homes/california/la-orange-county
palm-springs-coachella,california,https://www.lennar.com/new-homes/california/palm-springs-coachella
sacramento,california,https://www.lennar.com/new-homes/california/sacramento
san-diego,california,https://www.lennar.com/new-homes/california/san-diego
san-francisco-bay-area,california,https://www.lennar.com/new-homes/california/san-francisco-bay-area
san-francisco-metro-area,california,https://www.lennar.com/new-homes/california/san-francisco-metro-area
denver,colorado,https://www.lennar.com/new-homes/colorado/denver
greater-philadelphia-area,delaware,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area
sussex-county,delaware,https://www.lennar.com/new-homes/delaware/sussex-county
ft-lauderdale,florida,https://www.lennar.com/new-homes/florida/ft-lauderdale
jacksonville-st-augustine,florida,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine
miami,florida,https://www.lennar.com/new-homes/florida/miami
naples-ft-myers,florida,https://www.lennar.com/new-homes/florida/naples-ft-myers
ocala,florida,https://www.lennar.com/new-homes/florida/ocala
orlando,florida,https://www.lennar.com/new-homes/florida/orlando
palm-beach,florida,https://www.lennar.com/new-homes/florida/palm-beach
pensacola,florida,https://www.lennar.com/new-homes/florida/pensacola
sarasota-manatee,florida,https://www.lennar.com/new-homes/florida/sarasota-manatee
space-coast-melbourne,florida,https://www.lennar.com/new-homes/florida/space-coast-melbourne
tampa-manatee,florida,https://www.lennar.com/new-homes/florida/tampa-manatee
treasure-coast,florida,https://www.lennar.com/new-homes/florida/treasure-coast
chicago,illinois,https://www.lennar.com/new-homes/illinois/chicago
central-maryland,maryland,https://www.lennar.com/new-homes/maryland/central-maryland
eastern-shore,maryland,https://www.lennar.com/new-homes/maryland/eastern-shore
md-dc-metro,maryland,https://www.lennar.com/new-homes/maryland/md-dc-metro
southern-maryland,maryland,https://www.lennar.com/new-homes/maryland/southern-maryland
minneapolis-st-paul,minnesota,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul
charlotte,north-carolina,https://www.lennar.com/new-homes/north-carolina/charlotte
greensboro,north-carolina,https://www.lennar.com/new-homes/north-carolina/greensboro
raleigh,north-carolina,https://www.lennar.com/new-homes/north-carolina/raleigh
wilmington,north-carolina,https://www.lennar.com/new-homes/north-carolina/wilmington
new-jersey,new-jersey,https://www.lennar.com/new-homes/new-jersey/new-jersey
las-vegas,nevada,https://www.lennar.com/new-homes/nevada/las-vegas
reno,nevada,https://www.lennar.com/new-homes/nevada/reno
adams-county,pennsylvania,https://www.lennar.com/new-homes/pennsylvania/adams-county
charleston,south-carolina,https://www.lennar.com/new-homes/south-carolina/charleston
columbia,south-carolina,https://www.lennar.com/new-homes/south-carolina/columbia
greenville,south-carolina,https://www.lennar.com/new-homes/south-carolina/greenville
hilton-head-bluffton,south-carolina,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton
myrtle-beach,south-carolina,https://www.lennar.com/new-homes/south-carolina/myrtle-beach
austin-central-texas,texas,https://www.lennar.com/new-homes/texas/austin-central-texas
corpus-christi,texas,https://www.lennar.com/new-homes/texas/corpus-christi
dallas-ft-worth,texas,https://www.lennar.com/new-homes/texas/dallas-ft-worth
houston,texas,https://www.lennar.com/new-homes/texas/houston
san-antonio,texas,https://www.lennar.com/new-homes/texas/san-antonio
texas-hill-country,texas,https://www.lennar.com/new-homes/texas/texas-hill-country
richmond-area,virginia,https://www.lennar.com/new-homes/virginia/richmond-area
va-dc-metro,virginia,https://www.lennar.com/new-homes/virginia/va-dc-metro
williamsburg,virginia,https://www.lennar.com/new-homes/virginia/williamsburg
atlanta,georgia,https://www.lennar.com/new-homes/georgia/atlanta
savannah,georgia,https://www.lennar.com/new-homes/georgia/savannah
inland-northwest,washington,https://www.lennar.com/new-homes/washington/inland-northwest
seattle,washington,https://www.lennar.com/new-homes/washington/seattle
vancouver,washington,https://www.lennar.com/new-homes/washington/vancouver
central-oregon,oregon,https://www.lennar.com/new-homes/oregon/central-oregon
portland,oregon,https://www.lennar.com/new-homes/oregon/portland
willamette-valley,oregon,https://www.lennar.com/new-homes/oregon/willamette-valley
nashville,tennessee,https://www.lennar.com/new-homes/tennessee/nashville
indianapolis,indiana,https://www.lennar.com/new-homes/indiana/indianapolis
northwest-indiana,indiana,https://www.lennar.com/new-homes/indiana/northwest-indiana
salt-lake-city,utah,https://www.lennar.com/new-homes/utah/salt-lake-city
berkeley-county,west-virginia,https://www.lennar.com/new-homes/west-virginia/berkeley-county
jefferson-county,west-virginia,https://www.lennar.com/new-homes/west-virginia/jefferson-county
boise,idaho,https://www.lennar.com/new-homes/idaho/boise
madison,wisconsin,https://www.lennar.com/new-homes/wisconsin/madison
oklahoma-city,oklahoma,https://www.lennar.com/new-homes/oklahoma/oklahoma-city
