Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$334,545",4.0,2.0,1815.0,"14741 Greenleaf Dr, Athens, AL",Residence 1815 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1815/21102710115
Move-in ready,"$320,850",4.0,2.0,1815.0,"14830 Greenleaf Dr, Athens, AL",Residence 1815 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1815/21102710101
Move-in ready,"$355,480",3.0,2.0,1837.0,"6013 Gardner Maples Drive, Owens Cross Roads, AL",Residence 1837 in Natures Walk on The Flint,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/natures-walk-on-the-flint/townhomes/residence-1837/21137600071
Move-in ready,"$355,480",3.0,2.0,1850.0,"6005 Gardner Maples Drive, Owens Cross Roads, AL",Residence 1850 in Natures Walk on The Flint,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/natures-walk-on-the-flint/townhomes/residence-1850/21137600067
Move-in ready,"$355,480",3.0,2.0,1850.0,"6007 Gardner Maples Drive, Owens Cross Roads, AL",Residence 1850 in Natures Walk on The Flint,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/natures-walk-on-the-flint/townhomes/residence-1850/21137600068
Move-in ready,"$355,480",3.0,2.0,1850.0,"6009 Gardner Maples Drive, Owens Cross Roads, AL",Residence 1850 in Natures Walk on The Flint,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/natures-walk-on-the-flint/townhomes/residence-1850/21137600069
Move-in ready,"$344,715",3.0,2.0,1837.0,"133 Rugby Dr, Madison, AL",Residence 1837 in Bradford Station,https://www.lennar.com/new-homes/alabama/huntsville/madison/bradford-station/residence-1837/21123710034
Move-in ready,"$345,965",3.0,2.0,1850.0,"139 Rugby Dr, Madison, AL",Residence 1850 in Bradford Station,https://www.lennar.com/new-homes/alabama/huntsville/madison/bradford-station/residence-1850/21123710031
Move-in ready,"$345,965",3.0,2.0,1850.0,"137 Rugby Dr, Madison, AL",Residence 1850 in Bradford Station,https://www.lennar.com/new-homes/alabama/huntsville/madison/bradford-station/residence-1850/21123710032
Move-in ready,"$429,200",3.0,2.0,1790.0,"357 Hay Rake Dr, Madison, AL",Craftsman Unit 2 in Clift Farm,https://www.lennar.com/new-homes/alabama/huntsville/madison/clift-farm/townhomes/craftsman-unit-2/21119710044
