Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$489,990",3.0,2.0,2223.0,"7779 S INDIAN WHEAT WY, Tucson, AZ",Whitney in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/wildflower-estates/whitney/3441512004
Move-in ready,"$613,990",3.0,3.0,2594.0,"10677 N CACTUS POINT DR, Tucson, AZ",Oracle in The Preserve at Twin Peaks,https://www.lennar.com/new-homes/arizona/tucson/tucson/the-preserve-at-twin-peaks/oracle/3438510053
Move-in ready,"$613,990",3.0,3.0,2594.0,"10649 N CACTUS POINT DR, Tucson, AZ",Oracle in The Preserve at Twin Peaks,https://www.lennar.com/new-homes/arizona/tucson/tucson/the-preserve-at-twin-peaks/oracle/3438510056
Move-in ready,"$449,990",4.0,3.0,2721.0,"8134 S SOLTERO MINE DR, Tucson, AZ",Acacia II in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/silver-ridge/acacia-ii/3435510090
Move-in ready,"$488,990",3.0,2.0,2223.0,"7734 S INDIAN WHEAT WY, Tucson, AZ",Whitney in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/wildflower-estates/whitney/3441512025
Move-in ready,"$709,990",4.0,3.0,2958.0,"10631 N CACTUS POINT DR, Tucson, AZ",Evolution in The Preserve at Twin Peaks,https://www.lennar.com/new-homes/arizona/tucson/tucson/the-preserve-at-twin-peaks/evolution/3438510059
Move-in ready,"$458,990",4.0,3.0,2721.0,"8158 S SOLTERO MINE DR, Tucson, AZ",Acacia II in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/silver-ridge/acacia-ii/3435510092
Move-in ready,"$330,990",4.0,2.5,1774.0,"637 W CALLE EL TECLADO, Sahuarita, AZ",Harrison in Rancho Sahuarita,https://www.lennar.com/new-homes/arizona/tucson/sahuarita/rancho-sahuarita/entrada-del-pueblo/harrison/3445510137
Move-in ready,"$574,540",3.0,2.0,1924.0,"10701 N CACTUS POINT DR, Tucson, AZ",Molino in The Preserve at Twin Peaks,https://www.lennar.com/new-homes/arizona/tucson/tucson/the-preserve-at-twin-peaks/molino/3438510049
Move-in ready,"$469,990",4.0,3.0,2550.0,"7920 S BONANZA PARK DR, Tucson, AZ",Palo Verde II in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/silver-ridge/palo-verde-ii/3435510019
Move-in ready,"$539,990",5.0,3.5,2897.0,"8159 S SOLTERO MINE DR, Tucson, AZ",Desert Willow in Rocking K,https://www.lennar.com/new-homes/arizona/tucson/tucson/rocking-k/silver-ridge/desert-willow/3435510065
Move-in ready,"$554,490",3.0,2.0,2014.0,"10708 N CACTUS POINT DR, Tucson, AZ",Pima in The Preserve at Twin Peaks,https://www.lennar.com/new-homes/arizona/tucson/tucson/the-preserve-at-twin-peaks/pima/3438510066
Move-in ready,"$414,990",4.0,2.0,1852.0,"10551 W VANDEVER DR, Marana, AZ",Odyssey in Sunstone at Gladden Farms,https://www.lennar.com/new-homes/arizona/tucson/marana/sunstone-at-gladden-farms/inspiration-collection/odyssey/3448510059
