Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$510,300",5.0,3.0,3240.0,"3302 Spruce Park Way, Shafter, CA",Overture in Gossamer Grove,https://www.lennar.com/new-homes/california/central-california/shafter/gossamer-grove/coronet-series/overture/10858520087
Move-in ready,"$502,300",5.0,3.0,3240.0,"3402 Trail River Lane, Shafter, CA",Overture in Gossamer Grove,https://www.lennar.com/new-homes/california/central-california/shafter/gossamer-grove/coronet-series/overture/10858510067
Move-in ready,"$460,000",4.0,2.5,2240.0,"7231 E Simpson Avenue, Fresno, CA",Honeycomb in Juniper Hills,https://www.lennar.com/new-homes/california/central-california/fresno/juniper-hills/orchard-series/honeycomb/11219510112
Move-in ready,"$504,000",5.0,3.0,2589.0,"7134 E Harvard Avenue, Fresno, CA",Esplanade in Juniper Hills,https://www.lennar.com/new-homes/california/central-california/fresno/juniper-hills/solana-series/esplanade/11220510342
Move-in ready,"$527,500",5.0,3.5,2985.0,"7243 E Simpson Avenue, Fresno, CA",Pomegranate in Juniper Hills,https://www.lennar.com/new-homes/california/central-california/fresno/juniper-hills/orchard-series/pomegranate/11219510113
Move-in ready,"$461,300",4.0,2.5,2240.0,"443 S Filbert Avenue, Fresno, CA",Honeydew in Daffodil Hill - Clementine Series,https://www.lennar.com/new-homes/california/central-california/fresno/daffodil-hill-clementine-series/honeydew/11238510010
Move-in ready,"$488,900",5.0,3.0,2348.0,"343 W Tyler Avenue, Visalia, CA",Melody in River Island Ranch,https://www.lennar.com/new-homes/california/central-california/visalia/river-island-ranch/choral-series/melody/11214510033
Move-in ready,"$377,900",3.0,2.0,1635.0,"1822 N MITCHELL STREET, Hanford, CA",Almond in Aerie Pointe - Orchard Series,https://www.lennar.com/new-homes/california/central-california/hanford/aerie-pointe-orchard-series/almond/11225510132
Move-in ready,"$442,400",4.0,2.5,2251.0,"1814 N MITCHELL STREET, Hanford, CA",Mulberry H in Aerie Pointe - Orchard Series,https://www.lennar.com/new-homes/california/central-california/hanford/aerie-pointe-orchard-series/mulberry-h/11225510133
Move-in ready,"$351,525",2.0,2.0,1383.0,"436 W Balsam Lane, Clovis, CA",Wren in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/wren/11223510051
Move-in ready,"$383,925",3.0,2.0,1383.0,"562 N Terry Lane, Clovis, CA",Oriole in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/oriole/11223510142
Move-in ready,"$366,990",2.0,2.0,1383.0,"575 N Cindy Lane, Clovis, CA",Wren in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/wren/11223510136
Move-in ready,"$360,990",2.0,2.0,1383.0,"10990 N Honeysuckle Drive, Fresno, CA",Wren in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/starling-townhomes/wren/11217510125
Move-in ready,"$482,600",5.0,3.0,2348.0,", Bakersfield, CA",Harmony in Fox Meadow - Coronet Series,https://www.lennar.com/new-homes/california/central-california/bakersfield/fox-meadow-coronet-series/harmony/10896540036
Move-in ready,"$351,990",2.0,2.0,1383.0,"564 N Cindy Lane, Clovis, CA",Wren in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/wren/11223510132
Move-in ready,"$482,600",5.0,3.0,2348.0,", Bakersfield, CA",Harmony in Fox Meadow - Coronet Series,https://www.lennar.com/new-homes/california/central-california/bakersfield/fox-meadow-coronet-series/harmony/10896540042
Move-in ready,"$545,500",4.0,3.5,3128.0,", Bakersfield, CA",Rhapsody in Fox Meadow - Coronet Series,https://www.lennar.com/new-homes/california/central-california/bakersfield/fox-meadow-coronet-series/rhapsody/10896540043
Move-in ready,"$452,300",3.0,3.0,2171.0,"3202 WHISPERING BROOK LANE, Shafter, CA",Sugar Pine in Gossamer Grove,https://www.lennar.com/new-homes/california/central-california/shafter/gossamer-grove/california-series/sugar-pine/10854510014
Move-in ready,"$418,200",4.0,3.0,2085.0,"3406 Trail River Lane, Shafter, CA",Opus in Gossamer Grove,https://www.lennar.com/new-homes/california/central-california/shafter/gossamer-grove/coronet-series/opus/10858510066
Move-in ready,"$389,990",2.0,2.0,1383.0,"577 N Sylmar Lane, Clovis, CA",Wren in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/wren/11223510126
Move-in ready,"$561,000",5.0,4.5,3383.0,"7054 E Michigan Avenue, Fresno, CA",Boardwalk - Next Gen in Juniper Hills,https://www.lennar.com/new-homes/california/central-california/fresno/juniper-hills/surf-series/boardwalk-next-gen/11218510203
Move-in ready,"$365,990",2.0,2.0,1383.0,"578 N Sylmar Lane, Clovis, CA",Dove in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/dove/11223510125
Move-in ready,"$364,390",3.0,2.0,1383.0,"574 N Sylmar Lane, Clovis, CA",Oriole in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/oriole/11223510124
