Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$655,612",4.0,3.0,2238.0,"538 Hudson Way, Rialto, CA",Residence Three in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/summerbrooke/residence-three/31534512029
Move-in ready,"$520,106",4.0,3.0,2590.0,"5160 Rowel Street, Hemet, CA",Residence Four in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/bridle-walk/residence-four/31507511202
Move-in ready,"$593,575",3.0,2.5,1932.0,"16254 Lozano Street #2, Fontana, CA",Residence Two in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-two/31526510153
Move-in ready,"$461,120",3.0,2.0,1950.0,"1824 Tapaderos Street, Hemet, CA",Residence One in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/colt-ridge/residence-one/31563510078
Move-in ready,"$591,890",3.0,2.5,1932.0,"16254 Lozano Street #7, Fontana, CA",Residence Two in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-two/31526510158
Move-in ready,"$634,680",4.0,3.0,2238.0,"580 Courtlynn Road, Rialto, CA",Residence Three in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/summerbrooke/residence-three/31534512139
Under construction,"$429,990",3.0,2.5,1378.0,"36351 Elizabeth Ln Unt 25106, Wildomar, CA",Residence 1 in Horizon Place,https://www.lennar.com/new-homes/california/inland-empire/wildomar/horizon-place/residence-1/31552510026
Under construction,"$429,990",3.0,2.5,1378.0,"36351 Elizabeth Ln Unt 18105, Wildomar, CA",Residence 1 in Horizon Place,https://www.lennar.com/new-homes/california/inland-empire/wildomar/horizon-place/residence-1/31552510030
Under construction,"$430,990",3.0,2.5,1418.0,"36351 Elizabeth Ln Unt 33103, Wildomar, CA",Residence 2 in Horizon Place,https://www.lennar.com/new-homes/california/inland-empire/wildomar/horizon-place/residence-2/31552510016
Under construction,"$472,990",3.0,2.5,1692.0,"36351 Elizabeth Ln Unt 33101, Wildomar, CA",Residence 3 in Horizon Place,https://www.lennar.com/new-homes/california/inland-empire/wildomar/horizon-place/residence-3/31552510015
Under construction,"$524,295",5.0,3.0,2698.0,"30722 Pitch Pine Drive, Homeland, CA",Residence Three in Sunset Crossing,https://www.lennar.com/new-homes/california/inland-empire/homeland/sunset-crossing/hillside/residence-three/31543510003
Under construction,"$569,755",4.0,3.0,2434.0,"30734 Pitch Pine Drive, Homeland, CA",Residence Two in Sunset Crossing,https://www.lennar.com/new-homes/california/inland-empire/homeland/sunset-crossing/hillside/residence-two/31543510002
Under construction,"$730,050",4.0,2.0,2215.0,"16781 Tulip Tree Street, Fontana, CA",Residence One in The Arboretum,https://www.lennar.com/new-homes/california/inland-empire/fontana/the-arboretum/azalea/residence-one/31579513094
Under construction,"$753,820",4.0,3.0,2877.0,"16694 Island Oak Street, Fontana, CA",Residence Three in The Arboretum,https://www.lennar.com/new-homes/california/inland-empire/fontana/the-arboretum/silverberry/residence-three/31577513137
Under construction,"$426,990",3.0,2.5,1399.0,"34495 Agave Drive Unit 10110, Winchester, CA",Residence One in Sevilla,https://www.lennar.com/new-homes/california/inland-empire/winchester/sevilla/residence-one/31508510057
Under construction,"$620,025",4.0,3.5,2649.0,"26428 Cherry Birch Avenue, Menifee, CA",Residence One in Quartz Ranch,https://www.lennar.com/new-homes/california/inland-empire/menifee/quartz-ranch/canyon-view/residence-one/31524511065
Under construction,"$505,780",3.0,2.5,1577.0,"2494 Gunner Ridge Way, Rialto, CA",Residence One in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/the-cove/residence-one/31535515093
Under construction,"$705,037",4.0,2.5,2809.0,"2414 Huron Road, Rialto, CA",Residence Two in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/stonecreek/residence-two/31533513080
Under construction,"$555,220",3.0,2.5,1705.0,"369 Cachuma Court, Rialto, CA",Residence Two in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/blueridge/residence-two/31536516112
Under construction,"$476,900",4.0,2.0,2201.0,"1768 Earp Way, Hemet, CA",Residence Four in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/whispering-hills/residence-four/31506510224
Under construction,"$569,220",3.0,2.5,1843.0,"373 Cachuma Court, Rialto, CA",Residence Three in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/blueridge/residence-three/31536516113
Under construction,"$629,370",4.0,3.0,2253.0,"1760 Gold Medal Lane, Redlands, CA",Residence Four in Traditions,https://www.lennar.com/new-homes/california/inland-empire/redlands/traditions/heritage/residence-four/31516510022
Under construction,"$564,130",3.0,2.5,2007.0,"16203 Castello Lane #8, Fontana, CA",Residence Three in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/rivello/residence-three/31525510062
Under construction,"$496,810",3.0,2.5,1823.0,"32034 Prairie Crossing Drive, Winchester, CA",Residence One in Prairie Crossing,https://www.lennar.com/new-homes/california/inland-empire/winchester/prairie-crossing/meadow-view/residence-one/31509510097
Under construction,"$627,050",3.0,2.0,2140.0,"2391 Huron Road, Rialto, CA",Residence One in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/stonecreek/residence-one/31533513043
Under construction,"$695,350",2.0,2.0,1552.0,"3991 E. Amigos Privado, Ontario, CA",Residence 2 in Esperanza,https://www.lennar.com/new-homes/california/inland-empire/ontario/esperanza/vivir/residence-2/1475511070
Under construction,"$548,830",3.0,2.5,1832.0,"16229 Castello Lane #2, Fontana, CA",Residence Two in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/rivello/residence-two/31525510064
Under construction,"$693,990",2.0,2.0,1552.0,"3972 E. Amigos Privado, Ontario, CA",Residence 2 in Esperanza,https://www.lennar.com/new-homes/california/inland-empire/ontario/esperanza/vivir/residence-2/1475511035
Under construction,"$499,030",4.0,3.0,2590.0,"1957 Old Steel Way, Hemet, CA",Residence Four in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/bridle-walk/residence-four/31507511114
Under construction,"$751,950",4.0,3.0,2877.0,"5040 Boston Ivy Street, Fontana, CA",Residence Three in The Arboretum,https://www.lennar.com/new-homes/california/inland-empire/fontana/the-arboretum/silverberry/residence-three/31577513061
Under construction,"$664,290",2.0,2.0,1381.0,"4623 S. Reina Privado, Ontario, CA",Residence 1 in Esperanza,https://www.lennar.com/new-homes/california/inland-empire/ontario/esperanza/vivir/residence-1/1475511068
Under construction,"$531,920",3.0,2.5,1823.0,"26671 Evergreen Crest Circle, Menifee, CA",Residence One in Quartz Ranch,https://www.lennar.com/new-homes/california/inland-empire/menifee/quartz-ranch/meadow-walk/residence-one/31522511022
Under construction,"$567,340",4.0,3.0,2203.0,"30994 Douglas Crest Circle, Menifee, CA",Residence Three in Quartz Ranch,https://www.lennar.com/new-homes/california/inland-empire/menifee/quartz-ranch/meadow-walk/residence-three/31522511030
Under construction,"$551,695",3.0,2.0,1950.0,"30970 Douglas Crest Circle, Menifee, CA",Residence Two in Quartz Ranch,https://www.lennar.com/new-homes/california/inland-empire/menifee/quartz-ranch/meadow-walk/residence-two/31522511032
Under construction,"$538,285",3.0,2.0,1950.0,"30987 Douglas Crest Circle, Menifee, CA",Residence Two in Quartz Ranch,https://www.lennar.com/new-homes/california/inland-empire/menifee/quartz-ranch/meadow-walk/residence-two/31522511076
Under construction,"$489,705",4.0,3.0,2203.0,"25829 Drum Himm Drive, Homeland, CA",Residence One in Sunset Crossing,https://www.lennar.com/new-homes/california/inland-empire/homeland/sunset-crossing/outlook/residence-one/31542510019
Under construction,"$571,545",3.0,2.5,1822.0,"16229 Castello Lane #5, Fontana, CA",Residence One in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-one/31526510067
Under construction,"$450,125",3.0,2.0,1950.0,"5078 Hoss Circle, Hemet, CA",Residence One in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/colt-ridge/residence-one/31563510102
Under construction,"$478,300",3.0,2.0,1792.0,"30867 Pitch Pine Drive, Homeland, CA",Residence One in Sunset Crossing,https://www.lennar.com/new-homes/california/inland-empire/homeland/sunset-crossing/hillside/residence-one/31543511018
Under construction,"$583,820",3.0,2.0,1950.0,"2535 Allegheny Road, Rialto, CA",Residence One in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/summerbrooke/residence-one/31534512056
Under construction,"$521,015",4.0,2.5,2892.0,"5094 Hoss Circle, Hemet, CA",Residence Three in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/colt-ridge/residence-three/31563510104
Under construction,"$696,600",3.0,2.5,1651.0,"2058 Moonlit Marsh, Upland, CA",Residence One in The Enclave,https://www.lennar.com/new-homes/california/inland-empire/upland/the-enclave/centerstone/residence-one/31521510061
Under construction,"$575,990",3.0,2.5,1932.0,"16255 Castello Lane #1, Fontana, CA",Residence Two in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-two/31526510071
Under construction,"$573,880",5.0,3.5,3171.0,"5093 Hoss Circle, Hemet, CA",Residence Four in Saddle Point,https://www.lennar.com/new-homes/california/inland-empire/hemet/saddle-point/colt-ridge/residence-four/31563510113
Under construction,"$572,235",3.0,2.0,1950.0,"589 Hudson Way, Rialto, CA",Residence One in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/summerbrooke/residence-one/31534512141
Under construction,"$696,100",3.0,2.5,1651.0,"2051 Moonlit Marsh, Upland, CA",Residence One in The Enclave,https://www.lennar.com/new-homes/california/inland-empire/upland/the-enclave/centerstone/residence-one/31521510077
Under construction,"$567,900",3.0,2.5,1822.0,"16255 Castello Lane #5, Fontana, CA",Residence One in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-one/31526510075
Under construction,"$606,500",3.0,2.5,2207.0,"16255 Castello Lane #6, Fontana, CA",Residence Three in Monterado,https://www.lennar.com/new-homes/california/inland-empire/fontana/monterado/salerno/residence-three/31526510076
Under construction,"$426,990",3.0,2.5,1408.0,"34495 Agave Drive Unit 11103, Winchester, CA",Residence Two in Sevilla,https://www.lennar.com/new-homes/california/inland-empire/winchester/sevilla/residence-two/31508510060
Under construction,"$426,990",3.0,2.5,1408.0,"34495 Agave Drive Unit 11107, Winchester, CA",Residence Two in Sevilla,https://www.lennar.com/new-homes/california/inland-empire/winchester/sevilla/residence-two/31508510062
Under construction,"$680,985",4.0,3.0,2700.0,"2571 Emerald Bay Drive, Rialto, CA",Residence Three in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/edgestone/residence-three/31531511005
Under construction,"$627,155",4.0,3.0,2253.0,"2579 Emerald Bay Drive, Rialto, CA",Residence One in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/edgestone/residence-one/31531511006
Under construction,"$645,785",4.0,3.0,2547.0,"2587 Emerald Bay Drive, Rialto, CA",Residence Two in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/edgestone/residence-two/31531511007
Under construction,"$464,460",3.0,2.5,1599.0,"34495 Agave Drive Unit 12112, Winchester, CA",Residence Three in Sevilla,https://www.lennar.com/new-homes/california/inland-empire/winchester/sevilla/residence-three/31508510070
Under construction,"$642,590",4.0,3.0,2547.0,"2611 Enerald Bay Drive, Rialto, CA",Residence Two in River Ranch,https://www.lennar.com/new-homes/california/inland-empire/rialto/river-ranch/edgestone/residence-two/31531511010
