Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$779,990",2.0,2.5,1490.0,"212 Juniper Drive, Rancho Mission Viejo, CA",Oasis 3 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-3/11538510081
Move-in ready,"$608,672",2.0,2.0,1036.0,"1401 Lasso Way #301, Rancho Mission Viejo, CA",Portico 2M in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/portico/portico-2m/11537510092
Move-in ready,"$1,759,990",4.0,3.5,2920.0,"18722 Dawn Street, Fountain Valley, CA",The Currents 2 in The Currents,https://www.lennar.com/new-homes/california/la-orange-county/fountain-valley/the-currents/the-currents-2/11591510025
Move-in ready,"$628,291",2.0,2.0,1093.0,"1200 Lasso Way #305, Rancho Mission Viejo, CA",Portico 3 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/portico/portico-3/11537510036
Move-in ready,"$594,990",1.0,1.5,961.0,"112 Juniper Drive, Rancho Mission Viejo, CA",Oasis 1 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-1/11538510090
Move-in ready,"$1,791,990",3.0,2.5,2488.0,"103 Bosal, Irvine, CA",Skylark 2 in Great Park Neighborhoods,https://www.lennar.com/new-homes/california/la-orange-county/irvine/great-park-neighborhoods/skylark-at-solis-park/skylark-2/11589510002
Move-in ready,"$779,990",2.0,2.5,1458.0,"172 Juniper Drive, Rancho Mission Viejo, CA",Oasis 4 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-4/11538510085
Move-in ready,"$659,294",2.0,2.0,1253.0,"1401 Lasso Way #303, Rancho Mission Viejo, CA",Portico 4 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/portico/portico-4/11537510094
Move-in ready,"$649,990",2.0,2.0,1093.0,"1100 Lasso Way #105, Rancho Mission Viejo, CA",Portico 3ACC in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/portico/portico-3acc/11537510014
Move-in ready,"$665,811",2.0,2.0,1377.0,"1100 Lasso Way #203, Rancho Mission Viejo, CA",Portico 4-1 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/portico/portico-4-1/11537510017
Move-in ready,"$754,868",2.0,2.5,1263.0,"132 Juniper Drive, Rancho Mission Viejo, CA",Oasis 2-3 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-2-3/11538510088
Move-in ready,"$795,977",2.0,2.5,1490.0,"142 Juniper Drive, Rancho Mission Viejo, CA",Oasis 3-1 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-3-1/11538510087
Move-in ready,"$809,990",2.0,2.5,1458.0,"120 Mountaineer Drive, Rancho Mission Viejo, CA",Oasis 4 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-4/11538510067
Move-in ready,"$839,990",2.0,2.5,1418.0,"45 Gander Court, Rancho Mission Viejo, CA",Serenity 1 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/serenity/serenity-1/11539510067
Move-in ready,"$744,990",2.0,2.5,1263.0,"100 Mountaineer Drive, Rancho Mission Viejo, CA",Oasis 2-2M in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-2-2m/11538510065
Move-in ready,"$902,990",2.0,2.5,1592.0,"55 Gander Court, Rancho Mission Viejo, CA",Serenity 2 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/serenity/serenity-2/11539510066
Move-in ready,"$744,990",2.0,2.5,1263.0,"90 Mountaineer Drive, Rancho Mission Viejo, CA",Oasis 2 in Rancho Mission Viejo,https://www.lennar.com/new-homes/california/la-orange-county/rancho-mission-viejo/rancho-mission-viejo/oasis/oasis-2/11538510064
Move-in ready,"$2,029,990",5.0,4.5,3221.0,"9851 Heron Avenue, Fountain Valley, CA",The Currents 3 in The Currents,https://www.lennar.com/new-homes/california/la-orange-county/fountain-valley/the-currents/the-currents-3/11591510069
Under construction,"$859,990",1.0,2.0,1473.0,"3402 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513402
Under construction,"$2,049,990",4.0,4.5,2817.0,"21161 Strathmoor Lane, Huntington Beach, CA",Seamark 1 in Seamark,https://www.lennar.com/new-homes/california/la-orange-county/huntington-beach/seamark/seamark-1/11595510081
Under construction,"$1,129,990",4.0,3.5,2617.0,"1108 Poppy Court, Montebello, CA",Meridian 3X in Metro Heights,https://www.lennar.com/new-homes/california/la-orange-county/montebello/metro-heights/meridian/meridian-3x/11564510206
Under construction,"$1,939,990",4.0,3.5,2920.0,"9792 Heron Avenue, Fountain Valley, CA",The Currents 2 in The Currents,https://www.lennar.com/new-homes/california/la-orange-county/fountain-valley/the-currents/the-currents-2/11591510013
Under construction,"$799,990",1.0,1.5,1273.0,"4208 Rivington, Irvine, CA",Lexington 1-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-1-1/11526514208
Under construction,"$1,921,990",4.0,3.5,2920.0,"9837 Heron Avenue, Fountain Valley, CA",The Currents 2 in The Currents,https://www.lennar.com/new-homes/california/la-orange-county/fountain-valley/the-currents/the-currents-2/11591510068
Under construction,"$672,990",1.0,1.0,971.0,"203 Sash, Irvine, CA",Dawn 1 in Great Park Neighborhoods,https://www.lennar.com/new-homes/california/la-orange-county/irvine/great-park-neighborhoods/dawn-at-solis-park/dawn-1/11581510002
Under construction,"$1,012,990",4.0,3.5,2034.0,"1268 Poppy Court, Montebello, CA",Meridian 1 in Metro Heights,https://www.lennar.com/new-homes/california/la-orange-county/montebello/metro-heights/meridian/meridian-1/11564510222
Under construction,"$799,990",1.0,1.5,1278.0,"3211 Rivington, Irvine, CA",Lexington 1-6 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-1-6/11526513211
Under construction,"$799,990",1.0,1.5,1278.0,"3209 Rivington, Irvine, CA",Lexington 1-7 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-1-7/11526513209
Under construction,"$829,990",1.0,2.0,1346.0,"3103 Rivington, Irvine, CA",Lexington 2-2 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-2-2/11526513103
Under construction,"$844,990",1.0,2.0,1378.0,"3208 Rivington, Irvine, CA",Lexington 2-3 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-2-3/11526513208
Under construction,"$839,990",1.0,2.0,1390.0,"3207 Rivington, Irvine, CA",Lexington 2-4 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-2-4/11526513207
Under construction,"$859,990",1.0,2.0,1473.0,"3403 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513403
Under construction,"$864,990",1.0,2.0,1473.0,"3502 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513502
Under construction,"$884,990",1.0,2.0,1473.0,"3603 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513603
Under construction,"$914,990",1.0,2.0,1473.0,"3702 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513702
Under construction,"$914,990",1.0,2.0,1473.0,"3703 Rivington, Irvine, CA",Lexington 3-1 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-1/11526513703
Under construction,"$874,990",1.0,2.0,1476.0,"3413 Rivington, Irvine, CA",Lexington 3-2 in Central Park West,https://www.lennar.com/new-homes/california/la-orange-county/irvine/central-park-west/lexington/lexington-3-2/11526513413
