Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$769,000",2.0,2.0,1080.0,"51 Innes Ct #312, San Francisco, CA",Monarch 4-312 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-4-312/51571514312
Move-in ready,"$1,133,476",3.0,3.5,1822.0,"70105 Via Vicenza BD 19, San Ramon, CA",Residence 1 in The Preserve,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-ramon/the-preserve/hillcrest/residence-1/65917510097
Move-in ready,"$1,250,680",4.0,3.0,2134.0,"70103 Via Vicenza BD 19, San Ramon, CA",Residence 2 in The Preserve,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-ramon/the-preserve/hillcrest/residence-2/65917510096
Move-in ready,"$584,880",3.0,2.5,1578.0,"2255 Daimler Street, Lathrop, CA",Residence 1 in River Islands,https://www.lennar.com/new-homes/california/san-francisco-bay-area/lathrop/river-islands/horizon/residence-1/2842510323
Move-in ready,"$593,880",3.0,2.5,1578.0,"17864 Oberlin Avenue, Lathrop, CA",Residence 1 in River Islands,https://www.lennar.com/new-homes/california/san-francisco-bay-area/lathrop/river-islands/horizon/residence-1/2842510315
Move-in ready,"$594,880",3.0,2.5,1578.0,"2329 Boulware Court, Lathrop, CA",Residence 1 in River Islands,https://www.lennar.com/new-homes/california/san-francisco-bay-area/lathrop/river-islands/horizon/residence-1/2842510341
Move-in ready,"$899,000",3.0,2.0,1478.0,"51 Innes Ct #402, San Francisco, CA",Monarch 4-402 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-4-402/51571514402
Move-in ready,"$899,000",3.0,2.0,1409.0,"51 Innes Ct #403, San Francisco, CA",Monarch 4-403 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-4-403/51571514403
Move-in ready,"$899,000",3.0,2.0,1409.0,"52 Innes Ct #403, San Francisco, CA",Monarch 3-403 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-3-403/51571513403
Move-in ready,"$699,000",2.0,2.0,1020.0,"10 Innes Ct #304, San Francisco, CA",Landing 2-304 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/landing/landing-2-304/51570512304
Move-in ready,"$949,000",3.0,2.0,1256.0,"10 Innes Ct #401, San Francisco, CA",Landing 2-401 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/landing/landing-2-401/51570512401
Move-in ready,"$729,000",2.0,2.0,1044.0,"10 Innes Ct #404, San Francisco, CA",Landing 2-404 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/landing/landing-2-404/51570512404
Move-in ready,"$733,195",4.0,3.0,2365.0,"12666 Quantum Way, Rancho Cordova, CA",Residence 2365 in Viridian,https://www.lennar.com/new-homes/california/sacramento/rancho-cordova/viridian/residence-2365/1629510003
Move-in ready,"$1,242,978",5.0,4.5,3940.0,"5726 Ebbshore Street, Sacramento, CA",Residence 3940 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/atla/residence-3940/2348512259
Move-in ready,"$727,378",3.0,2.5,2756.0,"4730 Trumpet Lily Way, Roseville, CA",Residence 2756 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2756/1663510116
Move-in ready,"$766,329",5.0,3.0,2617.0,"208 Blade Court, Roseville, CA",Residence 2617 in Corvara II at Campus Oaks,https://www.lennar.com/new-homes/california/sacramento/roseville/corvara-ii-at-campus-oaks/residence-2617/2357517008
Move-in ready,"$980,470",5.0,3.5,4041.0,"904 Greeley Court, Cameron Park, CA",Residence 4041 in Sapphire Cliff at Bass Lake Hills,https://www.lennar.com/new-homes/california/sacramento/cameron-park/sapphire-cliff-at-bass-lake-hills/residence-4041/2361510010
Move-in ready,"$787,391",5.0,3.0,3046.0,"4049 Stanwick Avenue, Sacramento, CA",Residence 3046 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/bleau/residence-3046/2345514105
Move-in ready,"$814,900",4.0,3.5,2704.0,"3813 Watermist Way, Sacramento, CA",Residence 2704 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/watersyde/residence-2704/2353516008
Move-in ready,"$993,920",4.0,3.5,2527.0,"8044 Benevento Drive, El Dorado Hills, CA",Residence 2527 in Emerald Peak at Bass Lake Hills,https://www.lennar.com/new-homes/california/sacramento/el-dorado-hills/emerald-peak-at-bass-lake-hills/residence-2527/1624510053
Move-in ready,"$740,661",4.0,3.0,2679.0,"3737 Imogine Avenue, Sacramento, CA",Residence 2679 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/crestvue/residence-2679/2354517107
Move-in ready,"$631,482",3.0,2.5,2114.0,"5742 Harveston Way, Sacramento, CA",Residence 2114 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/lakelet/residence-2114/2355518043
Move-in ready,"$633,482",3.0,2.5,2114.0,"5713 Littlestone Street, Sacramento, CA",Residence 2114 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/lakelet/residence-2114/2355510030
Move-in ready,"$868,753",5.0,3.0,3046.0,"4630 Scenic Vista Drive, Folsom, CA",Residence 3046 in Brass Pointe at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/brass-pointe-at-russell-ranch/residence-3046/2360510226
Move-in ready,"$729,878",3.0,2.5,2756.0,"8353 Evans Tree Drive, Roseville, CA",Residence 2756 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2756/1663510186
Move-in ready,"$518,990",2.0,2.5,1712.0,"8258 Evans Tree Drive, Roseville, CA",Residence 1712 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/moliseactiveadult55/residence-1712/1632510288
Move-in ready,"$656,100",3.0,2.5,1642.0,"8785 Cerro Vista Drive, El Dorado Hills, CA",The Amethyst Plan 1642 in Heritage El Dorado Hills | Active Adult,https://www.lennar.com/new-homes/california/sacramento/el-dorado-hills/heritage-el-dorado-hills--active-adult/mosaicactiveadult55/the-amethyst-plan-1642/1553520504
Move-in ready,"$627,597",3.0,3.0,2246.0,"8324 Evans Tree Drive, Roseville, CA",Residence 2246 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2246/1659510315
Move-in ready,"$735,307",3.0,2.5,2756.0,"8360 Evans Tree Drive, Roseville, CA",Residence 2756 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2756/1663510324
Move-in ready,"$743,176",4.0,3.5,2786.0,"5913 Filial Street, Sacramento, CA",Residence 2786 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/wavmor/residence-2786/2352515223
Move-in ready,"$633,482",3.0,2.5,2114.0,"5731 Littlestone Street, Sacramento, CA",Residence 2114 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/lakelet/residence-2114/2355510033
Move-in ready,"$1,287,424",4.0,3.5,3467.0,"4753 Villa Verde Drive, Folsom, CA",Residence 3467 in Platinum Peak at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/platinum-peak-at-russell-ranch/residence-3467/2372510119
Move-in ready,"$756,454",3.0,3.5,2993.0,"8349 Evans Tree Drive, Roseville, CA",Residence 2993 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2993/1663510187
Move-in ready,"$1,252,245",4.0,3.5,3624.0,"4587 Scenic Vista Drive, Folsom, CA",Residence 3624 in Gold Cliff at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/gold-cliff-at-russell-ranch/residence-3624/2370510164
Move-in ready,"$963,278",4.0,3.5,3180.0,"4001 Watermist Way, Sacramento, CA",Residence 3180 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/bleau/residence-3180/2345512128
Move-in ready,"$572,296",2.0,2.0,1903.0,"8289 Evans Tree Drive, Roseville, CA",Residence 1903 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-1903/1659510201
Move-in ready,"$775,840",4.0,3.0,2632.0,"5663 Drifton Way, Sacramento, CA",Residence 2632 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/atla/residence-2632/2348512106
Move-in ready,"$623,787",3.0,3.0,2246.0,"8285 Evans Tree Drive, Roseville, CA",Residence 2246 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2246/1659510202
Move-in ready,"$745,514",4.0,3.5,2786.0,"501 Knightsbridge Court, Roseville, CA",Residence 2786 in Corvara II at Campus Oaks,https://www.lennar.com/new-homes/california/sacramento/roseville/corvara-ii-at-campus-oaks/residence-2786/2357512005
Move-in ready,"$517,990",4.0,3.0,2013.0,"1730 Matmor Road, Woodland, CA",Residence 2013 in Iris,https://www.lennar.com/new-homes/california/sacramento/woodland/iris/residence-2013/68122510010
Move-in ready,"$755,065",3.0,3.5,2993.0,"8352 Evans Tree Drive, Roseville, CA",Residence 2993 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2993/1663510322
Move-in ready,"$689,635",4.0,2.5,2427.0,"5473 Fandango Loop, Roseville, CA",Residence 2427 in Lumiere at Sierra West,https://www.lennar.com/new-homes/california/sacramento/roseville/lumiere-at-sierra-west/residence-2427/1651512004
Move-in ready,"$817,031",4.0,3.5,2704.0,"3773 Watermist Way, Sacramento, CA",Residence 2704 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/watersyde/residence-2704/2353516012
Move-in ready,"$501,990",2.0,2.0,1444.0,"8231 Casa Blanca Way, Roseville, CA",Residence 1444 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/moliseactiveadult55/residence-1444/1632510279
Move-in ready,"$761,074",5.0,3.0,3046.0,"5628 Drifton Way, Sacramento, CA",Residence 3046 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/bleau/residence-3046/2345511021
Move-in ready,"$868,753",5.0,3.0,3046.0,"4590 Scenic Vista Drive, Folsom, CA",Residence 3046 in Brass Pointe at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/brass-pointe-at-russell-ranch/residence-3046/2360510236
Move-in ready,"$669,711",3.0,2.5,1828.0,"3265 Sherman Way, Folsom, CA",Residence 1828 in Rockcress at Folsom Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/rockcress-at-folsom-ranch/residence-1828/1682510577
Move-in ready,"$782,840",4.0,3.0,2632.0,"5651 Drifton Way, Sacramento, CA",Residence 2632 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/atla/residence-2632/2348512109
Move-in ready,"$730,307",3.0,2.5,2756.0,"8344 Evans Tree Drive, Roseville, CA",Residence 2756 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2756/1663510320
Move-in ready,"$642,079",3.0,3.0,2134.0,"4073 Waterleaf Avenue, Sacramento, CA",Residence 2134 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/wavmor/residence-2134/2352515302
Move-in ready,"$1,259,178",4.0,3.5,3624.0,"4567 Scenic Vista Drive, Folsom, CA",Residence 3624 in Gold Cliff at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/gold-cliff-at-russell-ranch/residence-3624/2370510159
Move-in ready,"$1,442,896",5.0,5.5,3554.0,"4709 Iron Bird Drive, Folsom, CA",Residence 3554 in Platinum Peak at Russell Ranch,https://www.lennar.com/new-homes/california/sacramento/folsom/platinum-peak-at-russell-ranch/residence-3554/2372510153
Move-in ready,"$758,954",3.0,3.5,2993.0,"8341 Evans Tree Drive, Roseville, CA",Residence 2993 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2993/1663510189
Move-in ready,"$612,326",2.0,2.5,1504.0,"8840 Cerro Vista Drive, El Dorado Hills, CA",The Opal Plan 1504 in Heritage El Dorado Hills | Active Adult,https://www.lennar.com/new-homes/california/sacramento/el-dorado-hills/heritage-el-dorado-hills--active-adult/mosaicactiveadult55/the-opal-plan-1504/1553520577
Move-in ready,"$777,266",4.0,3.0,2632.0,"5656 Drifton Way, Sacramento, CA",Residence 2632 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/atla/residence-2632/2348512111
Move-in ready,"$783,332",4.0,3.0,2469.0,"3767 Watermist Way, Sacramento, CA",Residence 2469 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/watersyde/residence-2469/2353516013
Move-in ready,"$847,022",5.0,3.5,3425.0,"4218 Bellwether Way, Sacramento, CA",Residence 3425 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/drifton/residence-3425/2351513156
