Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$957,240",4.0,3.0,2372.0,"17534 SW 46 ST, Miramar, FL",Colonia in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/colonia/6091600164
Move-in ready,"$921,040",3.0,2.5,2031.0,"17490 SW 46 ST, Miramar, FL",Alameda in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/alameda/6091600169
Move-in ready,"$984,190",4.0,3.0,2676.0,"17504 SW 46 ST, Miramar, FL",Costa in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/costa/6091600168
Move-in ready,"$571,740",3.0,2.5,1465.0,"11854 NW 47 MNR, Coral Springs, FL",Cassia in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/cassia/611060d114
Move-in ready,"$604,340",4.0,2.5,1794.0,"11850 NW 47 MNR, Coral Springs, FL",Gardenia in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/gardenia/611060d116
Move-in ready,"$996,240",4.0,4.0,2861.0,"17430 SW 46 ST, Miramar, FL",Fontana in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/fontana/6091600172
Under construction,"$561,315",3.0,2.5,1362.0,"11855 NW 47 MNR, Coral Springs, FL",Althea in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/althea/6110600524
Under construction,"$625,215",3.0,3.0,1961.0,"11836 NW 47 MNR, Coral Springs, FL",Rose in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/rose/611060e117
Under construction,"$582,065",3.0,2.5,1594.0,"4667 NW 118 AVE, Coral Springs, FL",Daphne in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/daphne/6110600837
Under construction,"$592,215",3.0,2.5,1706.0,"4665 NW 118 AVE, Coral Springs, FL",Freesia in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/freesia/6110600838
Under construction,"$1,045,840",5.0,4.5,3358.0,"4577 SW 173 AVE, Miramar, FL",Marquez in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/marquez/6091600184
