Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$385,880",4.0,2.0,2124.0,"2824 Hammock Dale Ct, Green Cove Springs, FL",CHARLE in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/charle/7856610118
Move-in ready,"$422,380",5.0,2.5,2358.0,"3048 Crossfield Drive, Green Cove Springs, FL",BRIO in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/brio/7856610111
Move-in ready,"$420,880",5.0,2.5,2358.0,"3103 Crossfield Drive, Green Cove Springs, FL",BRIO in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/brio/7856610147
Move-in ready,"$525,475",3.0,2.0,2124.0,"1228 Stillwater Blvd, St. Johns, FL",CHARLE in Stillwater | Active Adult 55+,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwateractiveadult55/stillwater50sroyalcollection/charle/7886610202
Move-in ready,"$387,880",4.0,2.0,2124.0,"2848 Hammock Dale Ct, Green Cove Springs, FL",CHARLE in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/charle/7856610124
Move-in ready,"$360,880",3.0,2.0,1712.0,"2833 Hammock Dale Ct, Green Cove Springs, FL",HALLE in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/halle/7856610130
Move-in ready,"$522,975",3.0,2.0,2124.0,"1282 Stillwater Blvd, St. Johns, FL",CHARLE in Stillwater | Active Adult 55+,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwateractiveadult55/stillwater50sroyalcollection/charle/7886610208
Move-in ready,"$570,475",4.0,3.5,2270.0,"1266 Stillwater Blvd, St. Johns, FL",INDEPENDENCE in Stillwater | Active Adult 55+,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwateractiveadult55/stillwater50sroyalcollection/independence/7886610206
Move-in ready,"$447,475",3.0,2.0,2268.0,"85459 STONEHURST PKWY, Fernandina Beach, FL",Princeton in Amelia Walk,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/fernandina-beach/amelia-walk/princeton/7859615151
Move-in ready,"$388,957",4.0,3.0,2028.0,"3071 Crossfield Drive, Green Cove Springs, FL",TREVI in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/trevi/7856610155
