Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$548,583",3.0,3.0,2444.0,"20791 Copperhead Dr, Lehigh Acres, FL",The Summerville II in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/manor-homes/the-summerville-ii/23301600108
Move-in ready,"$449,298",3.0,3.0,2444.0,"20771 Copperhead Dr, Lehigh Acres, FL",The Summerville II in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/manor-homes/the-summerville-ii/23301600110
Move-in ready,"$416,597",4.0,3.0,2267.0,"20781 Copperhead Dr, Lehigh Acres, FL",Tivoli in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/manor-homes/tivoli/23301600109
Move-in ready,"$426,100",3.0,2.0,1741.0,"6052 Ellerston Way #1712, Ave Maria, FL",Arrowhead in The National Golf & Country Club,https://www.lennar.com/new-homes/florida/naples-ft-myers/ave-maria/the-national-golf-country-club/coach-homes/arrowhead/16169601712
Move-in ready,"$420,418",3.0,2.0,2110.0,"14126 Poppy field Loop #3922, Punta Gorda, FL",Bay Creek in Heritage Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/punta-gorda/heritage-landing/coach-homes/bay-creek/16163603922
Move-in ready,"$393,104",3.0,3.0,1849.0,"14687 Portico Blvd, Fort Myers, FL",Venice in Portico,https://www.lennar.com/new-homes/florida/naples-ft-myers/fort-myers/portico/executive-homes/venice/9601600521
Move-in ready,"$500,597",3.0,2.5,2361.0,"13406 Lansing Ave, Port Charlotte, FL",Oakmont II in Lennar at South Gulf Cove,https://www.lennar.com/new-homes/florida/naples-ft-myers/port-charlotte/lennar-at-south-gulf-cove/oakmont-ii/655360s017
Move-in ready,"$400,104",3.0,3.0,1849.0,"14651 Portico Blvd (corner), Fort Myers, FL",Venice in Portico,https://www.lennar.com/new-homes/florida/naples-ft-myers/fort-myers/portico/executive-homes/venice/9601600517
Move-in ready,"$588,596",4.0,3.0,2725.0,"17010 SERENGETI CIR, Alva, FL",Richmond in Serengeti Estates,https://www.lennar.com/new-homes/florida/naples-ft-myers/alva/serengeti-estates/richmond/6591600002
Move-in ready,"$476,596",2.0,2.0,2061.0,"25290 Bigleaf Terrace, Punta Gorda, FL",Angelina in Heritage Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/punta-gorda/heritage-landing/executive-homes/angelina/16160600431
Move-in ready,"$419,597",4.0,3.0,2267.0,"20761 Copperhead Dr, Lehigh Acres, FL",Tivoli in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/manor-homes/tivoli/23301600111
Move-in ready,"$321,998",2.0,2.0,1564.0,"9088 LEATHERWOOD LOOP, Lehigh Acres, FL",Orchid in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/villa-homes/orchid/23302600514
Move-in ready,"$316,997",2.0,2.0,1564.0,"9053 LEATHERWOOD LOOP, Lehigh Acres, FL",Orchid in Ibis Landing,https://www.lennar.com/new-homes/florida/naples-ft-myers/lehigh-acres/ibis-landing/villa-homes/orchid/23302600602
