Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$312,475",3.0,3.0,2028.0,"7846 SW 74th Loop, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710125
Move-in ready,"$302,980",3.0,2.0,1712.0,"7858 SW 74th Loop, Ocala, FL",HALLE in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/halle/24208710128
Move-in ready,"$304,480",3.0,2.0,1712.0,"9040 SW 58th Cir, Ocala, FL",HALLE in Freedom Crossings Preserve,https://www.lennar.com/new-homes/florida/ocala/ocala/freedom-crossings-preserve/phase-one/halle/24206760079
Move-in ready,"$304,975",3.0,2.0,1712.0,"7410 SW 77th Ave, Ocala, FL",HALLE in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/halle/24208710114
Move-in ready,"$423,380",4.0,3.0,2267.0,"1210 SE 42nd Road, Ocala, FL",Tivoli in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/tivoli/2420375oh74
Move-in ready,"$282,475",2.0,2.0,1544.0,"7792 SW 74th Loop, Ocala, FL",ELAN in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/elan/24208710183
Move-in ready,"$314,975",3.0,3.0,2028.0,"7446 SW 77th Ave, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710116
Move-in ready,"$306,975",3.0,3.0,2028.0,"7561 SW 76th Terrace, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710181
Move-in ready,"$432,475",3.0,2.0,2268.0,"4139 SE 13th Terrace, Ocala, FL",Princeton in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/princeton/2420375oh23
Move-in ready,"$293,975",2.0,2.0,1544.0,"7536 SW 77th Ave, Ocala, FL",ELAN in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/elan/24208710121
Move-in ready,"$324,480",3.0,2.0,1712.0,"9130 SW 58th Cir, Ocala, FL",HALLE in Freedom Crossings Preserve,https://www.lennar.com/new-homes/florida/ocala/ocala/freedom-crossings-preserve/phase-one/halle/24206760172
Move-in ready,"$349,175",5.0,2.5,2358.0,"5620 SW 90th Ln, Ocala, FL",BRIO in Freedom Crossings Preserve,https://www.lennar.com/new-homes/florida/ocala/ocala/freedom-crossings-preserve/phase-one/brio/24206760159
Move-in ready,"$418,975",3.0,2.0,2268.0,"1330 SE 43rd Road, Ocala, FL",Princeton in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/princeton/2420375oh45
Move-in ready,"$335,480",4.0,3.5,2270.0,"1990 NW 44TH COURT RD, Ocala, FL",CHLOE in Heath Preserve,https://www.lennar.com/new-homes/florida/ocala/ocala/heath-preserve/heath-preserve-the-enclave/chloe/24212760004
