Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$390,955",4.0,2.5,2584.0,"9388 REVERE AVENUE, Leesburg, FL",Providence in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/providence/16460720100
Move-in ready,"$415,185",5.0,2.5,2370.0,"1099 Cabot Cliffs Drive, Daytona Beach, FL",Columbia in Preserve at LPGA,https://www.lennar.com/new-homes/florida/orlando/daytona-beach/preserve-at-lpga/legacy-collection/columbia/16482720098
Move-in ready,"$445,555",4.0,3.0,2032.0,"3042 CAMDEN WAY, Davenport, FL",Hamilton in Providence,https://www.lennar.com/new-homes/florida/orlando/davenport/providence/providence-camden-park/hamilton/11115720063
Move-in ready,"$324,167",4.0,2.0,1853.0,"684 GROVE STREET, Winter Haven, FL",Allentown in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/allentown/16489722120
Move-in ready,"$317,620",3.0,2.0,1555.0,"723 GROVE STREET, Winter Haven, FL",Dover in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/dover/16489722061
Move-in ready,"$325,869",3.0,2.0,1555.0,"427 THREE OAKS DRIVE, Edgewater, FL",Dover in Majestic Oaks,https://www.lennar.com/new-homes/florida/orlando/edgewater/majestic-oaks/dover/16494720014
Move-in ready,"$354,449",4.0,2.0,1936.0,"423 THREE OAKS DRIVE, Edgewater, FL",Hartford in Majestic Oaks,https://www.lennar.com/new-homes/florida/orlando/edgewater/majestic-oaks/hartford/16494720012
Move-in ready,"$462,305",4.0,2.5,2583.0,"1157 SAND TRAP COURT, Daytona Beach, FL",Providence in Preserve at LPGA,https://www.lennar.com/new-homes/florida/orlando/daytona-beach/preserve-at-lpga/grand-collection/providence/16483720187
Move-in ready,"$379,096",4.0,2.0,1853.0,"884 LAUREL VIEW WAY, Groveland, FL",Allentown in Bellevue at Estates at Cherry Lake,https://www.lennar.com/new-homes/florida/orlando/groveland/bellevue-at-estates-at-cherry-lake/allentown/16492720118
Move-in ready,"$342,115",4.0,2.5,1879.0,"804 TIMBERLAND DRIVE, Eagle Lake, FL",Atlanta in Ranches at Lake Mcleod,https://www.lennar.com/new-homes/florida/orlando/eagle-lake/ranches-at-lake-mcleod/legacy-collection/atlanta/11127720001
