Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$683,787",2.0,2.5,1850.0,"17500 JADESTONE CT, Venice, FL",Victoria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/victoria/6547600050
Move-in ready,"$770,395",2.0,2.5,1850.0,"17142 JADESTONE CT, Venice, FL",Victoria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/victoria/6547600017
Move-in ready,"$678,597",2.0,2.5,1850.0,"17455 JADESTONE CT, Venice, FL",Victoria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/victoria/6547600063
Move-in ready,"$675,597",2.0,2.5,1850.0,"17495 JADESTONE CT, Venice, FL",Victoria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/victoria/6547600059
Move-in ready,"$680,787",2.0,2.5,1850.0,"17415 JADESTONE CT, Venice, FL",Victoria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/victoria/6547600067
Move-in ready,"$706,596",2.0,2.0,2061.0,"17450 JADESTONE CT, Venice, FL",Angelina in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/angelina/6547600045
Move-in ready,"$430,796",3.0,3.0,2201.0,"1830 SADDLEWOOD CIR, Port Charlotte, FL",Marsala in Biscayne Landing,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/marsala/16156600082
Move-in ready,"$473,144",3.0,2.0,1741.0,"5639 N Honore Ave #101, Sarasota, FL",Arrowhead in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/arrowhead/6592600211
Move-in ready,"$528,614",3.0,2.0,2110.0,"5639 N Honore Ave #202, Sarasota, FL",Bay Creek in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/bay-creek/6592600222
Move-in ready,"$405,796",4.0,3.0,2032.0,"1824 SADDLEWOOD CIR, Port Charlotte, FL",Trevi in Biscayne Landing,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/trevi/16156600083
Under construction,"$593,798",4.0,2.0,2244.0,"4932 Seafoam Trail, Lakewood Ranch, FL",The Princeton II in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/the-princeton-ii/16196600979
Under construction,"$479,443",3.0,2.0,1741.0,"5623 N Honore Ave #101, Sarasota, FL",Arrowhead in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/arrowhead/6592600311
Under construction,"$479,443",3.0,2.0,1741.0,"5623 N Honore Ave #102, Sarasota, FL",Arrowhead in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/arrowhead/6592600312
Under construction,"$528,614",3.0,2.0,2110.0,"5623 N Honore Ave #201, Sarasota, FL",Bay Creek in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/bay-creek/6592600321
Under construction,"$583,798",4.0,2.0,2244.0,"4889 Seafoam Trail, Lakewood Ranch, FL",The Princeton II in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/the-princeton-ii/16196600963
Under construction,"$726,585",4.0,2.0,2244.0,"4881 Seafoam Trail, Lakewood Ranch, FL",The Princeton II in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/the-princeton-ii/16196600965
Under construction,"$543,588",3.0,3.0,2201.0,"5218 Coral Reef Way, Lakewood Ranch, FL",Marsala in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/marsala/16195600913
Under construction,"$742,884",4.0,2.0,2244.0,"4865 Seafoam Trail, Lakewood Ranch, FL",The Princeton II in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/the-princeton-ii/16196600969
Under construction,"$432,796",3.0,3.0,2201.0,"1769 SADDLEWOOD CIR, Port Charlotte, FL",Marsala in Biscayne Landing,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/marsala/16156600174
Under construction,"$816,204",3.0,3.0,2247.0,"17270 JADESTONE CT, Venice, FL",Maria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/maria/6547600027
Under construction,"$814,787",3.0,2.5,2395.0,"17321 OPAL SAND DR, Venice, FL",Napoli II in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/napoli-ii/6548600129
Under construction,"$813,395",3.0,3.0,2247.0,"17290 JAEESTONE CT, Venice, FL",Maria in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/maria/6547600029
Under construction,"$371,998",3.0,2.5,1871.0,"15004 Lyla Terrace, Lakewood Ranch, FL",Ava in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/townhomes/ava/16199600701
Under construction,"$366,998",3.0,2.5,1879.0,"15008 Lyla Terrace, Lakewood Ranch, FL",Berkly in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/townhomes/berkly/16199600702
Under construction,"$946,922",4.0,3.0,2553.0,"17335 OPAL SAND DR, Venice, FL",Toscana in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/toscana/6548600128
Under construction,"$540,397",3.0,3.0,2201.0,"5238 Coral Reef Way, Lakewood Ranch, FL",Marsala in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/marsala/16195600908
Under construction,"$479,443",3.0,2.0,1741.0,"5687 N Honore Ave #101, Sarasota, FL",Arrowhead in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/arrowhead/6592600411
Under construction,"$464,443",3.0,2.0,1741.0,"5687 N Honore Ave #102, Sarasota, FL",Arrowhead in Montserrat at University Town Center,https://www.lennar.com/new-homes/florida/sarasota-manatee/sarasota/montserrat-at-university-town-center/arrowhead/6592600412
Under construction,"$396,998",3.0,2.0,1417.0,"5506 Tidal Breeze Cove, Lakewood Ranch, FL",Magnolia in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/magnolia/16198600523
Under construction,"$396,998",3.0,2.0,1417.0,"5510 Tidal Breeze Cove, Lakewood Ranch, FL",Magnolia in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/magnolia/16198600524
Under construction,"$569,298",4.0,3.0,2529.0,"5242 Coral Reef Way, Lakewood Ranch, FL",Amalfi in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/amalfi/16195600907
Under construction,"$401,998",3.0,2.0,1417.0,"5522 Tidal Breeze Cove, Lakewood Ranch, FL",Magnolia in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/magnolia/16198600527
Under construction,"$401,998",3.0,2.0,1417.0,"5526 Tidal Breeze Cove, Lakewood Ranch, FL",Magnolia in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/magnolia/16198600528
Under construction,"$444,597",3.0,3.0,1849.0,"19050 MOSCATO CT, Venice, FL",Venice in Antigua at Wellen Park,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/venice/6588600091
Under construction,"$449,597",3.0,3.0,1849.0,"19035 MOSCATO CT, Venice, FL",Venice in Antigua at Wellen Park,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/venice/6588600106
Under construction,"$410,998",2.0,2.0,1564.0,"5534 Tidal Breeze Cove, Lakewood Ranch, FL",Orchid in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/orchid/16198600530
Under construction,"$921,922",4.0,3.0,2553.0,"17400 OPAL SAND DR, Venice, FL",Toscana in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/toscana/6548600119
Under construction,"$410,998",2.0,2.0,1564.0,"5518 Tidal Breeze Cove, Lakewood Ranch, FL",Orchid in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/orchid/16198600526
Under construction,"$826,596",3.0,2.5,2395.0,"17381 OPAL SAND DR, Venice, FL",Napoli II in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/napoli-ii/6548600125
Under construction,"$818,787",3.0,3.0,2650.0,"17395 OPAL SAND DR, Venice, FL",Sunset in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/sunset/6548600124
Under construction,"$334,997",2.0,2.0,1301.0,"12280 Wellen Golf St #101, Venice, FL",Carolina in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/terrace-condominiums/carolina/6551609611
Coming soon,High $400K,4.0,3.0,2032.0,"1883 BEAUTYBERRY CT, Port Charlotte, FL",Trevi in Biscayne Landing,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/trevi/16156600184
Coming soon,High $600K,3.0,3.0,2650.0,"15921 Tradewind Terrace, Lakewood Ranch, FL",Sunset in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/estate-homes/sunset/16197600857
Coming soon,Low $400K,2.0,2.0,1564.0,"5541 Tidal Breeze Cove, Lakewood Ranch, FL",Orchid in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/orchid/16198600531
Coming soon,High $300K,2.0,2.0,1564.0,"5533 Tidal Breeze Cove, Lakewood Ranch, FL",Orchid in Lorraine Lakes,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/villas/orchid/16198600533
Coming soon,Low $400K,4.0,3.0,2032.0,"1860 East Isles Rd-PARKING, Port Charlotte, FL",Trevi in The Isles at West Port,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/trevi/1617960b026
Coming soon,Low $400K,3.0,2.0,2110.0,"17620 Boracay Ct #34-102, Venice, FL",Bay Creek in Wellen Park Golf & Country Club,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/coach-homes/bay-creek/6549603422
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/capri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/executive-homes/venice
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/amalfi
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/capri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/marsala
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/monte-carlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/the-isles-at-west-port/venice
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/amalfi
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/capri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/marsala
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/monte-carlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/antigua-at-wellen-park/trevi
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/villas/magnolia
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/port-charlotte/biscayne-landing/villas/orchid
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/estate-homes/agostino-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/estate-homes/national
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/estate-homes/oakmont-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/estate-homes/wynwood
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/monte-carlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/trevi
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/executive-homes/venice
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/liberation
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/sorrento
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/the-summerville-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/lakewood-ranch/lorraine-lakes/manor-homes/tivoli
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/coach-homes/arrowhead
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/estate-homes/bougainvillea-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/executive-homes/isabella
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/terrace-condominiums/arbor
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/terrace-condominiums/birkdale
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/veranda-condominiums/arabella-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/veranda-condominiums/bromelia-ii
Future release,,,,,,,https://www.lennar.com/new-homes/florida/sarasota-manatee/venice/wellen-park-golf-country-club/veranda-condominiums/diangelo-ii
