Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$390,250",3.0,2.0,1611.0,"648 Veridian Circle NW, Palm Bay, FL",Camellia in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/camellia/774160a055
Move-in ready,"$407,995",3.0,2.0,1611.0,"636 Veridian Circle NW, Palm Bay, FL",Camellia in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/camellia/774160a052
Move-in ready,"$482,255",4.0,2.5,2629.0,"640 Veridian Circle NW, Palm Bay, FL",Carlisle in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/carlisle/774160a053
Move-in ready,"$421,175",4.0,2.0,1936.0,"684 Veridian Circle NW, Palm Bay, FL",Hartford in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/hartford/774160a064
Under construction,"$494,700",4.0,2.5,2629.0,"611 Veridian Circle NW, Palm Bay, FL",Carlisle in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/carlisle/774160g012
Under construction,"$486,725",5.0,2.5,2896.0,"599 Veridian Circle NW, Palm Bay, FL",Raleigh in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/raleigh/774160g009
Under construction,"$324,410",3.0,2.0,1448.0,"792 Papilon Street SW, Palm Bay, FL",Annapolis in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/the-palms/annapolis/776360f001
Under construction,"$331,090",3.0,2.0,1448.0,"682 Papilon Street SW, Palm Bay, FL",Annapolis in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/the-palms/annapolis/776360f012
Under construction,"$393,970",5.0,2.5,2218.0,"732 Papilon Street SW, Palm Bay, FL",Boston in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/the-palms/boston/776360f007
Under construction,"$417,815",5.0,2.5,2409.0,"692 Papilon Street SW, Palm Bay, FL",Columbia in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/the-palms/columbia/776360f011
Under construction,"$422,600",3.0,2.0,1826.0,"716 Veridian Circle NW, Palm Bay, FL",Dahlia in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/dahlia/774160a072
Under construction,"$385,305",3.0,2.0,1611.0,"708 Veridian Circle NW, Palm Bay, FL",Camellia in Edgewood at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/edgewood-at-everlands/edgewood/camellia/774160a070
Under construction,"$375,655",4.0,2.0,1817.0,"916 Dockside Drive SW, Palm Bay, FL",Harrisburg in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/heritage-at-tillman-lakes/harrisburg/776460i014
Under construction,"$371,190",4.0,2.0,1936.0,"885 Dockside Drive SW, Palm Bay, FL",Hartford in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/heritage-at-tillman-lakes/hartford/776460i011
Under construction,"$322,600",3.0,2.0,1448.0,"661 Papilon Street SW, Palm Bay, FL",Annapolis in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/the-palms/annapolis/776360f026
Under construction,"$446,960",3.0,3.0,2182.0,"1057 Cepheus Place NW, Palm Bay, FL",FREEPORT in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-isles-collection/freeport/774560uu10
Under construction,"$375,990",3.0,2.5,1879.0,"2252 Antarus Drive NW, Palm Bay, FL",KATE in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-woods-collection/kate/774460bb07
Coming soon,Mid $400K,3.0,3.5,2389.0,"1018 Cepheus Place NW, Palm Bay, FL",KEY LARGO in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-isles-collection/key-largo/774560u001
Coming soon,High $300K,2.0,2.5,1713.0,"2213 Antarus Drive NW, Palm Bay, FL",ALEXIA in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-woods-collection/alexia/774460b016
Coming soon,High $300K,3.0,2.5,1963.0,"2243 Antarus Drive NW, Palm Bay, FL",HAILEY in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-woods-collection/hailey/774460b013
Coming soon,High $300K,3.0,2.5,1963.0,"2223 Antarus Drive NW, Palm Bay, FL",HAILEY in The Timbers at Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/the-timbers-at-everlands/the-woods-collection/hailey/774460b015
