Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$459,950",3.0,2.5,1849.0,"2648 N. Osprey Ln., Liberty Lake, WA",Briarwood in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/briarwood/41107510105
Move-in ready,"$424,950",4.0,2.5,1671.0,"4440 W. Bedford Ave., Spokane, WA",Cabernet in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/cabernet/41109510204
Move-in ready,"$449,950",3.0,2.5,1880.0,"4452 W. Bedford Ave., Spokane, WA",Chardonnay in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/chardonnay/41109510205
Move-in ready,"$454,950",4.0,2.5,2120.0,"4453 W. Bedford Ave., Spokane, WA",Merlot in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/merlot/41109510105
Move-in ready,"$459,950",4.0,2.5,2120.0,"4464 W. Bedford Ave., Spokane, WA",Merlot in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/merlot/41109510206
Move-in ready,"$637,450",4.0,2.5,2705.0,"3172 N Barton Loop, Post Falls, ID",Stevenson 3-Car in Corbin Meadows,https://www.lennar.com/new-homes/idaho/inland-northwest/post-falls/corbin-meadows/stevenson-3-car/41101510601
Move-in ready,"$544,950",4.0,2.5,2704.0,"24359 E. Harrier Loop, Liberty Lake, WA",Stevenson in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/haven-collection/stevenson/41106520420
Move-in ready,"$539,950",4.0,2.5,2704.0,"24375 E. Harrier Loop, Liberty Lake, WA",Stevenson in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/haven-collection/stevenson/41106520418
Move-in ready,"$499,950",4.0,2.5,2213.0,"2689 N. Osprey Lane, Liberty Lake, WA",Hazelwood in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/hazelwood/41107520301
Move-in ready,"$449,950",3.0,2.5,1849.0,"2659 N. Osprey Lane, Liberty Lake, WA",Briarwood in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/briarwood/41107520303
Move-in ready,"$559,950",4.0,3.0,2786.0,"24355 E. Harrier Loop, Liberty Lake, WA",Hawthorn in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/haven-collection/hawthorn/41106520403
Under construction,"$414,950",4.0,2.5,1671.0,"4561 W. Bedford Ave., Spokane, WA",Cabernet in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/cabernet/41109510114
Under construction,"$585,450",3.0,3.5,2550.0,"3040 N Barton Loop, Post Falls, ID",Davenport in Corbin Meadows,https://www.lennar.com/new-homes/idaho/inland-northwest/post-falls/corbin-meadows/davenport/41101510604
Under construction,"$439,950",4.0,2.5,2120.0,"4526 W. Brookfield Ave., Spokane, WA",Merlot in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/classic-collection/merlot/41109510128
Under construction,"$624,950",4.0,2.5,2704.0,"10819 N Paiute St, Spokane, WA",Stevenson in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/stevenson/41110510117
Under construction,"$538,450",3.0,2.0,1670.0,"2992 N Barton Loop, Post Falls, ID",Hamilton 3-Car in Corbin Meadows,https://www.lennar.com/new-homes/idaho/inland-northwest/post-falls/corbin-meadows/hamilton-3-car/41101510608
Under construction,"$459,950",3.0,2.5,1849.0,"24331 E. Harrier Loop, Liberty Lake, WA",Briarwood in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/briarwood/41107520212
Under construction,"$484,950",4.0,2.5,2165.0,"24371 E. Harrier Loop, Liberty Lake, WA",Birch in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/haven-collection/birch/41106520422
Under construction,"$644,950",4.0,2.5,2705.0,"10801 N Paiute St, Spokane, WA",Stevenson 3-Car in Woodridge,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/stevenson-3-car/41110510116
Under construction,"$494,950",4.0,2.5,2165.0,"24366 E. Hawkstone Loop, Liberty Lake, WA",Birch in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/haven-collection/birch/41106520201
Under construction,"$389,950",2.0,2.5,1450.0,"24540 E. Harrier Ln., Liberty Lake, WA",Apollo in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/townhome-collection/apollo/41108510606
Under construction,"$399,950",3.0,2.5,1567.0,"24550 E. Harrier Ln., Liberty Lake, WA",Atlantis in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/townhome-collection/atlantis/41108510605
Under construction,"$424,950",3.0,2.5,1751.0,"24560 E. Harrier Ln., Liberty Lake, WA",Endeavor in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/townhome-collection/endeavor/41108510604
Under construction,"$482,950",3.0,2.5,2016.0,"24333 E. Harrier Loop, Liberty Lake, WA",Goldenwood in Stonehill,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/goldenwood/41107520211
