Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$539,900",3.0,3.0,2365.0,"16252 S. Longcommon Lane, Plainfield, IL",Matisse in Creekside Crossing,https://www.lennar.com/new-homes/illinois/chicago/plainfield/creekside-crossing/matisse/18937715115
Move-in ready,"$429,900",4.0,2.5,2612.0,"2407 Fairfield Avenue, Yorkville, IL",Galveston in Raintree Village,https://www.lennar.com/new-homes/illinois/chicago/yorkville/raintree-village/single-family/galveston/69170710492
Move-in ready,"$490,800",3.0,2.5,2258.0,"1225 Farmer Circle, South Elgin, IL",Biscayne in Kenyon Farms,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/kenyon-farms/biscayne/69184710085
Move-in ready,"$349,900",3.0,2.5,1764.0,"1010 ATTERBERG ROAD, South Elgin, IL",Amherst in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/urban-townhomes/amherst/69178714705
Move-in ready,"$499,900",3.0,2.5,2516.0,"364 South Pointe Avenue, South Elgin, IL",Mesa Verde in South Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/south-pointe/mesa-verde/69162710129
Move-in ready,"$375,800",2.0,2.0,1512.0,"16020 S. Crossing Dr., Plainfield, IL",Christie in Creekside Crossing Duplexes,https://www.lennar.com/new-homes/illinois/chicago/plainfield/creekside-crossing-duplexes/christie/18936717431
Move-in ready,"$399,900",3.0,2.5,1717.0,"2674 Martini Street, Mundelein, IL",Darcy in Crossings of Mundelein,https://www.lennar.com/new-homes/illinois/chicago/mundelein/crossings-of-mundelein/traditional-townhomes/darcy/69174711905
Move-in ready,"$399,900",4.0,2.5,2387.0,"2302 Rosehall Drive, Joliet, IL",Townsend in Greywall Club,https://www.lennar.com/new-homes/illinois/chicago/joliet/greywall-club/townsend/18942710095
Move-in ready,"$569,900",4.0,2.5,2907.0,"16218 S. Lake View Road, Plainfield, IL",Weston in Creekside Crossing,https://www.lennar.com/new-homes/illinois/chicago/plainfield/creekside-crossing/weston/18937715078
Move-in ready,"$520,900",3.0,2.5,2146.0,"1150 Farmer Circle, South Elgin, IL",Adams in Kenyon Farms,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/kenyon-farms/adams/69184710076
Move-in ready,"$511,900",4.0,2.5,2907.0,"1300 Madsen St, Elburn, IL",Raleigh in Fox Pointe,https://www.lennar.com/new-homes/illinois/chicago/elburn/fox-pointe/raleigh/69179710014
Move-in ready,"$410,315",4.0,2.5,2387.0,"8504 Rosehall Drive, Joliet, IL",Townsend in Greywall Club,https://www.lennar.com/new-homes/illinois/chicago/joliet/greywall-club/townsend/18942710099
Move-in ready,"$369,900",3.0,2.5,2039.0,"1013 ATTERBERG ROAD, South Elgin, IL",Chatham in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/urban-townhomes/chatham/69178714601
Move-in ready,"$409,315",4.0,2.5,2386.0,"8502 Rosehall Drive, Joliet, IL",Townsend in Greywall Club,https://www.lennar.com/new-homes/illinois/chicago/joliet/greywall-club/townsend/18942710100
Move-in ready,"$484,900",3.0,2.5,2292.0,"336 South Pointe Avenue, South Elgin, IL",Biscayne in South Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/south-pointe/biscayne/69162710122
Move-in ready,"$448,900",4.0,2.5,2612.0,"2334 Richmond Avenue, Yorkville, IL",Galveston in Raintree Village,https://www.lennar.com/new-homes/illinois/chicago/yorkville/raintree-village/single-family/galveston/69170710478
Move-in ready,"$388,900",3.0,2.5,2221.0,"1017 ATTERBERG ROAD, South Elgin, IL",Chelsea in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/urban-townhomes/chelsea/69178714603
Under construction,"$420,625",3.0,2.0,1866.0,"801 Windett Ridge Road, Yorkville, IL",Siena in Windett Ridge,https://www.lennar.com/new-homes/illinois/chicago/yorkville/windett-ridge/siena/69150710090
Under construction,"$419,800",4.0,2.5,2612.0,"821 Windett Ridge Road, Yorkville, IL",Galveston in Windett Ridge,https://www.lennar.com/new-homes/illinois/chicago/yorkville/windett-ridge/galveston/69150710091
Under construction,"$359,900",3.0,2.5,1764.0,"2600 Martini Street, Mundelein, IL",Amherst in Crossings of Mundelein,https://www.lennar.com/new-homes/illinois/chicago/mundelein/crossings-of-mundelein/urban-townhomes/amherst/69175712802
Under construction,"$460,900",3.0,2.5,2163.0,"312 Ellis Street, Oswego, IL",Ontario in Hudson Pointe,https://www.lennar.com/new-homes/illinois/chicago/oswego/hudson-pointe/ontario/69186710011
Under construction,"$520,400",4.0,2.5,2669.0,"1150 Williamsbury Drive, Crystal Lake, IL",Monet in Woodlore Estates,https://www.lennar.com/new-homes/illinois/chicago/crystal-lake/woodlore-estates/monet/69156710204
Under construction,"$499,900",3.0,2.5,2519.0,"344 South Pointe Avenue, South Elgin, IL",Bryce in South Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/south-pointe/bryce/69162710124
Under construction,"$489,899",3.0,2.5,2279.0,"1166 Farmer Circle, South Elgin, IL",Biscayne in Kenyon Farms,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/kenyon-farms/biscayne/69184710080
Under construction,"$415,255",3.0,2.5,1717.0,"1027 ALLUVIAL WAY, South Elgin, IL",Darcy in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/traditional-townhomes/darcy/69177712801
Under construction,"$409,615",4.0,2.5,2437.0,"534 Coach Road, Yorkville, IL",Auburn in Raintree Village,https://www.lennar.com/new-homes/illinois/chicago/yorkville/raintree-village/single-family/auburn/69170710408
Under construction,"$490,900",4.0,2.5,2448.0,"301 Ellis Street, Oswego, IL",Brooklyn in Hudson Pointe,https://www.lennar.com/new-homes/illinois/chicago/oswego/hudson-pointe/brooklyn/69186710018
Under construction,"$536,050",4.0,2.5,2802.0,"102 Hedgerow Dr., Elgin, IL",Rainier ei in Tall Oaks,https://www.lennar.com/new-homes/illinois/chicago/elgin/tall-oaks/horizon-series/rainier-ei/69188710014
Under construction,"$403,220",3.0,2.5,1840.0,"1023 ALLUVIAL WAY, South Elgin, IL",Charlotte in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/traditional-townhomes/charlotte/69177712803
Under construction,"$578,900",4.0,2.5,2907.0,"16221 S. Longcommon Lane, Plainfield, IL",Weston in Creekside Crossing,https://www.lennar.com/new-homes/illinois/chicago/plainfield/creekside-crossing/weston/18937715094
Under construction,"$419,450",3.0,2.5,2282.0,"2469 Fairfield Avenue, Yorkville, IL",Victoria in Raintree Village,https://www.lennar.com/new-homes/illinois/chicago/yorkville/raintree-village/single-family/victoria/69170710487
Under construction,"$525,900",4.0,2.5,2772.0,"1162 Farmer Circle, South Elgin, IL",Rainier in Kenyon Farms,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/kenyon-farms/rainier/69184710079
Under construction,"$561,900",4.0,3.5,3274.0,"1146 Williamsbury Drive, Crystal Lake, IL",Renoir in Woodlore Estates,https://www.lennar.com/new-homes/illinois/chicago/crystal-lake/woodlore-estates/renoir/69156710203
Under construction,"$346,420",2.0,2.5,1600.0,"1027 ATTERBERG ROAD, South Elgin, IL",Georgetown in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/urban-townhomes/georgetown/69178714502
Under construction,"$537,935",4.0,2.5,2915.0,"340 South Pointe Avenue, South Elgin, IL",San Gabriel in South Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/south-pointe/san-gabriel/69162710123
Under construction,"$490,900",3.0,2.0,2171.0,"303 Ellis Street, Oswego, IL",Ridgefield in Hudson Pointe,https://www.lennar.com/new-homes/illinois/chicago/oswego/hudson-pointe/ridgefield/69186710019
Under construction,"$531,900",4.0,2.5,2865.0,"1158 Williamsbury Drive, Crystal Lake, IL",Picasso in Woodlore Estates,https://www.lennar.com/new-homes/illinois/chicago/crystal-lake/woodlore-estates/picasso/69156710206
Under construction,"$580,900",4.0,3.5,3237.0,"1200 Farmer Circle, South Elgin, IL",Sequoia in Kenyon Farms,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/kenyon-farms/sequoia/69184710082
Under construction,"$389,500",3.0,2.5,2221.0,"1029 ATTERBERG ROAD, South Elgin, IL",Chelsea in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/urban-townhomes/chelsea/69178714503
Under construction,"$399,900",3.0,2.5,1717.0,"1039 ALLUVIAL WAY, South Elgin, IL",Darcy in Park Pointe,https://www.lennar.com/new-homes/illinois/chicago/south-elgin/park-pointe/traditional-townhomes/darcy/69177712701
Under construction,"$491,900",4.0,2.5,2420.0,"1826 Chandolin Ln, Elgin, IL",Auburn in Ponds of Stony Creek,https://www.lennar.com/new-homes/illinois/chicago/elgin/ponds-of-stony-creek/auburn/69155710133
Under construction,"$511,680",3.0,2.0,2467.0,"1831 Coralito Ln, Elgin, IL",Carrington in Ponds of Stony Creek,https://www.lennar.com/new-homes/illinois/chicago/elgin/ponds-of-stony-creek/carrington/69155710141
Under construction,"$480,900",4.0,2.5,2612.0,"305 Ellis Street, Oswego, IL",Galveston in Hudson Pointe,https://www.lennar.com/new-homes/illinois/chicago/oswego/hudson-pointe/galveston/69186710020
