Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$299,990",2.0,2.5,1705.0,"10902 Illinois Drive, Crown Point, IN",Dunham II in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/dunham-ii/69272711001
Move-in ready,"$401,300",4.0,2.5,2607.0,"2321 Oakwood Lane, Lowell, IN",Wren in Spring Run,https://www.lennar.com/new-homes/indiana/northwest-indiana/lowell/spring-run/wren/69279710039
Move-in ready,"$394,990",4.0,2.5,2607.0,"3176 Thoreau Drive, Portage, IN",Wren in Brookside - Single Family,https://www.lennar.com/new-homes/indiana/northwest-indiana/portage/brookside-single-family/wren/69273710104
Move-in ready,"$379,990",4.0,2.5,2193.0,"17828 Fieldstone Lane, Lowell, IN",Starling in Spring Run,https://www.lennar.com/new-homes/indiana/northwest-indiana/lowell/spring-run/starling/69279710157
Move-in ready,"$314,990",2.0,2.0,1428.0,"14545 Clover Ave, Cedar Lake, IN",Napa in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/andare/napa/69268710180
Move-in ready,"$479,990",4.0,2.5,2907.0,"2160 East 110th Lane, Crown Point, IN",Raleigh in Heather Ridge,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge/raleigh/69271710099
Move-in ready,"$454,990",4.0,2.5,2612.0,"2140 East 110th Lane, Crown Point, IN",Galveston in Heather Ridge,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge/galveston/69271710100
Move-in ready,"$454,990",4.0,2.5,2448.0,"2120 East 110th Lane, Crown Point, IN",Brooklyn in Heather Ridge,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge/brooklyn/69271710101
Move-in ready,"$469,990",4.0,2.5,2448.0,"2080 East 110th Lane, Crown Point, IN",Brooklyn in Heather Ridge,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge/brooklyn/69271710102
Move-in ready,"$449,990",3.0,2.5,2519.0,"11532 Clyde Dr., Winfield, IN",Bryce in Aylesworth,https://www.lennar.com/new-homes/indiana/northwest-indiana/winfield/aylesworth/medallion-series/bryce/69274710226
Move-in ready,"$289,990",2.0,2.0,1726.0,"14426 Clover Ave, Cedar Lake, IN",Balsam in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/balsam/69269712081
Move-in ready,"$299,990",2.0,2.0,1825.0,"14226 Heritage Way, Cedar Lake, IN",Dunbar in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/dunbar/69269712241
Move-in ready,"$319,990",3.0,2.0,1649.0,"11652 Thomas St., Winfield, IN",Rutherford in Aylesworth,https://www.lennar.com/new-homes/indiana/northwest-indiana/winfield/aylesworth/andare-series/rutherford/69276710153
Move-in ready,"$439,990",3.0,2.5,2292.0,"11516 Clyde Dr., Winfield, IN",Biscayne in Aylesworth,https://www.lennar.com/new-homes/indiana/northwest-indiana/winfield/aylesworth/medallion-series/biscayne/69274710225
