Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Under construction,"$502,390",3.0,2.5,2580.0,"12414-5 Sea Oaks Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660061
Under construction,"$564,640",3.0,2.5,2580.0,"12414-4 Sea Oaks Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660062
Under construction,"$527,390",3.0,2.5,2580.0,"12414-3 Sea Oaks Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660063
Under construction,"$569,890",3.0,2.5,2580.0,"12414-2 Sea Oaks Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660064
Under construction,"$584,890",3.0,2.5,2580.0,"9503-5 Seascape Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660125
Under construction,"$563,890",3.0,2.5,2580.0,"9503-4 Seascape Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660126
Under construction,"$589,290",3.0,2.5,2580.0,"9503-1 Seascape Lane, Berlin, MD",Easton FL in Sea Oaks Village,https://www.lennar.com/new-homes/maryland/eastern-shore/berlin/sea-oaks-village/easton-fl/23149660129
Coming soon,Low $500K,3.0,2.5,2594.0,"2701 Marsh Elder Dr, Cambridge, MD",Clearwater Slab in Tides at River Marsh,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-signature/clearwater-slab/23188650047
Coming soon,Mid $500K,3.0,2.5,2218.0,"2695 Marsh Elder Dr, Cambridge, MD",Dover Slab in Tides at River Marsh,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-signature/dover-slab/23188650044
Coming soon,Mid $400K,3.0,2.5,2210.0,"2721 Marsh Elder Dr, Cambridge, MD",Dover Slab in Tides at River Marsh,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-signature/dover-slab/23188650057
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-signature/chesapeake-slab
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-signature/portfield-slab
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-townhomes/arcadia-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-townhomes/easton-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-villas/jefferson
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-villas/lafayette
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/eastern-shore/cambridge/tides-at-river-marsh/tides-at-river-marsh-villas/macarthur
