Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$399,900",3.0,2.5,1837.0,"3573 GRIGIO ST, Las Vegas, NV",Paul in Durango Reserve,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/durango-reserve/paul/32626510036
Move-in ready,"$430,084",3.0,2.5,1837.0,"3565 GRIGIO ST, Las Vegas, NV",Paul in Durango Reserve,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/durango-reserve/paul/32626510038
Move-in ready,"$522,367",2.0,2.5,1819.0,"2555 HAMPTON RD UT 2109, Henderson, NV",Residence D in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-d/32588512109
Move-in ready,"$369,934",2.0,2.0,1424.0,"2555 HAMPTON RD UT 4301, Henderson, NV",Residence A in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-a/32588514301
Move-in ready,"$430,952",2.0,2.0,1424.0,"2555 HAMPTON RD UT 4306, Henderson, NV",Residence A in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-a/32588514306
Move-in ready,"$539,288",2.0,2.5,1819.0,"2555 HAMPTON RD UT 4209, Henderson, NV",Residence D in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-d/32588514209
Move-in ready,"$615,366",2.0,2.5,2247.0,"2555 HAMPTON RD UT 4210, Henderson, NV",Residence E in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-e/32588514210
Move-in ready,"$744,254",2.0,2.0,2236.0,"917 CALLUNA HILLS LN, Las Vegas, NV",Sloan in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/stirling/sloan/32562510114
Move-in ready,"$677,783",2.0,2.0,1747.0,"929 CALLUNA HILLS LN, Las Vegas, NV",Sawyer in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/stirling/sawyer/32562510111
Move-in ready,"$688,413",2.0,2.0,1747.0,"12434 HERITAGE BEND DR, Las Vegas, NV",Sawyer in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/stirling/sawyer/32562510098
Move-in ready,"$724,327",4.0,3.0,2289.0,"68 REVERIE HEIGHTS AVE, Henderson, NV",Pioneer in Lake Las Vegas,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/lake-las-vegas/reverie/pioneer/32579510068
Move-in ready,"$949,016",3.0,2.5,2516.0,"977 WOODBURN LN, Las Vegas, NV",Elizabeth in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/evander/elizabeth/32561510093
