Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$648,445",4.0,2.0,1946.0,"37402 Steelhead St, Sandy, OR",Endicott in Shaylee Meadows,https://www.lennar.com/new-homes/oregon/portland/sandy/shaylee-meadows/endicott/70087510017
Move-in ready,"$661,445",4.0,3.0,2350.0,"267 NE 19th Ave, Canby, OR",Jade in Dodds Farm,https://www.lennar.com/new-homes/oregon/portland/canby/dodds-farm/jade/70100510019
Move-in ready,"$555,845",3.0,2.0,1659.0,"2428 SE Teal Ave, Gresham, OR",Trenton in Skyliner Crossing,https://www.lennar.com/new-homes/oregon/portland/gresham/skyliner-crossing/trenton/70111510054
Move-in ready,"$633,145",4.0,2.5,2479.0,"1628 36th Ave, Forest Grove, OR",Magnolia in Farmstead Crossing,https://www.lennar.com/new-homes/oregon/portland/forest-grove/farmstead-crossing/the-canyon-collection/magnolia/70132510103
Move-in ready,"$585,700",3.0,2.5,1863.0,"3787 SE 83RD AVE, Hillsboro, OR",Maple in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-legacy-collection/maple/70083510834
Move-in ready,"$712,200",5.0,3.0,2251.0,"8141 SE Stonecrop Ln, Hillsboro, OR",Addison in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-monarch-collection/addison/70081510919
Move-in ready,"$571,900",4.0,3.0,2341.0,"2785 NW Shadden Dr, McMinnville, OR",Jade in Baker Creek,https://www.lennar.com/new-homes/oregon/portland/mcminnville/baker-creek/the-topaz-collection/jade/70114520242
Move-in ready,"$545,900",3.0,2.5,2019.0,"31368 NW Turel Dr, North Plains, OR",Spruce in Brynhill,https://www.lennar.com/new-homes/oregon/portland/north-plains/brynhill/the-cedar-collection/spruce/70092510123
Move-in ready,"$699,900",5.0,3.0,2251.0,"3967 SE JADE LN, Hillsboro, OR",Addison in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-monarch-collection/addison/70081511079
Move-in ready,"$412,400",3.0,2.5,1441.0,"31447 NW North Ave, North Plains, OR",Daphne in Brynhill,https://www.lennar.com/new-homes/oregon/portland/north-plains/brynhill/the-aspen-collection/daphne/70094510035
