Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$527,845",4.0,2.0,1946.0,"2432 W 15th Ave, Junction City, OR",Endicott in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/endicott/70128510198
Move-in ready,"$504,900",5.0,3.0,2268.0,"1040 Marie St, Mt Angel, OR",Arlington in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/arlington/70107510025
Move-in ready,"$571,900",4.0,3.0,2285.0,"1458 Echo Valley Dr, Junction City, OR",Cameron in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/cameron/70128510117
Move-in ready,"$462,900",3.0,2.0,1659.0,"1434 Gladiola Dr, Junction City, OR",Trenton in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/trenton/70128510148
Move-in ready,"$516,900",4.0,2.5,2306.0,"1446 Gladiola Dr, Junction City, OR",Ashland in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/ashland/70128510145
Under construction,"$502,900",3.0,2.5,2061.0,"1451 Gladiola Dr, Junction City, OR",Cypress in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/cypress/70128510184
Under construction,"$443,900",3.0,2.0,1495.0,"6360 SAVANNAH STREET SE, Albany, OR",Avery in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/avery/70129510040
Under construction,"$524,900",4.0,3.0,2252.0,"1453 Gladiola Dr, Junction City, OR",Del Rey in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/del-rey/70128510185
Under construction,"$505,400",4.0,2.0,1946.0,"315 Cypress St, Mt Angel, OR",Endicott in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/endicott/70107510031
Under construction,"$473,900",3.0,2.0,1680.0,"6310 SAVANNAH STREET SE, Albany, OR",Trenton in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/trenton/70129510038
Under construction,"$483,900",3.0,2.5,2061.0,"1579 STASNY AVENUE SE, Albany, OR",Cypress in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/cypress/70129510091
Under construction,"$475,900",3.0,2.0,1659.0,"900 Blackberry St, Mt Angel, OR",Trenton in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/trenton/70107510034
Under construction,"$456,900",3.0,2.0,1574.0,"910 Blackberry St, Mt Angel, OR",Carlton in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/carlton/70107510035
Under construction,"$534,900",4.0,3.0,2252.0,"1497 Gladiola Dr, Junction City, OR",Del Rey in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/del-rey/70128510189
Under construction,"$479,900",3.0,2.5,1987.0,"6303 SAVANNAH STREET SE, Albany, OR",Charlotte in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/charlotte/70129510047
Under construction,"$524,900",4.0,3.0,2341.0,"6279 SAVANNAH STREET SE, Albany, OR",Jade in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/jade/70129510048
Under construction,"$549,900",4.0,3.0,2285.0,"325 Walnut St, Mt Angel, OR",Cameron in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/cameron/70107510056
Under construction,"$517,900",5.0,3.0,2268.0,"6301 HENSHAW STREET SE, Albany, OR",Arlington in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/arlington/70129510035
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/ashland
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/aubrey
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/blairmont
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/carmichael
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/endicott
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/leverich
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/elmhurst
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/jade
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/jade
