Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$667,157",3.0,3.0,2588.0,"3 Heron Lane, Coatesville, PA",Napa in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/napa/23622600002
Move-in ready,"$424,970",3.0,2.5,1732.0,"4930 Brookside Court, Coopersburg, PA",Chase in Brookside Court at Upper Saucon,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coopersburg/brookside-court-at-upper-saucon/the-townes-at-brookside-court/chase/23633600075
Move-in ready,"$435,704",2.0,2.0,1838.0,"25 Hanover Ave, Smyrna, DE",Napa in Auburn Meadows | Active Adult 55+,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/napa/23625600125
Move-in ready,"$469,848",2.0,2.0,1936.0,"657 MAYFIELD FALLS DR, Newark, DE",Mendocino in The Cascades | Active Adult 55+,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/newark/thecascadesactiveadult55/mendocino/23626600030
Move-in ready,"$546,236",3.0,3.0,2321.0,"148 Lilac Court, Coatesville, PA",Napa LUXE in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/napa-luxe/23622600030
Move-in ready,"$489,837",2.0,2.0,1728.0,"663 MAYFIELD FALLS DR, Newark, DE",Solano in The Cascades | Active Adult 55+,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/newark/thecascadesactiveadult55/solano/23626600033
Move-in ready,"$480,849",3.0,3.0,2109.0,"114 Annapolis Street, Bensalem, PA",Alexandria in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-traditional-towns/alexandria/2393460k241
Move-in ready,"$481,910",3.0,3.0,2109.0,"112 Annapolis Street, Bensalem, PA",Alexandria in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-traditional-towns/alexandria/2393460k251
Move-in ready,"$424,762",2.0,2.0,1778.0,"104 Hyde Ave, Smyrna, DE",Tuscany in Auburn Meadows | Active Adult 55+,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/tuscany/23625600244
Move-in ready,"$483,567",3.0,3.0,2109.0,"110 Annapolis Street, Bensalem, PA",Alexandria in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-traditional-towns/alexandria/2393460k261
