Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Under construction,"$350,162",5.0,2.5,2343.0,"315 Lillian Street, Rincon, GA",COLUMBIA in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/columbia/31201610110
Under construction,"$320,737",4.0,2.0,1886.0,"289 Lillian Street, Rincon, GA",HARTFORD in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/hartford/31201610099
Under construction,"$324,749",4.0,2.0,1779.0,"308 Lillian Street, Rincon, GA",HARRISBURG in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/harrisburg/31201610117
Under construction,"$307,516",3.0,2.0,1520.0,"310 Lillian Street, Rincon, GA",DOVER in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/dover/31201610116
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/litchfield-ii
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/rutledge
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/st-phillips
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/atlanta
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/fanning
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/fulton
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/georgetown
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/jasper
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/kensington
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/arbor-collection/hanover
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/arbor-collection/henninger
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/arbor-collection/kensington
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/arbor-collection/litchfield-ii
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/coastal-collection/bluffton
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/coastal-collection/conyers-ii
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/coastal-collection/grayson
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/coastal-collection/virginian-ii
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/cottage-collection/carlyle
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/cottage-collection/drake
