Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$349,595",4.0,2.0,1885.0,"944 BOURNE DR SW, Ocean Isle Beach, NC",Hartford in Chatham Glenn,https://www.lennar.com/new-homes/north-carolina/wilmington/ocean-isle-beach/chatham-glenn/hartford/31100600126
Move-in ready,"$409,100",3.0,2.0,1941.0,"4135 Da Vinci Drive, Myrtle Beach, SC",SPARROW in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/sparrow/25057600530
Move-in ready,"$347,270",4.0,2.0,1779.0,"947 BOURNE DR SW, Ocean Isle Beach, NC",Harrisburg in Chatham Glenn,https://www.lennar.com/new-homes/north-carolina/wilmington/ocean-isle-beach/chatham-glenn/harrisburg/31100600120
Move-in ready,"$350,795",5.0,2.5,2343.0,"248 CAROLINA LAKES BLVD, Myrtle Beach, SC",Columbia in The Grove at Carolina Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-grove-at-carolina-lakes/columbia/25089600037
Move-in ready,"$322,210",5.0,2.5,2343.0,"756 Wapama Street, Little River, SC",COLUMBIA in Waterfall Villages,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/waterfall-villages/columbia/25056600129
Move-in ready,"$300,700",4.0,2.0,1886.0,"753 Wapama Street, Little River, SC",HARTFORD in Waterfall Villages,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/waterfall-villages/hartford/25056600115
Move-in ready,"$298,945",3.0,2.0,1520.0,"752 Wapama Street, Little River, SC",DOVER in Waterfall Villages,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/waterfall-villages/dover/25056600130
Move-in ready,"$427,385",3.0,2.0,1715.0,"4131 Da Vinci Drive, Myrtle Beach, SC",OSPREY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/osprey/25057600529
Move-in ready,"$414,580",3.0,2.0,1921.0,"4108 Da Vinci Drive, Myrtle Beach, SC",COLLINS in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/collins/25057600653
Move-in ready,"$420,050",3.0,2.0,1715.0,"4109 Da Vinci Drive, Myrtle Beach, SC",OSPREY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/osprey/25057600524
Move-in ready,"$401,175",3.0,2.0,1804.0,"315 Empyrean Circle, Myrtle Beach, SC",ANNANDALE in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/annandale/31111600049
Move-in ready,"$443,420",5.0,3.5,2449.0,"323 Empyrean Circle, Myrtle Beach, SC",KENSINGTON in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/kensington/31111600047
Move-in ready,"$288,330",3.0,2.0,1520.0,"323 FENNEC LOOP, Conway, SC",DOVER in Fieldview,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/conway/fieldview/dover/25076600009
Move-in ready,"$353,120",4.0,2.5,2524.0,"143 FOX RAE DR/300 FENNEC LP, Conway, SC",PROVIDENCE in Fieldview,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/conway/fieldview/providence/25076600044
Move-in ready,"$362,295",5.0,2.5,2343.0,"188 CAROLINA LAKES BLVD, Myrtle Beach, SC",Columbia in The Grove at Carolina Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-grove-at-carolina-lakes/columbia/25089600022
Move-in ready,"$326,905",4.0,2.0,1885.0,"192 CAROLINA LAKES BLVD, Myrtle Beach, SC",Hartford in The Grove at Carolina Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-grove-at-carolina-lakes/hartford/25089600023
Move-in ready,"$337,000",3.0,2.0,1804.0,"9033 ISLAND SHORE AVE, Calabash, NC",ANNANDALE in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/annandale/25065600172
Move-in ready,"$322,430",5.0,2.5,2343.0,"319 FENNEC LOOP, Conway, SC",COLUMBIA in Fieldview,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/conway/fieldview/columbia/25076600008
Move-in ready,"$303,330",3.0,2.0,1520.0,"311 FENNEC LOOP, Conway, SC",DOVER in Fieldview,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/conway/fieldview/dover/25076600006
Move-in ready,"$441,740",3.0,2.0,1921.0,"4098 Da Vinci Drive, Myrtle Beach, SC",COLLINS in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/collins/25057600650
Move-in ready,"$394,510",3.0,2.0,1748.0,"331 Empyrean Circle, Myrtle Beach, SC",LITCHFIELD II in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/litchfield-ii/31111600045
Move-in ready,"$384,350",3.0,2.0,1748.0,"9090 ISLAND SHORE AVE, Calabash, NC",LITCHFIELD II in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/litchfield-ii/25065600150
Move-in ready,"$347,665",3.0,2.0,1520.0,"990 BOURNE DR SW, Ocean Isle Beach, NC",Dover in Chatham Glenn,https://www.lennar.com/new-homes/north-carolina/wilmington/ocean-isle-beach/chatham-glenn/dover/31100600137
Move-in ready,"$316,830",3.0,2.0,1520.0,"196 CAROLINA LAKES BLVD, Myrtle Beach, SC",Dover in The Grove at Carolina Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-grove-at-carolina-lakes/dover/25089600024
Move-in ready,"$444,655",5.0,3.5,2449.0,"332 Empyrean Circle, Myrtle Beach, SC",KENSINGTON in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/kensington/31111600035
Move-in ready,"$347,665",3.0,2.0,1520.0,"1002 BOURNE DR SW, Ocean Isle Beach, NC",Dover in Chatham Glenn,https://www.lennar.com/new-homes/north-carolina/wilmington/ocean-isle-beach/chatham-glenn/dover/31100600140
Move-in ready,"$362,295",5.0,2.5,2343.0,"216 CAROLINA LAKES BLVD, Myrtle Beach, SC",Columbia in The Grove at Carolina Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-grove-at-carolina-lakes/columbia/25089600029
Move-in ready,"$360,615",4.0,2.0,1779.0,"998 BOURNE DR SW, Ocean Isle Beach, NC",Harrisburg in Chatham Glenn,https://www.lennar.com/new-homes/north-carolina/wilmington/ocean-isle-beach/chatham-glenn/harrisburg/31100600139
Move-in ready,"$379,790",3.0,2.0,1435.0,"4105 Da Vinci Drive, Myrtle Beach, SC",DRAKE in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/drake/25057600523
Move-in ready,"$495,600",3.0,2.0,1804.0,"5773 WHITEBARK DRIVE, Myrtle Beach, SC",ANNANDALE in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/annandale/25052600133
Move-in ready,"$351,210",5.0,2.5,2343.0,"761 Wapama Street, Little River, SC",COLUMBIA in Waterfall Villages,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/waterfall-villages/columbia/25056600117
Move-in ready,"$423,410",3.0,2.0,1804.0,"336 Empyrean Circle, Myrtle Beach, SC",ANNANDALE in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/annandale/31111600036
Move-in ready,"$434,655",5.0,3.5,2449.0,"335 Empyrean Circle, Myrtle Beach, SC",KENSINGTON in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/kensington/31111600044
Move-in ready,"$392,400",3.0,2.0,1804.0,"9076 ISLAND SHORE AVE, Calabash, NC",ANNANDALE in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/annandale/25065600153
Move-in ready,"$376,500",3.0,2.0,1804.0,"339 Empyrean Circle, Myrtle Beach, SC",ANNANDALE in Arcadia,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/arcadia/annandale/31111600043
Move-in ready,"$347,000",3.0,2.0,1804.0,"9077 ISLAND SHORE AVE, Calabash, NC",ANNANDALE in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/annandale/25065600142
Move-in ready,"$386,635",3.0,2.0,1804.0,"9093 ISLAND SHORE AVE, Calabash, NC",ANNANDALE in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/annandale/25065600146
Move-in ready,"$393,155",5.0,3.5,2449.0,"9072 ISLAND SHORE AVE, Calabash, NC",KENSINGTON in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/kensington/25065600154
Move-in ready,"$334,000",3.0,2.0,1748.0,"9080 ISLAND SHORE AVE, Calabash, NC",LITCHFIELD II in Beach Walk,https://www.lennar.com/new-homes/north-carolina/wilmington/calabash/beach-walk/litchfield-ii/25065600152
Under construction,"$367,000",3.0,2.0,1772.0,"127 ALBATROSS WAY, Myrtle Beach, SC",ST PHILLIPS in Hidden Pines,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/hidden-pines/st-phillips/25074600012
Under construction,"$363,000",3.0,2.0,1748.0,"129 ALBATROSS WAY, Myrtle Beach, SC",LITCHFIELD II in Hidden Pines,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/hidden-pines/litchfield-ii/25074600013
Under construction,"$404,340",3.0,2.0,2008.0,"132 ALBATROSS WAY, Myrtle Beach, SC",MUIRWOOD in Hidden Pines,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/hidden-pines/muirwood/25074600006
