Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$230,499",3.0,2.0,1239.0,"3325 Beckwith Way, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/14982565y19
Move-in ready,"$237,999",3.0,2.0,1266.0,"3363 Big Antero Lane, Crandall, TX",Windhaven in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/windhaven/14982554v16
Move-in ready,"$227,999",3.0,2.0,1239.0,"2380 Great Belt Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/14982565q36
Move-in ready,"$227,999",3.0,2.0,1239.0,"1535 Highbridge Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/1498256cc26
Move-in ready,"$329,799",3.0,2.0,1602.0,"5479 Montrose Drive, Forney, TX",Mozart in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/classic-collection/mozart/14965545n1r
Move-in ready,"$275,999",3.0,2.0,1266.0,"2845 Rosewater Lane, Fort Worth, TX",Windhaven in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/cottage-collection/windhaven/14975542z05
Move-in ready,"$336,999",4.0,2.0,1838.0,"14741 Mainstay Way, Fort Worth, TX",Serenade in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/classic-collection/serenade/14603632911
Move-in ready,"$227,999",3.0,2.0,1239.0,"1527 Highbridge Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/1498256cc30
Move-in ready,"$227,999",3.0,2.0,1239.0,"2374 Great Belt Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/14982565q33
Move-in ready,"$227,999",3.0,2.0,1239.0,"3168 Crestone Drive, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/14982554v10
Move-in ready,"$227,999",3.0,2.0,1239.0,"1532 Highbridge Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/1498256dd10
Move-in ready,"$227,999",3.0,2.0,1239.0,"2379 Great Belt Boulevard, Crandall, TX",Ivy in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/ivy/1498256dd18
Move-in ready,"$306,174",3.0,2.0,1487.0,"14832 Bridge Pass Trail, Fort Worth, TX",Whitton in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/watermill-collection/whitton/14969559731
Move-in ready,"$395,999",4.0,3.0,2284.0,"1212 Western Yarrow Avenue, Fort Worth, TX",San Angelo in Wildflower,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/wildflower/lonestar-collection/san-angelo/1495953oo21
Move-in ready,"$258,999",3.0,2.0,1302.0,"2108 Mobile Drive, Ennis, TX",Fullerton in Bluebonnet Estates,https://www.lennar.com/new-homes/texas/dallas-ft-worth/ennis/bluebonnet-estates/fullerton/14988543l28
Move-in ready,"$379,999",4.0,2.5,2348.0,"9820 Wild Prairie Way, Crowley, TX",Harmony in Chisholm Trail Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crowley/chisholm-trail-ranch/harmony/14630521q10
Move-in ready,"$428,999",4.0,3.0,2371.0,"14620 Marrowglen Road, Fort Worth, TX",Rosso in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/brookstone-collection/rosso/4236647317
Move-in ready,"$395,999",4.0,3.0,2284.0,"1236 Western Yarrow Avenue, Fort Worth, TX",San Angelo in Wildflower,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/wildflower/lonestar-collection/san-angelo/1495953oo27
Move-in ready,"$325,499",3.0,2.0,1602.0,"14737 Mainstay Way, Fort Worth, TX",Mozart in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/classic-collection/mozart/14603632910
Move-in ready,"$286,174",3.0,2.0,1267.0,"2657 Starwater Drive, Fort Worth, TX",Fullerton in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/watermill-collection/fullerton/1497455ak02
Move-in ready,"$293,174",3.0,2.0,1487.0,"8316 Hollow Bend Street, Fort Worth, TX",Whitton in Llano Springs Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/llano-springs-watermill/whitton/14632532563
Move-in ready,"$481,499",4.0,3.5,3181.0,"14609 Marrowglen Road, Fort Worth, TX",Moonstone w/ Media in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/brookstone-collection/moonstone-w-media/4236647215
Move-in ready,"$352,999",4.0,2.0,1996.0,"9704 Wild Prairie Way, Crowley, TX",Allegro in Chisholm Trail Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crowley/chisholm-trail-ranch/allegro/14630521k63
Move-in ready,"$303,999",4.0,2.0,1720.0,"1113 Green Oaks Drive, Hutchins, TX",Agora in Skyline Estates Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/hutchins/skyline-estates-watermill/agora/14972542o04
Move-in ready,"$345,499",4.0,2.0,1996.0,"14717 Mainstay Way, Fort Worth, TX",Allegro in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/classic-collection/allegro/14603632905
Move-in ready,"$269,174",3.0,2.0,1440.0,"6246 Unbridled Drive, Forney, TX",Red Oak in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/cottage-collection/red-oak/14964556u49
Move-in ready,"$405,999",2.0,2.0,1746.0,"2001 Spotted Fawn Drive, Arlington, TX",Sinatra in Elements at Viridian | Active Adult 55+,https://www.lennar.com/new-homes/texas/dallas-ft-worth/arlington/elementsatviridianactiveadult55/sinatra/66967531921
Move-in ready,"$407,999",4.0,3.0,2371.0,"745 Lombard Lane, Forney, TX",Rosso in Overland Grove,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/overland-grove/brookstone-collection/rosso/6695152ff12
Move-in ready,"$418,499",4.0,3.0,2177.0,"14601 Marrowglen Road, Fort Worth, TX",Garnet in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/brookstone-collection/garnet/4236647213
Move-in ready,"$351,999",4.0,2.0,1996.0,"14005 Tanglebrush Trail, Fort Worth, TX",Allegro in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/classic-collection/allegro/14603628521
Move-in ready,"$218,000",2.0,1.0,1004.0,"6247 Unbridled Drive, Forney, TX",Grove in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/cottage-collection/grove/14964556w38
Move-in ready,"$737,499",4.0,3.5,3308.0,"344 Red Hill Road, Sunnyvale, TX",Acadia in Stoney Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/sunnyvale/stoney-creek/acadia/66961522c01
Move-in ready,"$420,324",4.0,2.0,1838.0,"3600 Mallard Way, McKinney, TX",Serenade in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/serenade/1498455ag16
Move-in ready,"$250,999",3.0,2.0,1239.0,"6024 Determine Lane, Forney, TX",Ivy in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/cottage-collection/ivy/14964556v13
Move-in ready,"$367,499",3.0,2.5,2003.0,"1200 Western Yarrow Avenue, Fort Worth, TX",Laredo in Wildflower,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/wildflower/lonestar-collection/laredo/1495953oo18
Move-in ready,"$311,999",3.0,2.0,1602.0,"225 Post Oak Street, Azle, TX",Mozart in Azle Grove,https://www.lennar.com/new-homes/texas/dallas-ft-worth/azle/azle-grove/mozart/14629520208
Move-in ready,"$301,999",4.0,2.0,1683.0,"2837 Rosewater Lane, Fort Worth, TX",Camellia in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/cottage-collection/camellia/14975542z07
Move-in ready,"$383,999",4.0,3.0,2176.0,"1208 Western Yarrow Avenue, Fort Worth, TX",Conroe in Wildflower,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/wildflower/lonestar-collection/conroe/1495953oo20
Move-in ready,"$267,999",3.0,2.0,1522.0,"2306 Mobile Drive, Ennis, TX",Whitton in Bluebonnet Estates,https://www.lennar.com/new-homes/texas/dallas-ft-worth/ennis/bluebonnet-estates/whitton/14988543l21
Move-in ready,"$427,999",4.0,2.0,1996.0,"3905 Harper Street, Little Elm, TX",Allegro in Linden Hills,https://www.lennar.com/new-homes/texas/dallas-ft-worth/little-elm/linden-hills/classic-collection/allegro/14994532j39
Move-in ready,"$292,499",3.0,2.0,1491.0,"14037 Earlham Street, Pilot Point, TX",Red Oak in Mobberly Farms,https://www.lennar.com/new-homes/texas/dallas-ft-worth/pilot-point/mobberly-farms/cottage-collection/red-oak/14625521g09
Move-in ready,"$278,999",3.0,2.0,1411.0,"2725 Slatewood Drive, Fort Worth, TX",Chestnut in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/cottage-collection/chestnut/14975542x03
Move-in ready,"$288,999",3.0,2.0,1411.0,"2805 Rosewater Lane, Fort Worth, TX",Chestnut in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/cottage-collection/chestnut/14975542z13
Move-in ready,"$406,999",4.0,2.0,1838.0,"8412 Gray Squirrel Lane, McKinney, TX",Serenade in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/serenade/1498456ax21
Move-in ready,"$404,999",4.0,2.0,1838.0,"8428 Gray Squirrel Lane, McKinney, TX",Serenade in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/serenade/1498456ax17
Move-in ready,"$288,999",3.0,2.0,1487.0,"324 Pueblo Bonito Trail, Fort Worth, TX",Whitton in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/watermill-collection/whitton/14969555613
Move-in ready,"$306,799",4.0,2.0,1720.0,"1637 Bluffview Drive, Hutchins, TX",Agora in Skyline Estates Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/hutchins/skyline-estates-watermill/agora/14972542p09
Move-in ready,"$324,999",4.0,2.5,1685.0,"3331 Peyton Lila Road, Dallas, TX",Pinecove in Trinity West,https://www.lennar.com/new-homes/texas/dallas-ft-worth/dallas/trinity-west/pinecove/14995532112
Move-in ready,"$310,999",3.0,2.0,1602.0,"2021 Eucalyptus Avenue, Royse City, TX",Mozart in Verandah,https://www.lennar.com/new-homes/texas/dallas-ft-worth/royse-city/verandah/mozart/14963534535
Move-in ready,"$306,799",3.0,2.0,1602.0,"2026 Eucalyptus Avenue, Royse City, TX",Mozart in Verandah,https://www.lennar.com/new-homes/texas/dallas-ft-worth/royse-city/verandah/mozart/14963534606
Move-in ready,"$407,999",4.0,4.0,2472.0,"10004 Plumfield Drive, Fort Worth, TX",Beaumont in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/beaumont/14647526i06
Move-in ready,"$441,999",4.0,2.0,1838.0,"3904 Harper Street, Little Elm, TX",Serenade in Linden Hills,https://www.lennar.com/new-homes/texas/dallas-ft-worth/little-elm/linden-hills/classic-collection/serenade/14994532k16
Move-in ready,"$382,999",4.0,3.0,2176.0,"9913 Diamondhead Drive, Fort Worth, TX",Conroe in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/conroe/14647526i13
Move-in ready,"$369,999",3.0,3.0,2091.0,"9921 Diamondhead Drive, Fort Worth, TX",McAllen in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/mcallen/14647526i15
Move-in ready,"$359,999",3.0,2.5,2081.0,"9909 Diamondhead Drive, Fort Worth, TX",Midland in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/midland/14647526i12
Move-in ready,"$304,999",4.0,2.0,1674.0,"2728 Starwater Drive, Fort Worth, TX",Agora in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/watermill-collection/agora/1497455ax45
Move-in ready,"$290,999",3.0,2.0,1481.0,"2732 Starwater Drive, Fort Worth, TX",Whitton in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/watermill-collection/whitton/1497455ax44
Move-in ready,"$303,999",4.0,2.0,1720.0,"1125 Green Oaks Drive, Hutchins, TX",Agora in Skyline Estates Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/hutchins/skyline-estates-watermill/agora/14972542o07
Move-in ready,"$349,999",4.0,2.5,1950.0,"3241 Peyton Lila Road, Dallas, TX",Hillside in Trinity West,https://www.lennar.com/new-homes/texas/dallas-ft-worth/dallas/trinity-west/hillside/14995532105
Move-in ready,"$283,999",4.0,2.0,1720.0,"2303 Mobile Drive, Ennis, TX",Agora in Bluebonnet Estates,https://www.lennar.com/new-homes/texas/dallas-ft-worth/ennis/bluebonnet-estates/agora/14988543k11
Move-in ready,"$437,999",4.0,3.0,2371.0,"9836 Larkfield Drive, Fort Worth, TX",Rosso in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/brookstone-collection/rosso/14646526l09
Move-in ready,"$328,999",3.0,2.0,1577.0,"9905 Elkhorn Drive, Fort Worth, TX",Waco in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/waco/14647526k22
Move-in ready,"$462,499",4.0,2.5,2348.0,"8432 Gray Squirrel Lane, McKinney, TX",Harmony in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/harmony/1498456ax16
Move-in ready,"$422,999",4.0,2.0,1996.0,"3421 Egret Court, McKinney, TX",Allegro in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/allegro/1498455ac40
Move-in ready,"$272,999",4.0,2.0,1500.0,"6051 Determine Lane, Forney, TX",Meadow in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/cottage-collection/meadow/14964556r24
Move-in ready,"$259,999",3.0,2.0,1266.0,"6053 Determine Lane, Forney, TX",Windhaven in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/cottage-collection/windhaven/14964556r25
Move-in ready,"$615,999",4.0,3.5,3307.0,"620 Quaint Pond Lane, Argyle, TX",Somerville II w/Theater in Waterbrook 50',https://www.lennar.com/new-homes/texas/dallas-ft-worth/argyle/waterbrook-50/somerville-ii-w-theater/66969551a14
Move-in ready,"$278,999",3.0,2.0,1522.0,"1140 Green Oaks Drive, Hutchins, TX",Whitton in Skyline Estates Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/hutchins/skyline-estates-watermill/whitton/14972542p26
Move-in ready,"$332,799",3.0,2.0,1461.0,"3613 Harper Street, Little Elm, TX",Chestnut in Linden Hills,https://www.lennar.com/new-homes/texas/dallas-ft-worth/little-elm/linden-hills/cottage-collection/chestnut/14993532j22
Move-in ready,"$309,999",4.0,2.0,1679.0,"6724 Dove Chase Lane, Fort Worth, TX",Agora in Llano Springs Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/llano-springs-watermill/agora/14632543117
Move-in ready,"$292,999",3.0,2.0,1487.0,"8620 Mount Evans Court, Fort Worth, TX",Whitton in Llano Springs Watermill,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/llano-springs-watermill/whitton/14632543139
Move-in ready,"$351,999",4.0,2.0,1996.0,"5473 Montrose Drive, Forney, TX",Allegro in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/classic-collection/allegro/14965545n4r
Move-in ready,"$337,999",4.0,2.0,1838.0,"5475 Montrose Drive, Forney, TX",Serenade in Trinity Crossing,https://www.lennar.com/new-homes/texas/dallas-ft-worth/forney/trinity-crossing/classic-collection/serenade/14965545n3r
Move-in ready,"$335,999",4.0,2.0,1996.0,"840 Garner Drive, Fate, TX",Allegro in Woodcreek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fate/woodcreek/allegro/14971539r08
Move-in ready,"$425,999",4.0,3.0,2177.0,"9825 Larkfield Drive, Fort Worth, TX",Garnet in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/brookstone-collection/garnet/14646526l03
Move-in ready,"$327,999",4.0,2.0,1838.0,"220 Coconut Drive, Azle, TX",Serenade in Azle Grove,https://www.lennar.com/new-homes/texas/dallas-ft-worth/azle/azle-grove/serenade/14629520606
Move-in ready,"$810,000",4.0,3.5,3034.0,"5549 Winter Haven Bend, Flower Mound, TX",Livingstone II w/Theater in Bradford Park,https://www.lennar.com/new-homes/texas/dallas-ft-worth/flower-mound/bradford-park/lakeside-collection/livingstone-ii-w-theater/66941541d28
Move-in ready,"$357,999",4.0,2.0,1996.0,"2500 Goodrich Road, Fort Worth, TX",Allegro in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/classic-collection/allegro/1497655ai16
Move-in ready,"$385,999",3.0,2.0,1442.0,"3308 Appleton Street, Little Elm, TX",Brio in Linden Hills,https://www.lennar.com/new-homes/texas/dallas-ft-worth/little-elm/linden-hills/classic-collection/brio/14994532l08
Move-in ready,"$399,999",3.0,2.0,1602.0,"3304 Appleton Street, Little Elm, TX",Mozart in Linden Hills,https://www.lennar.com/new-homes/texas/dallas-ft-worth/little-elm/linden-hills/classic-collection/mozart/14994532l07
Move-in ready,"$396,999",4.0,3.0,2284.0,"9925 Diamondhead Drive, Fort Worth, TX",San Angelo in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/lonestar-collection/san-angelo/14647526i16
Move-in ready,"$271,999",3.0,2.0,1411.0,"1349 Plum Road, Princeton, TX",Chestnut II in Cypress Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/princeton/cypress-creek/cottage-collection/chestnut-ii/14640521c07
Move-in ready,"$332,499",3.0,2.0,1404.0,"1141 Western Yarrow Avenue, Fort Worth, TX",El Paso in Wildflower,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/wildflower/lonestar-collection/el-paso/1495953rr25
Move-in ready,"$309,999",4.0,2.0,1667.0,"1239 Tallow Trail, Princeton, TX",Agora III in Cypress Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/princeton/cypress-creek/watermill-collection/agora-iii/14641521a01
Move-in ready,"$284,999",3.0,2.0,1440.0,"2701 Cobbleview Drive, Fort Worth, TX",Red Oak in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/cottage-collection/red-oak/1497554ah12
Move-in ready,"$500,499",4.0,3.0,2506.0,"3509 Red Cardinal Court, McKinney, TX",Buxton II in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/brookstone-collection/buxton-ii/1464356ag89
Move-in ready,"$292,999",3.0,2.0,1271.0,"14609 Red Arroyo Lane, Fort Worth, TX",Fullerton in Sendera Ranch,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/sendera-ranch/watermill-collection/fullerton/14969550505
Move-in ready,"$261,999",3.0,2.0,1302.0,"1364 Beach Drive, Pelican Bay, TX",Fullerton in Lakeview Estates,https://www.lennar.com/new-homes/texas/dallas-ft-worth/pelican-bay/lakeview-estates/fullerton/14636522117
Move-in ready,"$332,999",3.0,2.0,1602.0,"2508 Goodrich Road, Fort Worth, TX",Mozart in Northpointe,https://www.lennar.com/new-homes/texas/dallas-ft-worth/fort-worth/northpointe/classic-collection/mozart/1497655ai18
Move-in ready,"$588,999",4.0,3.5,3181.0,"3517 Red Cardinal Court, McKinney, TX",Moonstone w/ Media in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/brookstone-collection/moonstone-w-media/1464356ag87
Move-in ready,"$396,499",3.0,2.0,1602.0,"3312 Ringtail Lane, McKinney, TX",Mozart in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/classic-collection/mozart/1498456aq04
Move-in ready,"$321,499",3.0,2.0,1411.0,"7724 Privet Place, McKinney, TX",Chestnut in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/cottage-collection/chestnut/14983543u02
Move-in ready,"$249,999",3.0,2.0,1440.0,"1507 Highbridge Boulevard, Crandall, TX",Red Oak in Highbridge,https://www.lennar.com/new-homes/texas/dallas-ft-worth/crandall/highbridge/cottage-collection/red-oak/14982554x17
Move-in ready,"$608,499",5.0,4.5,3357.0,"3505 Red Cardinal Court, McKinney, TX",Sunstone w/ Media in Preserve at Honey Creek,https://www.lennar.com/new-homes/texas/dallas-ft-worth/mckinney/preserve-at-honey-creek/brookstone-collection/sunstone-w-media/1464356ag90
