Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$264,999",3.0,2.0,1440.0,"2903 Charpak Drive, Converse, TX",Durbin in Paloma,https://www.lennar.com/new-homes/texas/san-antonio/converse/paloma/cottage-collection/durbin/40129524104
Move-in ready,"$305,499",3.0,2.0,1910.0,"6935 Pail Place, San Antonio, TX",Bradwell in Silos,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/silos/barrington-collection/bradwell/40032533607
Move-in ready,"$221,999",3.0,2.0,1244.0,"9406 Tarbutton Trail, San Antonio, TX",Alta in Somerset Grove,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/somerset-grove/broadview-and-stonehill-collection/alta/40167520114
Move-in ready,"$150,999",1.0,1.0,350.0,"4259 Thalweg Way, San Antonio, TX",Cooley in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/dream-collection/cooley/40155524815
Move-in ready,"$250,999",4.0,2.0,1627.0,"4107 Imogene Ivy, San Antonio, TX",Drexel in Somerset Grove,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/somerset-grove/cottage-collection/drexel/40168520402
Move-in ready,"$159,360",1.0,1.0,350.0,"7202 Elm Cove, San Antonio, TX",Cooley in Elm Trails,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/elm-trails/cooley/40172525105
Move-in ready,"$288,999",3.0,2.0,1675.0,"567 Lew Pass, San Antonio, TX",Thayer in Mission Del Lago,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/mission-del-lago/barringtonbroadviewandstonehill/thayer/40040553041
Move-in ready,"$228,999",2.0,2.0,925.0,"4538 Zoe Pass, San Antonio, TX",Howell in Thea Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/thea-meadows/belmar-collection/howell/40175520651
Move-in ready,"$373,999",4.0,3.0,2377.0,"8908 Luciano Ridge, Seguin, TX",Gilson in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/brookstone-ii-collection/gilson/40220520707
Move-in ready,"$177,481",4.0,2.5,1530.0,"10969 Presa Way, San Antonio, TX",Aubrey in Presa Point,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/presa-point/aubrey/40246520214
Move-in ready,"$240,791",4.0,2.0,1667.0,"7115 Chicken Ridge, San Antonio, TX",Nettleton in Silos,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/silos/watermill-collection/nettleton/40144521621
Move-in ready,"$216,499",3.0,2.0,1018.0,"14455 Alluvium Creek, San Antonio, TX",Hewitt in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/crestmore-collection/hewitt/40157524928
Move-in ready,"$231,999",3.0,2.0,1450.0,"9427 Tarbutton Trail, San Antonio, TX",Cambria in Somerset Grove,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/somerset-grove/broadview-and-stonehill-collection/cambria/40167520204
Move-in ready,"$234,999",4.0,2.0,1492.0,"4438 Geyser Lake, San Antonio, TX",Trenton in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/belmar-collection/trenton/40154528152
Move-in ready,"$276,999",4.0,2.0,1627.0,"5151 Fowler Crest, Converse, TX",Drexel in Knox Ridge,https://www.lennar.com/new-homes/texas/san-antonio/converse/knox-ridge/drexel/40105522230
Move-in ready,"$229,999",4.0,2.0,1880.0,"4426 Geyser Lake, San Antonio, TX",Rosedale in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/stonehill-collection/rosedale/40138528155
Move-in ready,"$262,999",3.0,2.0,1217.0,"3865 Far Horizon, Seguin, TX",Fullerton in Waters Edge,https://www.lennar.com/new-homes/texas/san-antonio/seguin/waters-edge/fullerton/40279520216
Move-in ready,"$435,999",4.0,3.0,2393.0,"6016 Draw Loop, Bulverde, TX",Rosso in Hidden Trails,https://www.lennar.com/new-homes/texas/san-antonio/bulverde/hidden-trails/brookstone-ii-collection/rosso/40072524202
Move-in ready,"$214,999",3.0,2.0,1450.0,"4119 Cove Falls, San Antonio, TX",Cambria in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/stonehill-collection/cambria/40138523004
Move-in ready,"$241,999",3.0,2.0,1440.0,"4127 Imogene Ivy, San Antonio, TX",Durbin in Somerset Grove,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/somerset-grove/cottage-collection/durbin/40168520407
Move-in ready,"$221,999",3.0,2.0,1129.0,"4462 Geyser Lake, San Antonio, TX",Remsen in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/belmar-collection/remsen/40154528146
Move-in ready,"$243,999",4.0,2.0,1880.0,"13126 Levi Terrace, San Antonio, TX",Rosedale in Mission Del Lago,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/mission-del-lago/barringtonbroadviewandstonehill/rosedale/40040584850
Move-in ready,"$255,999",3.0,2.0,1440.0,"5921 San Geronimo, Seguin, TX",Collier in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/cottage-collection/collier/40122521535
Move-in ready,"$273,999",4.0,2.0,1627.0,"5941 San Geronimo, Seguin, TX",Drexel in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/cottage-collection/drexel/40122521540
Move-in ready,"$286,999",4.0,2.5,1950.0,"5158 Fowler Crest, Converse, TX",Ridley in Knox Ridge,https://www.lennar.com/new-homes/texas/san-antonio/converse/knox-ridge/ridley/40105522646
Move-in ready,"$368,999",4.0,3.0,1910.0,"6019 Draw Loop, Bulverde, TX",Huxley in Hidden Trails,https://www.lennar.com/new-homes/texas/san-antonio/bulverde/hidden-trails/barrington-collection/huxley/40070524734
Move-in ready,"$232,499",3.0,2.0,1474.0,"623 Bean Bend, San Antonio, TX",Gannes in Mission Del Lago,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/mission-del-lago/watermill-collection/gannes/40076524322
Move-in ready,"$237,999",3.0,2.0,1266.0,"5930 San Geronimo, Seguin, TX",Rundle in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/cottage-collection/rundle/40122521606
Move-in ready,"$275,999",4.0,2.0,1667.0,"9059 Navarro Vista, Seguin, TX",Nettleton in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/watermill-collection/nettleton/40221520231
Move-in ready,"$274,999",4.0,2.0,1667.0,"10706 Hernando Court, Converse, TX",Nettleton in Paloma,https://www.lennar.com/new-homes/texas/san-antonio/converse/paloma/watermill-collection/nettleton/40109531851
Move-in ready,"$273,999",3.0,2.0,1474.0,"3861 Far Horizon, Seguin, TX",Gannes in Waters Edge,https://www.lennar.com/new-homes/texas/san-antonio/seguin/waters-edge/gannes/40279520217
Move-in ready,"$271,999",3.0,2.0,1440.0,"5942 San Geronimo, Seguin, TX",Durbin in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/cottage-collection/durbin/40122521603
Move-in ready,"$281,999",4.0,2.0,1667.0,"9913 Dicket Mead Road, San Antonio, TX",Nettleton in Waterwheel,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/waterwheel/watermill-collection/nettleton/40099529003
Move-in ready,"$195,499",3.0,2.0,1018.0,"4218 Chupaderas Creek, San Antonio, TX",Bristol in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/broadview-collection/bristol/40110524834
Move-in ready,"$293,999",4.0,2.5,1874.0,"9917 Dicket Mead Road, San Antonio, TX",Selsey in Waterwheel,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/waterwheel/watermill-collection/selsey/40099529004
