Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$707,900",3.0,2.5,2157.0,"1291 E North Hampton Drive, Kaysville, UT",Cascade in Talbot Heights,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/cascade/69953510206
Move-in ready,"$709,900",5.0,2.5,2698.0,"7248 W Cibola Road, West Valley City, UT",Yosemite in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/yosemite/69933516305
Move-in ready,"$763,900",5.0,3.0,3080.0,"7245 W Cibola Road, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516323
Move-in ready,"$584,900",3.0,2.5,1873.0,"4962 W Willowbank Drive, Highland, UT",Wasatch in Ridgeview,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/villas/wasatch/69955510602
Move-in ready,"$705,900",4.0,2.5,2424.0,"7233 W Cibola Road, West Valley City, UT",Sequoia in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/sequoia/69933516324
Under construction,"$589,900",3.0,2.5,1873.0,"4944 W Willowbank Drive, Highland, UT",Wasatch in Ridgeview,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/villas/wasatch/69955510605
Under construction,"$590,900",3.0,2.5,1873.0,"4932 W Willowbank Drive, Highland, UT",Wasatch in Ridgeview,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/villas/wasatch/69955510607
Under construction,"$769,900",5.0,3.0,3080.0,"6248 S Quivira Court, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516325
Under construction,"$749,900",5.0,3.0,3080.0,"7198 W Cibola Road, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516301
Under construction,"$774,900",5.0,3.0,3080.0,"6258 S Quivira Court, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516326
Under construction,"$768,900",5.0,3.0,3080.0,"6261 S Quivira Court, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516327
Under construction,"$727,900",4.0,2.5,2482.0,"1083 N Hertford Loop, Kaysville, UT",Mesa in Talbot Heights,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/mesa/69953510234
Under construction,"$778,900",5.0,3.0,3080.0,"2539 N Paintbrush Drive, Saratoga Springs, UT",Teton in Primrose,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/estates/teton/69925510737
Under construction,"$782,900",5.0,3.0,3080.0,"6251 S Quivira Court, West Valley City, UT",Teton in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/teton/69933516328
Under construction,"$705,900",4.0,2.5,2424.0,"7209 W Cibola Road, West Valley City, UT",Sequoia in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/sequoia/69933516329
Under construction,"$509,900",4.0,2.5,2482.0,"3404 N FINCH LANE, Eagle Mountain, UT",Mesa in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/villages/mesa/6995651a122
Under construction,"$469,900",4.0,2.5,1824.0,"3395 N FINCH LANE, Eagle Mountain, UT",Pinnacle in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/villages/pinnacle/6995651a139
Under construction,"$700,900",3.0,2.0,2157.0,"7197 W Cibola Road, West Valley City, UT",Cascade in Sunset Hills,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/cascade/69933516330
Under construction,"$494,900",3.0,2.0,1768.0,"3396 N SWIFT LANE, Eagle Mountain, UT",Arcadia in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/cottages/arcadia/6995751a140
Under construction,"$565,900",4.0,2.5,2424.0,"3397 N SWIFT LANE, Eagle Mountain, UT",Sequoia in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/cottages/sequoia/6995751a159
Under construction,"$515,900",4.0,2.5,2482.0,"3393 N SPARROW LANE, Eagle Mountain, UT",Mesa in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/villages/mesa/6995651a111
Under construction,"$659,900",5.0,3.0,3080.0,"1673 E WARBLER DR, Eagle Mountain, UT",Teton in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/estates/teton/6995851b101
Under construction,"$635,900",5.0,2.5,2698.0,"1689 E WARBLER DR, Eagle Mountain, UT",Yosemite in Parkway Fields,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/estates/yosemite/6995851b102
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/villages/basin
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/spanish-fork/escala/canyon/residence-e
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/spanish-fork/escala/canyon/residence-m
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/spanish-fork/escala/zion/residence-1
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/spanish-fork/escala/zion/residence-2
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/spanish-fork/escala/zion/residence-3
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/canyons/residence-e
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/canyons/residence-m
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/cottages/mesa
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/cottages/pinnacle
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/cottages/sequoia
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/estates/cascade
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/estates/teton
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/estates/yosemite
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/zions/residence-1
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/zions/residence-2
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/heber/jordanelle-ridge/zions/residence-3
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/cottages/redwood
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/estates/cascade
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/estates/denali
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/villages/cache
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/eagle-mountain/parkway-fields/villages/wasatch
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/cottages/arcadia
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/cottages/redwood
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/cottages/sequoia
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/estates/denali
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/estates/yosemite
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/villages/mesa
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/saratoga-springs/primrose/villages/pinnacle
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/villas/cache
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/villas/uinta
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/zion/residence-1
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/zion/residence-2
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/arcadia
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/west-valley-city/sunset-hills/mesa
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/redwood
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/sequoia
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/teton
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/kaysville/talbot-heights/yosemite
Future release,,,,,,,https://www.lennar.com/new-homes/utah/salt-lake-city/highland/ridgeview/zion/residence-3
