Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$699,990",4.0,3.5,4005.0,"9206 Moldova Road, Chesterfield, VA",Bonnington in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/estate-collection/bonnington/22813656040
Move-in ready,"$680,040",4.0,3.5,4661.0,"9207 Moldova Road, Chesterfield, VA",Concord in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/estate-collection/concord/22813656027
Move-in ready,"$749,990",5.0,4.5,3751.0,"9124 Moldova Road, Chesterfield, VA",Innisbrook in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/innisbrook/22812656042
Move-in ready,"$713,900",4.0,4.5,4005.0,"9231 Moldova Road, Chesterfield, VA",Bonnington in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/estate-collection/bonnington/22813656031
Under construction,"$687,515",4.0,2.5,3083.0,"15455 Holcomb Bridge Dr, Chesterfield, VA",Harlow II in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/harlow-ii/22812655001
Under construction,"$643,540",4.0,2.5,2751.0,"15449 Holcomb Bridge Dr, Chesterfield, VA",Innisbrook in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/innisbrook/22812655002
Coming soon,Low $700K,4.0,3.5,3289.0,"15106 Scranton Dr, Chesterfield, VA",Concord in Harpers Mill,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/estate-collection/concord/22813655022
Coming soon,Mid $400K,3.0,3.0,2333.0,"Lot 5044 JACKLINE RUN, Chesterfield, VA",Ellington in Watermark,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/watermark/ellington/22822655044
Coming soon,Low $400K,3.0,3.0,2333.0,"Lot 5046 JACKLINE RUN, Chesterfield, VA",Ellington in Watermark,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/watermark/ellington/22822655046
Coming soon,Low $400K,3.0,3.0,2333.0,"Lot 5052 JACKLINE RUN, Chesterfield, VA",Ellington in Watermark,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/watermark/ellington/22822655052
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/estate-collection/standrews
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/watermark/everly
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/columbia
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/hudson
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/richmond-area/chesterfield/harpers-mill/executive-collection/lexington
