Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$845,990",4.0,3.5,2424.0,"84621 Lago Breeza, Indio, CA",Residence 2 in Lido at Terra Lago,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/lido-at-terra-lago/residence-2/31553510103
Move-in ready,"$511,631",3.0,2.5,1705.0,"73614 Travers Street, Palm Desert, CA",Residence One in Dolce,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/dolce/ventana/residence-one/31562510097
Move-in ready,"$514,806",3.0,2.5,1705.0,"73586 Travers Street, Palm Desert, CA",Residence One in Dolce,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/dolce/ventana/residence-one/31562510095
Move-in ready,"$593,240",4.0,3.5,2820.0,"82108 Verdi Road, Indio, CA",Residence Three in Siena at Paradiso,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/siena-at-paradiso/residence-three/31530510069
Move-in ready,"$956,990",4.0,4.5,2680.0,"43199 Portuale Court, Indio, CA",Residence 3 in Lido at Terra Lago,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/lido-at-terra-lago/residence-3/31553510112
Move-in ready,"$827,990",4.0,3.5,2424.0,"43149 Portuale Court, Indio, CA",Residence 2 in Lido at Terra Lago,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/lido-at-terra-lago/residence-2/31553510116
Move-in ready,"$922,990",4.0,4.5,2680.0,"43137 Portuale Court, Indio, CA",Residence 3 in Lido at Terra Lago,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/lido-at-terra-lago/residence-3/31553510117
Move-in ready,"$490,165",3.0,2.5,1878.0,"76357 Cornell Way, Palm Desert, CA",Residence Three in University Park,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/university-park/centre/residence-three/31544510105
Move-in ready,"$528,440",4.0,3.0,1932.0,"41165 Harvey Mudd Drive, Palm Desert, CA",Residence Three in University Park,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/university-park/village/residence-three/31545510182
Move-in ready,"$489,165",3.0,2.5,1878.0,"76321 Cornell Way, Palm Desert, CA",Residence Three in University Park,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/university-park/centre/residence-three/31544510108
Move-in ready,"$547,430",3.0,2.5,1843.0,"35533 Sereno Lane, Palm Desert, CA",Residence Two in Dolce,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/dolce/ventana/residence-two/31562510110
Move-in ready,"$593,264",4.0,2.0,1879.0,"73486 Cierra Street, Palm Desert, CA",Residence Three in Dolce,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/dolce/castello/residence-three/31554510061
Move-in ready,"$905,990",4.0,4.5,2680.0,"43076 Armonia Court, Indio, CA",Residence 3 in Lido at Terra Lago,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/lido-at-terra-lago/residence-3/31553510119
Under construction,"$587,240",4.0,3.5,2820.0,"82066 Verdi Road, Indio, CA",Residence Three in Siena at Paradiso,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/siena-at-paradiso/residence-three/31530510072
Under construction,"$431,970",3.0,2.0,1950.0,"11659 Sky Pointe Drive, Desert Hot Springs, CA",Residence Three in Skyborne,https://www.lennar.com/new-homes/california/palm-springs-coachella/desert-hot-springs/skyborne/vega/residence-three/31537510126
Under construction,"$549,870",4.0,2.5,2686.0,"82054 Verdi Road, Indio, CA",Residence Two in Siena at Paradiso,https://www.lennar.com/new-homes/california/palm-springs-coachella/indio/siena-at-paradiso/residence-two/31530510073
Under construction,"$593,215",4.0,3.0,2032.0,"41174 Harvey Mudd Drive, Palm Desert, CA",Residence One in University Park,https://www.lennar.com/new-homes/california/palm-springs-coachella/palm-desert/university-park/district/residence-one/31546510007
Under construction,"$1,177,990",3.0,3.5,2424.0,"75300 Mansfield Drive, Indian Wells, CA",Residence 6 in The Province,https://www.lennar.com/new-homes/california/palm-springs-coachella/indian-wells/the-province/residence-6/67659510115
