Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$829,000",2.0,2.0,1080.0,"51 Innes Ct #312, San Francisco, CA",Monarch 4-312 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-4-312/51571514312
Move-in ready,"$859,000",2.0,2.0,1069.0,"51 Innes Ct #408, San Francisco, CA",Monarch 4-408 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-francisco/the-san-francisco-shipyard/monarch/monarch-4-408/51571514408
Move-in ready,"$749,000",2.0,2.0,1020.0,"10 Innes Ct #204, San Francisco, CA",Landing 2-204 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-francisco/the-san-francisco-shipyard/landing/landing-2-204/51570512204
Move-in ready,"$779,000",2.0,2.0,1020.0,"10 Innes Ct #403, San Francisco, CA",Landing 2-403 in The San Francisco Shipyard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/san-francisco/the-san-francisco-shipyard/landing/landing-2-403/51570512403
Move-in ready,"$999,584",3.0,3.0,1563.0,"5511 Stout Street, Dublin, CA",Residence 3 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/skyline/residence-3/65922511106
Move-in ready,"$829,375",4.0,3.5,3183.0,"5345 Frisanco Way, Antioch, CA",Residence 5 in Aviano,https://www.lennar.com/new-homes/california/san-francisco-bay-area/antioch/aviano/luna/residence-5/2852510192
Move-in ready,"$1,008,272",2.0,2.5,1699.0,"37652 Salt Grass Road, Newark, CA",Residence 1 in Bridgeway,https://www.lennar.com/new-homes/california/san-francisco-bay-area/newark/bridgeway/courts/residence-1/782512369
Move-in ready,"$1,199,154",5.0,3.5,3599.0,"6881 Seraphina Drive, Tracy, CA",Residence 4 in Tracy Hills,https://www.lennar.com/new-homes/california/san-francisco-bay-area/tracy/tracy-hills/pearl/residence-4/794510125
Move-in ready,"$645,874",3.0,2.5,1578.0,"2090 Daimler Street, Lathrop, CA",Residence 1 in River Islands,https://www.lennar.com/new-homes/california/san-francisco-bay-area/lathrop/river-islands/horizon/residence-1/2842510226
Move-in ready,"$868,569",5.0,3.5,3637.0,"5158 Porcia Way, Antioch, CA",Residence 9 in Aviano,https://www.lennar.com/new-homes/california/san-francisco-bay-area/antioch/aviano/oriana/residence-9/2853510282
Move-in ready,"$1,518,700",4.0,4.0,2466.0,"5777 Silhouette Court, Dublin, CA",Residence 2 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/lombard/residence-2/65936510050
Move-in ready,"$1,528,221",4.0,4.0,2466.0,"5795 Silhouette Court, Dublin, CA",Residence 2 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/lombard/residence-2/65936510047
Move-in ready,"$1,398,648",4.0,3.5,2773.0,"6006 Marble Street, Dublin, CA",Residence 3 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/venice/residence-3/65938510003
Move-in ready,"$688,443",3.0,2.5,1867.0,"5867 Lenin Priego St., Tracy, CA",Residence 1 in Tracy Hills,https://www.lennar.com/new-homes/california/san-francisco-bay-area/tracy/tracy-hills/amethyst/residence-1/2855510027
Move-in ready,"$699,309",5.0,3.0,2565.0,"5112 Maniago Way, Antioch, CA",Residence 3 in Aviano,https://www.lennar.com/new-homes/california/san-francisco-bay-area/antioch/aviano/luna/residence-3/2852510165
Move-in ready,"$988,140",3.0,2.0,1706.0,"5515 Dublin Blvd., Dublin, CA",Residence 7 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/skyline/residence-7/65922511602
Move-in ready,"$985,675",3.0,2.0,1706.0,"5513 Dublin Blvd., Dublin, CA",Residence 8 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/skyline/residence-8/65922511601
Move-in ready,"$999,965",3.0,3.0,1563.0,"5509 Dublin Blvd., Dublin, CA",Residence 1 in Boulevard,https://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/skyline/residence-1/65922511604
Move-in ready,"$1,328,448",3.0,3.5,1796.0,"3871 Vanguard Cmn 1002, Fremont, CA",Residence 4B in Innovation,https://www.lennar.com/new-homes/california/san-francisco-bay-area/fremont/innovation/aspect/residence-4b/2850510052
Move-in ready,"$644,899",3.0,2.5,1578.0,"2134 Daimler Street, Lathrop, CA",Residence 1 in River Islands,https://www.lennar.com/new-homes/california/san-francisco-bay-area/lathrop/river-islands/horizon/residence-1/2842510242
Move-in ready,"$794,147",4.0,3.0,2300.0,"5838 Lenin Priego St., Tracy, CA",Residence 3 in Tracy Hills,https://www.lennar.com/new-homes/california/san-francisco-bay-area/tracy/tracy-hills/amethyst/residence-3/2855510043
