Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$367,870",5.0,2.5,2183.0,"713 GELDERLAND Drive, Hampton, GA",Boston in Heritage Point,https://www.lennar.com/new-homes/georgia/atlanta/hampton/heritage-point/boston/26147600062
Move-in ready,"$478,255",2.0,2.0,2117.0,"1106 Durham Road, Canton, GA",Fairfield in Hickory Bluffs,https://www.lennar.com/new-homes/georgia/atlanta/canton/hickory-bluffs/fairfield/7690600086
Move-in ready,"$479,430",2.0,2.0,1983.0,"1207 Tahoe Place, Canton, GA",Crestwood in Hickory Bluffs,https://www.lennar.com/new-homes/georgia/atlanta/canton/hickory-bluffs/crestwood/7690600111
Move-in ready,"$397,750",2.0,2.0,1817.0,"395 Plainfield Street, Fayetteville, GA",Briarwood in Fayette Meadows,https://www.lennar.com/new-homes/georgia/atlanta/fayetteville/fayette-meadows/briarwood/26117600085
Move-in ready,"$433,100",2.0,2.0,1817.0,"1209 Tahoe Place, Canton, GA",Briarwood in Hickory Bluffs,https://www.lennar.com/new-homes/georgia/atlanta/canton/hickory-bluffs/briarwood/7690600110
Move-in ready,"$483,805",3.0,2.0,1683.0,"936 Summit Drive, Canton, GA",Camden in Hickory Bluffs,https://www.lennar.com/new-homes/georgia/atlanta/canton/hickory-bluffs/camden/7690600187
Move-in ready,"$417,215",3.0,2.5,2179.0,"887 Edwin Lane, Sugar Hill, GA",LAREDO in Carlton North,https://www.lennar.com/new-homes/georgia/atlanta/sugar-hill/carlton-north/30s/laredo/26164600059
Move-in ready,"$434,580",3.0,3.5,1953.0,"1619 Avery Way, Tucker, GA",MANCHESTER in Trinity Park,https://www.lennar.com/new-homes/georgia/atlanta/tucker/trinity-park/townhome-collection/manchester/26169600037
Move-in ready,"$452,895",3.0,2.5,1933.0,"3240 Herald Drive, Scottdale, GA",Harrington in Envoy,https://www.lennar.com/new-homes/georgia/atlanta/scottdale/envoy/26-front-entry/harrington/26119600086
Move-in ready,"$416,200",2.0,2.0,1983.0,"405 Plainfield Street, Fayetteville, GA",Crestwood in Fayette Meadows,https://www.lennar.com/new-homes/georgia/atlanta/fayetteville/fayette-meadows/crestwood/26117600086
Move-in ready,"$454,895",3.0,2.5,1933.0,"3453 Park Pointe Circle, Scottdale, GA",Harrington in Envoy,https://www.lennar.com/new-homes/georgia/atlanta/scottdale/envoy/26-front-entry/harrington/26119600081
Move-in ready,"$419,555",3.0,3.5,2081.0,"751 Cordele Lane, Sugar Hill, GA",PRESTON in Carlton North,https://www.lennar.com/new-homes/georgia/atlanta/sugar-hill/carlton-north/20s/preston/26149600079
Move-in ready,"$454,845",3.0,2.5,1933.0,"3347 Park Pointe Circle, Scottdale, GA",Harrington in Envoy,https://www.lennar.com/new-homes/georgia/atlanta/scottdale/envoy/26-front-entry/harrington/26119600042
