Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$624,990",4.0,2.5,2397.0,"3614 Carswell Place, Jefferson, MD",Portfield in Woodbourne Manor,https://www.lennar.com/new-homes/maryland/md-dc-metro/jefferson/woodbourne-manor/portfield/23157650191
Move-in ready,"$414,990",3.0,2.5,2078.0,"1431 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650156
Move-in ready,"$394,990",3.0,2.5,2078.0,"1435 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650158
Move-in ready,"$389,990",3.0,2.5,2078.0,"1437 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650159
Move-in ready,"$414,990",3.0,2.5,2078.0,"1439 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650160
Move-in ready,"$419,990",3.0,2.5,2078.0,"1441 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650161
Move-in ready,"$389,990",3.0,2.5,2078.0,"1445 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650163
Move-in ready,"$399,990",3.0,2.5,2078.0,"1447 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650164
Move-in ready,"$389,990",3.0,2.5,2078.0,"1449 Clingmans Dome Drive, Frederick, MD",Arcadia Front Load Garage in Sycamore Ridge,https://www.lennar.com/new-homes/maryland/md-dc-metro/frederick/sycamore-ridge/townhome-collection/arcadia-front-load-garage/23168650165
Move-in ready,"$620,990",3.0,3.5,1743.0,"8158 Tompkins Street, Rockville, MD",Carnegie in Westside at Shady Grove Metro,https://www.lennar.com/new-homes/maryland/md-dc-metro/rockville/westside-at-shady-grove-metro/the-carnegie/carnegie/2295665c017
Move-in ready,"$903,015",3.0,3.5,2985.0,"8229 Front Loop, Rockville, MD",Emerson in Westside at Shady Grove Metro,https://www.lennar.com/new-homes/maryland/md-dc-metro/rockville/westside-at-shady-grove-metro/the-emerson/emerson/2295765t021
Move-in ready,"$800,545",3.0,3.5,2985.0,"8249 Front Loop, Rockville, MD",Emerson in Westside at Shady Grove Metro,https://www.lennar.com/new-homes/maryland/md-dc-metro/rockville/westside-at-shady-grove-metro/the-emerson/emerson/2295765t007
Move-in ready,"$679,990",4.0,3.5,2676.0,"3608 Buckley Dr., Jefferson, MD",Powell in Woodbourne Manor,https://www.lennar.com/new-homes/maryland/md-dc-metro/jefferson/woodbourne-manor/powell/23157650137
Move-in ready,"$789,990",4.0,3.5,2679.0,"147 Dickenson Dr, Gaithersburg, MD",Hopkins in Crown East,https://www.lennar.com/new-homes/maryland/md-dc-metro/gaithersburg/crown-east/hopkins/2295565dd16
