Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$374,990",4.0,3.5,2179.0,"6417 Mentor Place, Raleigh, NC",Bradley in 5401 North,https://www.lennar.com/new-homes/north-carolina/raleigh/raleigh/5401-north/frazier-collection/bradley/19231603214
Move-in ready,"$524,900",5.0,3.0,2909.0,"4504 Olde Waverly Way, Fuquay Varina, NC",Norwood in Geneva,https://www.lennar.com/new-homes/north-carolina/raleigh/fuquay-varina/geneva/sterling-collection/norwood/66268710198
Move-in ready,"$409,990",4.0,3.5,2186.0,"102 Asher Court, Durham, NC",Colton in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/frazier-collection/colton/19257600041
Move-in ready,"$499,900",5.0,3.0,2619.0,"165 Hazy Hills Lane, Garner, NC",Landrum III in Ridgemoor,https://www.lennar.com/new-homes/north-carolina/raleigh/garner/ridgemoor/summit-collection/landrum-iii/19215600010
Move-in ready,"$356,465",3.0,2.5,1780.0,"569 Hazy Hills Lane, Garner, NC",Carson II in Ridgemoor,https://www.lennar.com/new-homes/north-carolina/raleigh/garner/ridgemoor/designer-collection/carson-ii/19213600305
Move-in ready,"$344,613",3.0,3.5,1804.0,"5201 Invention Way, Raleigh, NC",Manteo II in 5401 North,https://www.lennar.com/new-homes/north-carolina/raleigh/raleigh/5401-north/capitol-collection/manteo-ii/19218603243
Move-in ready,"$418,990",2.0,2.5,1777.0,"1201 White Flint Circle, Durham, NC",McKenzie in Fendol Farms,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/fendol-farms/villas-collection/mckenzie/19204600237
Move-in ready,"$536,630",4.0,3.0,2708.0,"1179 Pate Farm Lane, Durham, NC",Winstead III in Ellis Walk,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/ellis-walk/sterling-collection/winstead-iii/19256600193
Move-in ready,"$530,212",5.0,3.0,2619.0,"210 Trailing Bluff Way, Garner, NC",Landrum III in Ridgemoor,https://www.lennar.com/new-homes/north-carolina/raleigh/garner/ridgemoor/summit-collection/landrum-iii/19215600054
Move-in ready,"$499,900",5.0,3.0,2638.0,"428 Acerno Dr, Fuquay Varina, NC",Landrum III in Meadowbrook,https://www.lennar.com/new-homes/north-carolina/raleigh/fuquay-varina/meadowbrook/summit-collection/landrum-iii/19223600359
Move-in ready,"$402,535",4.0,3.5,2191.0,"6411 Mentor Place, Raleigh, NC",Bradley in 5401 North,https://www.lennar.com/new-homes/north-carolina/raleigh/raleigh/5401-north/frazier-collection/bradley/19231603217
Move-in ready,"$423,745",4.0,3.5,2410.0,"1006 Belloak Way, Durham, NC",Bailey in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/fulton-collection/bailey/19258600053
Move-in ready,"$450,500",4.0,3.5,2406.0,"1008 Belloak Way, Durham, NC",Caroline in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/fulton-collection/caroline/19258600052
Move-in ready,"$437,295",2.0,2.5,1777.0,"1219 White Flint Circle, Durham, NC",McKenzie in Fendol Farms,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/fendol-farms/villas-collection/mckenzie/19204600245
Move-in ready,"$424,900",3.0,2.5,1924.0,"1132 MATTERHORN DR, Fuquay Varina, NC",Chadwick in Geneva,https://www.lennar.com/new-homes/north-carolina/raleigh/fuquay-varina/geneva/hanover-collection/chadwick/66266710281
Move-in ready,"$524,495",4.0,3.0,2636.0,"4508 Olde Waverly Way, Fuquay Varina, NC",Somerset III in Geneva,https://www.lennar.com/new-homes/north-carolina/raleigh/fuquay-varina/geneva/sterling-collection/somerset-iii/66268710197
Move-in ready,"$572,590",4.0,3.5,2179.0,"1330 Rosepine Drive, Cary, NC",Bradley in James Grove,https://www.lennar.com/new-homes/north-carolina/raleigh/cary/james-grove/frazier-collection/bradley/19210600091
Move-in ready,"$624,035",5.0,4.0,3377.0,"1341 Martin Creek Dr, Wake Forest, NC",Edison II w/ 3rd Floor in Tryon,https://www.lennar.com/new-homes/north-carolina/raleigh/wake-forest/tryon/classic-collection/edison-ii-w-3rd-floor/19243600246
Move-in ready,"$428,745",2.0,2.5,1777.0,"1107 White Flint Circle, Durham, NC",McKenzie in Fendol Farms,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/fendol-farms/villas-collection/mckenzie/19204600235
Move-in ready,"$434,125",4.0,3.5,2198.0,"110 Asher Court, Durham, NC",Colton in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/frazier-collection/colton/19257600045
Move-in ready,"$429,005",4.0,3.5,2191.0,"100 Asher Court, Durham, NC",Bradley in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/frazier-collection/bradley/19257600040
Move-in ready,"$446,050",3.0,3.0,1918.0,"1253 White Flint Circle, Durham, NC",Nicholas in Fendol Farms,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/fendol-farms/villas-collection/nicholas/19204600257
Move-in ready,"$388,535",4.0,3.5,2186.0,"6413 Mentor Place, Raleigh, NC",Colton in 5401 North,https://www.lennar.com/new-homes/north-carolina/raleigh/raleigh/5401-north/frazier-collection/colton/19231603216
Move-in ready,"$423,000",4.0,3.5,2186.0,"1005 Belloak Way, Durham, NC",Colton in Corners at Brier Creek,https://www.lennar.com/new-homes/north-carolina/raleigh/durham/corners-at-brier-creek/frazier-collection/colton/19257600047
Move-in ready,"$389,535",4.0,3.5,2186.0,"6423 Mentor Place, Raleigh, NC",Colton in 5401 North,https://www.lennar.com/new-homes/north-carolina/raleigh/raleigh/5401-north/frazier-collection/colton/19231603211
