Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$331,567",4.0,3.5,2889.0,"138 Magnolia Street, Reidville, SC",Independence in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/independence/30409650037
Move-in ready,"$342,819",4.0,3.5,2889.0,"174 Magnolia Street, Reidville, SC",Independence in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/independence/30409650030
Move-in ready,"$326,499",4.0,2.5,2694.0,"369 Pine Street, Reidville, SC",Heirloom in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/heirloom/30409650016
Move-in ready,"$312,999",4.0,2.5,2107.0,"632 Morning Meadows Drive, Inman, SC",Westover in Newcut Meadows,https://www.lennar.com/new-homes/south-carolina/greenville/inman/newcut-meadows/westover/30422650027
Move-in ready,"$318,499",4.0,2.5,2694.0,"178 Magnolia Street, Reidville, SC",Heirloom in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/heirloom/30409650029
Move-in ready,"$287,579",3.0,2.5,2057.0,"633 Morning Meadows Drive, Inman, SC",Bradley in Newcut Meadows,https://www.lennar.com/new-homes/south-carolina/greenville/inman/newcut-meadows/bradley/30422650015
Move-in ready,"$315,499",5.0,3.0,2577.0,"212 Anna Gray Circle, Easley, SC",Frost in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/frost/30408650165
Move-in ready,"$312,999",4.0,2.5,2118.0,"640 Morning Meadows Drive, Inman, SC",Westover in Newcut Meadows,https://www.lennar.com/new-homes/south-carolina/greenville/inman/newcut-meadows/westover/30422650025
Move-in ready,"$338,609",4.0,3.5,2889.0,"413 Pine Street, Reidville, SC",Independence in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/independence/30409650027
Move-in ready,"$327,499",4.0,2.5,2694.0,"401 Pine Street, Reidville, SC",Heirloom in Magnolia Place,https://www.lennar.com/new-homes/south-carolina/greenville/reidville/magnolia-place/heirloom/30409650024
Under construction,"$325,479",4.0,2.5,2201.0,"508 Brasstown Court, Pendleton, SC",Sweetbay in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/walk/sweetbay/30418650301
Under construction,"$240,179",3.0,2.5,1634.0,"438 Bee Cove Way, Pendleton, SC",Abbey in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/glen/abbey/30417650483
Under construction,"$293,499",5.0,2.5,2306.0,"1286 Kilead Court, Boiling Springs, SC",Emerson in Standing Rock,https://www.lennar.com/new-homes/south-carolina/greenville/boiling-springs/standing-rock/emerson/30416650036
Under construction,"$313,749",4.0,2.5,1955.0,"249 Anna Gray Circle, Easley, SC",Crane in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/crane/30408650115
Under construction,"$344,979",5.0,3.0,2577.0,"246 Anna Gray Circle, Easley, SC",Frost in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/frost/30408650158
Under construction,"$339,979",5.0,3.0,2577.0,"208 Anna Gray Circle, Easley, SC",Frost in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/frost/30408650166
Under construction,"$294,249",4.0,2.5,1955.0,"1290 Kilead Court, Boiling Springs, SC",Crane in Standing Rock,https://www.lennar.com/new-homes/south-carolina/greenville/boiling-springs/standing-rock/crane/30416650038
Under construction,"$309,299",5.0,2.5,2213.0,"1295 Kilead Court, Boiling Springs, SC",Dickenson in Standing Rock,https://www.lennar.com/new-homes/south-carolina/greenville/boiling-springs/standing-rock/dickenson/30416650017
Under construction,"$334,739",5.0,2.5,2306.0,"241 Anna Gray Circle, Easley, SC",Emerson in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/emerson/30408650113
Under construction,"$317,749",4.0,2.5,1955.0,"232 Anna Gray Circle, Easley, SC",Crane in NorthView,https://www.lennar.com/new-homes/south-carolina/greenville/easley/northview/crane/30408650160
Under construction,"$320,979",5.0,3.0,2577.0,"1297 Kilead Court, Boiling Springs, SC",Frost in Standing Rock,https://www.lennar.com/new-homes/south-carolina/greenville/boiling-springs/standing-rock/frost/30416650018
Under construction,"$243,479",3.0,2.5,1729.0,"433 Bee Cove Way, Pendleton, SC",Carlton in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/glen/carlton/30417650415
Under construction,"$243,479",3.0,2.5,1729.0,"434 Bee Cove Way, Pendleton, SC",Carlton in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/glen/carlton/30417650485
Under construction,"$243,479",3.0,2.5,1729.0,"440 Bee Cove Way, Pendleton, SC",Carlton in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/glen/carlton/30417650482
Under construction,"$238,179",3.0,2.5,1634.0,"436 Bee Cove Way, Pendleton, SC",Abbey in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/glen/abbey/30417650484
Under construction,"$293,249",4.0,2.5,1955.0,"1298 Kilead Court, Boiling Springs, SC",Crane in Standing Rock,https://www.lennar.com/new-homes/south-carolina/greenville/boiling-springs/standing-rock/crane/30416650090
Under construction,"$336,699",4.0,2.5,2201.0,"509 Brasstown Court, Pendleton, SC",Sweetbay in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/walk/sweetbay/30418650329
Under construction,"$324,239",2.0,2.0,1592.0,"504 Brasstown Court, Pendleton, SC",Bedford in Falls At Meehan,https://www.lennar.com/new-homes/south-carolina/greenville/pendleton/falls-at-meehan/walk/bedford/30418650303
Under construction,"$289,159",3.0,2.5,1882.0,"321 Novelty Drive, Greer, SC",Morgan in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/morgan/30425650364
Under construction,"$305,799",3.0,2.5,2000.0,"319 Novelty Drive, Greer, SC",Jordan in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/jordan/30425650363
Under construction,"$308,379",3.0,2.5,2075.0,"323 Novelty Drive, Greer, SC",Chadwick in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/chadwick/30425650365
Under construction,"$287,159",3.0,2.5,1882.0,"317 Novelty Drive, Greer, SC",Morgan in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/morgan/30425650362
Under construction,"$330,679",3.0,2.5,2395.0,"315 Novelty Drive, Greer, SC",Thatcher in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/thatcher/30425650361
Under construction,"$289,159",3.0,2.5,1882.0,"311 Novelty Drive, Greer, SC",Morgan in O'Neal Village,https://www.lennar.com/new-homes/south-carolina/greenville/greer/oneal-village/morgan/30425650359
