Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$354,990",3.0,2.5,1691.0,"329 Lydia Drive, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510052
Move-in ready,"$424,990",2.0,2.0,2000.0,"480 Golden Meadow Lane, Hendersonville, TN",Hadley in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/estate-villas-collection/hadley/22340511366
Move-in ready,"$319,990",3.0,2.5,1729.0,"719 Mickelson Way, Lebanon, TN",Yosemite in Vineyard Grove,https://www.lennar.com/new-homes/tennessee/nashville/lebanon/vineyard-grove/cottage-collection/yosemite/22324512056
Move-in ready,"$388,990",4.0,3.0,1775.0,"4617 Sardius Drive, Murfreesboro, TN",Bishop in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/bishop/22345510058
Move-in ready,"$633,490",4.0,3.5,2508.0,"1019 Pebble Run Road, Hendersonville, TN",Warner in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/warner/22327521020
Move-in ready,"$331,990",3.0,2.5,1846.0,"9 Torrey Pines Lane, Lebanon, TN",Rainier in Vineyard Grove,https://www.lennar.com/new-homes/tennessee/nashville/lebanon/vineyard-grove/cottage-collection/rainier/22324513079
Under construction,"$409,990",2.0,2.0,2046.0,"411 Gingerwood Lane, Hendersonville, TN",Bennett in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/estate-villas-collection/bennett/22340511372
Under construction,"$418,990",2.0,2.0,2046.0,"403 Gingerwood Lane, Hendersonville, TN",Bennett in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/estate-villas-collection/bennett/22340511374
Under construction,"$509,990",4.0,2.5,2575.0,"628 Giacomo Court, Gallatin, TN",Rosemary in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/rosemary/22307540645
Under construction,"$399,990",2.0,2.0,2000.0,"415 Gingerwood Lane, Hendersonville, TN",Hadley in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/estate-villas-collection/hadley/22340511371
Under construction,"$493,990",4.0,2.5,2155.0,"638 Giacomo Court, Gallatin, TN",Primrose in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/primrose/22307540642
Under construction,"$404,990",4.0,2.5,2001.0,"531 Ballard Drive, White House, TN",Hamilton in Willow Grove,https://www.lennar.com/new-homes/tennessee/nashville/white-house/willow-grove/hamilton/22337510005
Under construction,"$394,990",3.0,2.0,1800.0,"535 Ballard Drive, White House, TN",Ashbury in Willow Grove,https://www.lennar.com/new-homes/tennessee/nashville/white-house/willow-grove/ashbury/22337510006
Under construction,"$434,990",4.0,2.5,2172.0,"536 Ballard Drive, White House, TN",Primrose in Willow Grove,https://www.lennar.com/new-homes/tennessee/nashville/white-house/willow-grove/primrose/22337510068
Under construction,"$444,990",4.0,3.0,2488.0,"539 Ballard Drive, White House, TN",Mayflower in Willow Grove,https://www.lennar.com/new-homes/tennessee/nashville/white-house/willow-grove/mayflower/22337510007
Under construction,"$364,990",3.0,2.5,1691.0,"4522 Sardius Drive, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510082
Under construction,"$354,990",3.0,2.5,1691.0,"4518 Sardius Drive, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510080
Under construction,"$524,990",5.0,3.5,2769.0,"336 Gulfstream Drive, Gallatin, TN",Kingston in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/kingston/22307540610
Under construction,"$380,990",3.0,2.5,1691.0,"4612 Sardius Drive, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510086
Under construction,"$375,990",3.0,2.5,1691.0,"4608 Sardius Drive, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510084
Under construction,"$619,990",4.0,3.5,2508.0,"1001 Pebble Run Road, Hendersonville, TN",Warner in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/warner/22327521014
Under construction,"$649,990",4.0,3.5,2999.0,"1003 Pebble Run Road, Hendersonville, TN",Hayden in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/hayden/22327521015
Under construction,"$688,490",4.0,3.5,2972.0,"2003 Hollyhock Drive, Hendersonville, TN",Hayden in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/hayden/22327521026
Under construction,"$347,990",3.0,2.5,1691.0,"4510 Ropha Court, Murfreesboro, TN",Stockton in Victory Station,https://www.lennar.com/new-homes/tennessee/nashville/murfreesboro/victory-station/stockton/22345510022
Under construction,"$499,990",4.0,2.5,2015.0,"1022 Ewell Farm Circle, Spring Hill, TN",Hamilton in Harvest Point,https://www.lennar.com/new-homes/tennessee/nashville/spring-hill/harvest-point/classic-parks-collection/hamilton/22321521063
Under construction,"$488,890",4.0,2.5,2015.0,"630 Giacomo Court, Gallatin, TN",Hamilton in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/hamilton/22307540644
Under construction,"$449,890",3.0,2.0,1800.0,"642 Giacomo Court, Gallatin, TN",Ashbury in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/ashbury/22307540641
Under construction,"$525,890",4.0,3.0,2488.0,"624 Giacomo Court, Gallatin, TN",Mayflower in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/mayflower/22307540646
Under construction,"$644,990",4.0,3.0,2872.0,"2005 Hollyhock Drive, Hendersonville, TN",Percy in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/percy/22327521027
Under construction,"$569,990",4.0,3.5,2508.0,"1108 Pebble Run Road, Hendersonville, TN",Warner in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection/warner/22326520992
Under construction,"$594,990",4.0,3.0,2872.0,"1112 Pebble Run Road, Hendersonville, TN",Percy in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection/percy/22326520993
Under construction,"$559,990",3.0,3.0,2308.0,"1113 Pebble Run Road, Hendersonville, TN",Cumberland in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection/cumberland/22326520958
Under construction,"$539,490",4.0,2.5,2001.0,"1025 Ewell Farm Circle, Spring Hill, TN",Hamilton in Harvest Point,https://www.lennar.com/new-homes/tennessee/nashville/spring-hill/harvest-point/classic-parks-collection/hamilton/22321521032
Under construction,"$679,990",4.0,3.0,2872.0,"2006 Hollyhock Drive, Hendersonville, TN",Percy in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection-ii/percy/22327521043
Under construction,"$483,890",4.0,2.5,2001.0,"620 Giacomo Court, Gallatin, TN",Hamilton in Carellton,https://www.lennar.com/new-homes/tennessee/nashville/gallatin/carellton/hamilton/22307540647
Under construction,"$487,390",4.0,2.5,2589.0,"527 Ballard Drive, White House, TN",Rosemary in Willow Grove,https://www.lennar.com/new-homes/tennessee/nashville/white-house/willow-grove/rosemary/22337510004
Under construction,"$599,990",4.0,3.5,2508.0,"1117 Pebble Run Road, Hendersonville, TN",Warner in Durham Farms,https://www.lennar.com/new-homes/tennessee/nashville/hendersonville/durham-farms/classic-parks-collection/warner/22326520957
Under construction,"$525,990",3.0,2.0,1800.0,"1029 Ewell Farm Circle, Spring Hill, TN",Ashbury in Harvest Point,https://www.lennar.com/new-homes/tennessee/nashville/spring-hill/harvest-point/classic-parks-collection/ashbury/22321521030
Under construction,"$369,990",3.0,2.5,1729.0,"620 Birdie Drive, Spring Hill, TN",Yosemite in Sawgrass,https://www.lennar.com/new-homes/tennessee/nashville/spring-hill/sawgrass/cottage-collection/yosemite/22332512170
Under construction,"$374,990",3.0,2.5,1846.0,"618 Birdie Drive, Spring Hill, TN",Rainier in Sawgrass,https://www.lennar.com/new-homes/tennessee/nashville/spring-hill/sawgrass/cottage-collection/rainier/22332512171
