Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$468,590",3.0,3.0,2126.0,"6356 Yarmouth Run, Williamsburg, VA",Liberty Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/williamsburg-collection--active-adult/liberty-slab/22975656251
Future release,From $477K,3.0,2.0,1837.0,N/A,James Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/james-slab
Future release,From $482K,3.0,2.0,1876.0,N/A,Duke Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/duke-slab
Future release,Temporarily Sold Out,3.0,2.0,1876.0,N/A,Duke II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/duke-ii-basement
Future release,From $507K,3.0,2.0,2199.0,N/A,Discovery Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/discovery-slab
Future release,Temporarily Sold Out,3.0,2.0,1837.0,N/A,James II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/james-ii-basement
Future release,Temporarily Sold Out,3.0,2.0,2199.0,N/A,Discovery II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/discovery-ii-basement
Future release,From the $400s,2.0,2.0,1366.0,N/A,Commonwealth Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/williamsburg-collection--active-adult/commonwealth-slab
Future release,From $520K,3.0,2.0,2218.0,N/A,York Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/york-slab
Future release,From $525K,2.0,2.0,2165.0,N/A,Chesapeake Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/chesapeake-slab
Future release,From $550K,3.0,2.0,2418.0,N/A,Gloucester Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/gloucester-slab
Future release,From $560K,3.0,2.0,2218.0,N/A,York II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/york-ii-basement
Future release,From $565K,2.0,2.0,2165.0,N/A,Chesapeake II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/chesapeake-ii-basement
Future release,From $590K,3.0,2.0,2418.0,N/A,Gloucester II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/gloucester-ii-basement
Future release,From $399K,3.0,2.0,2248.0,N/A,Jefferson - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/villa-collection--active-adult/jefferson-slab
Future release,From $399K,3.0,2.0,2159.0,N/A,Lafayette - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/villa-collection--active-adult/lafayette-slab
