Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$569,950",4.0,2.5,2704.0,"4359 Acacia Ln SE, Port Orchard, WA",Stevenson in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/stevenson/65133510007
Move-in ready,"$529,950",4.0,2.5,2311.0,"1380 Baker Heights Loop, Bremerton, WA",Hickory in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/hickory/65101510019
Move-in ready,"$699,950",4.0,2.5,2311.0,"965 122ND AVE SE, Lake Stevens, WA",Hickory in Mountain Crest,https://www.lennar.com/new-homes/washington/seattle/lake-stevens/mountain-crest/hickory/65107510064
Move-in ready,"$844,950",5.0,3.0,3081.0,"12211 9th PL SE, Lake Stevens, WA",Meridian in Mountain Crest,https://www.lennar.com/new-homes/washington/seattle/lake-stevens/mountain-crest/meridian/65107510003
Move-in ready,"$624,950",5.0,3.0,3081.0,"4371 Acacia Ln SE, Port Orchard, WA",Meridian in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/meridian/65133510005
Move-in ready,"$589,950",4.0,2.5,2311.0,"14962 Olympic Loop E, Bonney Lake, WA",Hickory in Tehaleh,https://www.lennar.com/new-homes/washington/seattle/bonney-lake/tehaleh/tyee-ridge/hickory/65136510118
Move-in ready,"$569,950",4.0,2.5,2704.0,"4323 Acacia Ln SE, Port Orchard, WA",Stevenson in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/stevenson/65133510013
Move-in ready,"$624,950",5.0,3.0,3081.0,"4365 Acacia Ln SE, Port Orchard, WA",Meridian in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/meridian/65133510006
Move-in ready,"$544,950",4.0,2.5,2501.0,"959 Baker Heights Loop, Bremerton, WA",Magnolia in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/magnolia/65101510178
Move-in ready,"$649,950",5.0,3.0,2825.0,"15007 Olympic Loop E, Bonney Lake, WA",Sequoia in Tehaleh,https://www.lennar.com/new-homes/washington/seattle/bonney-lake/tehaleh/tyee-ridge/sequoia/65136510064
Move-in ready,"$399,950",2.0,2.5,1536.0,"17541 110th Ave E Unit G, Puyallup, WA",Amelia in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/emerald-pointe-townhomes/amelia/68702510492
Move-in ready,"$509,950",4.0,2.5,2165.0,"974 Thrush Ct SE, Port Orchard, WA",Birch in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/birch/65133510021
Move-in ready,"$659,950",5.0,3.0,2825.0,"15015 Olympic Loop E, Bonney Lake, WA",Sequoia in Tehaleh,https://www.lennar.com/new-homes/washington/seattle/bonney-lake/tehaleh/tyee-ridge/sequoia/65136510066
Move-in ready,"$499,950",3.0,2.0,1669.0,"1348 Baker Heights Loop, Bremerton, WA",Hamilton in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/hamilton/65101510012
Move-in ready,"$929,950",5.0,4.5,4090.0,"32820 SE Stevens St, Black Diamond, WA",Roslyn in Ten Trails,https://www.lennar.com/new-homes/washington/seattle/black-diamond/ten-trails/northeast-village/roslyn/65117510037
Move-in ready,"$614,950",4.0,2.5,2501.0,"1339 Baker Heights Loop, Bremerton, WA",Magnolia in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/magnolia/65101510093
Move-in ready,"$574,950",4.0,2.5,2501.0,"17342 129th Ave E, Puyallup, WA",Magnolia in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/magnolia/65105510021
Move-in ready,"$619,950",4.0,2.5,2501.0,"17540 Crossing Dr E, Puyallup, WA",Magnolia in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/magnolia/65105510040
Move-in ready,"$714,950",5.0,3.0,3081.0,"1327 Baker Heights Loop, Bremerton, WA",Meridian in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/meridian/65101510096
Move-in ready,"$639,950",5.0,3.0,3081.0,"1219 Baker Heights Loop, Bremerton, WA",Meridian in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/meridian/65101510106
Move-in ready,"$619,950",4.0,2.5,2501.0,"17622 Crossing Dr E, Puyallup, WA",Magnolia in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/magnolia/65105510046
Move-in ready,"$599,950",4.0,2.5,2704.0,"934 Cascade Place, Sultan, WA",Stevenson in Wyndham Highlands,https://www.lennar.com/new-homes/washington/seattle/sultan/wyndham-highlands/manor-series/stevenson/65121510221
Move-in ready,"$579,950",4.0,2.5,2502.0,"19909 137th Ave E, Graham, WA",Magnolia 3-Car in Daybreak,https://www.lennar.com/new-homes/washington/seattle/graham/daybreak/manor-collection/magnolia-3-car/65110510005
Move-in ready,"$739,950",5.0,3.5,3060.0,"4030 80th Ave NE, Marysville, WA",Ballinger in Autumn Vista,https://www.lennar.com/new-homes/washington/seattle/marysville/autumn-vista/ballinger/65092510233
Move-in ready,"$539,950",5.0,3.0,2487.0,"4244 Nettle Dr SE, Port Orchard, WA",Hemlock in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/hemlock/65133510032
Move-in ready,"$611,950",3.0,2.5,2241.0,"17432 129th Ave E, Puyallup, WA",Benton in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/benton/65105510066
Move-in ready,"$514,950",3.0,2.0,1669.0,"1304 Baker Heights Loop, Bremerton, WA",Hamilton in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/hamilton/65101510001
Move-in ready,"$799,950",4.0,3.5,3184.0,"13127 176th St Ct E, Puyallup, WA",Bainbridge 4-Car in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/bainbridge-4-car/65105510088
Move-in ready,"$544,950",4.0,3.5,2258.0,"901 Bunting Pl SE, Port Orchard, WA",Sakura in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/sakura/65133510093
Move-in ready,"$899,950",5.0,3.5,3343.0,"918 121ST AVE SE, Lake Stevens, WA",Columbia in Mountain Crest,https://www.lennar.com/new-homes/washington/seattle/lake-stevens/mountain-crest/columbia/65107510048
Move-in ready,"$524,950",4.0,2.5,2165.0,"4292 Nettle Dr SE, Port Orchard, WA",Birch in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/birch/65133510040
Move-in ready,"$559,950",4.0,3.5,2258.0,"4280 Nettle Dr SE, Port Orchard, WA",Sakura in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/sakura/65133510038
Move-in ready,"$564,950",5.0,3.0,2487.0,"4356 Nettle Dr SE, Port Orchard, WA",Hemlock in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/hemlock/65133510048
Move-in ready,"$559,950",4.0,2.5,2704.0,"1223 Baker Heights Loop, Bremerton, WA",Stevenson in Soundview Estates,https://www.lennar.com/new-homes/washington/seattle/bremerton/soundview-estates/stevenson/65101510105
Move-in ready,"$649,950",3.0,2.5,2241.0,"13126 176th St Ct E, Puyallup, WA",Benton in Sunrise,https://www.lennar.com/new-homes/washington/seattle/puyallup/sunrise/the-crossings/benton/65105510089
Move-in ready,"$549,950",4.0,2.5,2312.0,"19904 137th Ave E, Graham, WA",Hickory 3-Car in Daybreak,https://www.lennar.com/new-homes/washington/seattle/graham/daybreak/manor-collection/hickory-3-car/65110510034
Move-in ready,"$674,950",3.0,2.5,1836.0,"963 122ND AVE SE, Lake Stevens, WA",Camelia in Mountain Crest,https://www.lennar.com/new-homes/washington/seattle/lake-stevens/mountain-crest/camelia/65107510063
Under construction,"$719,950",6.0,4.0,3345.0,"950 Thrush Ct SE, Port Orchard, WA",Shasta in Magnolia Ridge,https://www.lennar.com/new-homes/washington/seattle/port-orchard/magnolia-ridge/shasta/65133510030
Under construction,"$769,950",5.0,3.0,2487.0,"905 122ND AVE SE, Lake Stevens, WA",Hemlock in Mountain Crest,https://www.lennar.com/new-homes/washington/seattle/lake-stevens/mountain-crest/hemlock/65107510090
Under construction,"$734,950",5.0,3.5,3060.0,"3870 79th Dr NE, Marysville, WA",Ballinger in Autumn Vista,https://www.lennar.com/new-homes/washington/seattle/marysville/autumn-vista/ballinger/65092510245
Under construction,"$1,299,950",4.0,2.5,2704.0,"4131 235th PL SE, Bothell, WA",Stevenson in Montevallo,https://www.lennar.com/new-homes/washington/seattle/bothell/montevallo/stevenson/65102510040
Under construction,"$1,399,950",4.0,3.0,3017.0,"4135 235th PL SE, Bothell, WA",Carnation in Montevallo,https://www.lennar.com/new-homes/washington/seattle/bothell/montevallo/carnation/65102510041
