Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$384,990",4.0,3.0,2657.0,"25320 Thistle Chase Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$396,685",4.0,3.0,2657.0,"25278 Thistle Chase Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$369,990",4.0,3.0,2267.0,"16443 Apricot Drive, Loxley, AL",Tivoli in Lakeland,https://www.lennar.comclass=
Move-in ready,"$384,000",4.0,3.0,2657.0,"25244 Thistle Chase Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$385,000",4.0,3.0,2657.0,"25201 Thistle Chase Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$382,500",4.0,3.0,2657.0,"16478 Apricot Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$383,500",4.0,3.0,2657.0,"25210 Thistle Chase Drive, Loxley, AL",Medallion in Lakeland,https://www.lennar.comclass=
Move-in ready,"$374,180",4.0,3.0,2267.0,"25256 Thistle Chase Drive, Loxley, AL",Tivoli in Lakeland,https://www.lennar.comclass=
Move-in ready,"$367,000",4.0,3.0,2267.0,"25232 Thistle Chase Drive, Loxley, AL",Tivoli in Lakeland,https://www.lennar.comclass=
Move-in ready,"$369,990",4.0,3.0,2267.0,"25186 Thistle Chase Drive, Loxley, AL",Tivoli in Lakeland,https://www.lennar.comclass=
Move-in ready,"$364,500",4.0,3.0,2267.0,"25189 Thistle Chase Drive, Loxley, AL",Tivoli in Lakeland,https://www.lennar.comclass=
Under construction,"$459,000",4.0,3.0,2657.0,"223 Bronze Street, Fairhope, AL",Medallion in Live Oak Estates,https://www.lennar.comclass=
Under construction,"$497,990",4.0,3.5,3004.0,"558 Golden Leaf Avenue, Fairhope, AL",Patriot in Live Oak Estates,https://www.lennar.comclass=
Under construction,"$508,490",4.0,4.0,3152.0,"570 Golden Leaf Avenue, Fairhope, AL",Medallion BONUS in Live Oak Estates,https://www.lennar.comclass=
Under construction,"$417,990",3.0,2.0,2268.0,"226 Bronze Street, Fairhope, AL",Princeton in Live Oak Estates,https://www.lennar.comclass=
Under construction,"$422,990",4.0,3.0,2267.0,"222 Bronze Street, Fairhope, AL",Tivoli in Live Oak Estates,https://www.lennar.comclass=
Under construction,"$508,990",4.0,4.0,3152.0,"520 Split Branch Avenue, Fairhope, AL",Medallion BONUS in Live Oak Estates,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1693.0,"TBD, Foley, AL",Carlisle in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1693.0,"TBD, Foley, AL",Carlisle in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1693.0,"TBD, Foley, AL",Carlisle in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1693.0,"TBD, Foley, AL",Carlisle in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1824.0,"TBD, Foley, AL",Inverness in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1824.0,"TBD, Foley, AL",Inverness in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1824.0,"TBD, Foley, AL",Inverness in Aberdeen,https://www.lennar.comclass=
Coming soon,Mid $200K,3.0,2.0,1660.0,"TBD, Loxley, AL",Residence 1660 in Cottages of Aventura,https://www.lennar.comclass=
Coming soon,High $200K,4.0,2.0,1815.0,"TBD, Loxley, AL",Residence 1815 in Cottages of Aventura,https://www.lennar.comclass=
Coming soon,Low $300K,3.0,2.0,1544.0,"TBD, Foley, AL",Elan in Greenbrier,https://www.lennar.comclass=
Coming soon,High $300K,3.0,2.0,1899.0,"TBD, Foley, AL",Hailey in Greenbrier,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.0,1703.0,"TBD, Foley, AL",Halle in Greenbrier,https://www.lennar.comclass=
Coming soon,Mid $300K,4.0,3.0,1943.0,"TBD, Foley, AL",Trevi in Greenbrier,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/loxley/cottages-of-aventura/residence-2440
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/loxley/lakeland/princeton
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-1815
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2033
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2117
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/loxley/cottages-of-aventura/residence-2033
Future release,,,,,,,https://www.lennar.com/new-homes/alabama/coastal-alabama/loxley/cottages-of-aventura/residence-2117
