Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$649,990",3.0,3.0,2231.0,"24968 N 176th AV, Surprise, AZ",Wayfarer Plan 5679 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$519,990",2.0,2.0,2113.0,"24610 N 174TH DR, Surprise, AZ",Summit Plan 1004 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$544,990",3.0,3.0,2187.0,"24598 N 174TH DR, Surprise, AZ",Crest Plan 1002 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$654,900",3.0,3.0,2231.0,"24916 N 176th DR, Surprise, AZ",Wayfarer Plan 5679 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$539,990",3.0,3.0,2187.0,"24682 N 174TH DR, Surprise, AZ",Crest Plan 1002 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$394,990",2.0,2.0,1459.0,"17132 W FALLEN LEAF LN, Surprise, AZ",Dusk Plan 3568 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$409,990",2.0,2.0,1425.0,"24785 N 171ST AVE, Surprise, AZ",Dawn Plan 3562 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$389,990",2.0,2.0,1459.0,"24809 N 171ST AVE, Surprise, AZ",Dusk Plan 3568 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$669,990",4.0,3.0,3024.0,"24484 N 169th DR, Surprise, AZ",Evolution Plan 5582 in Asante,https://www.lennar.comclass=
Move-in ready,"$589,990",3.0,3.0,2187.0,"24695 N 174TH DR, Surprise, AZ",Crest Plan 1002 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$514,990",2.0,2.0,1935.0,"24646 N 174TH DR, Surprise, AZ",Zenith Plan 1001 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$559,990",2.0,2.0,1935.0,"24683 N 174TH DR, Surprise, AZ",Zenith Plan 1001 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$414,990",2.0,2.0,1425.0,"17137 W ARTEMISA AV, Surprise, AZ",Dawn Plan 3562 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$654,990",3.0,3.0,2231.0,"25040 N 176th DR, Surprise, AZ",Wayfarer Plan 5679 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$475,990",3.0,2.5,2131.0,"19200 W WOLF ST, Litchfield Park, AZ",Alder Plan 4023 in The Landings,https://www.lennar.comclass=
Move-in ready,"$664,990",3.0,2.5,2406.0,"24992 N 176th DR, Surprise, AZ",Outlander Plan 5680 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$529,990",2.0,2.0,2113.0,"24497 N 173RD LN, Surprise, AZ",Summit Plan 1004 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$679,990",4.0,3.0,2584.0,"24546 N 170th LN, Surprise, AZ",Explorer Plan 5583 in Asante,https://www.lennar.comclass=
Move-in ready,"$624,990",3.0,3.0,2231.0,"24534 N 170th LN, Surprise, AZ",Wayfarer Plan 5679 in Asante,https://www.lennar.comclass=
Move-in ready,"$485,990",3.0,3.0,1938.0,"24679 N 170th DR, Surprise, AZ",Independence Plan 3576 in Asante,https://www.lennar.comclass=
Move-in ready,"$399,990",2.0,2.0,1248.0,"25149 N 173rd Ln, Surprise, AZ",Woodstock Plan 4055 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$348,990",3.0,2.0,1594.0,"12219 E WALLFLOWER LN, Florence, AZ",Gibraltar Plan 3564 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
Move-in ready,"$639,990",3.0,3.0,2231.0,"24545 N 170th LN, Surprise, AZ",Wayfarer Plan 5679 in Asante,https://www.lennar.comclass=
Move-in ready,"$465,990",4.0,3.0,2030.0,"19955 W Flower St, Buckeye, AZ",Barbosa Plan 4070 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$419,990",2.0,2.0,1491.0,"25125 N 173rd Ln, Surprise, AZ",Armstrong Plan 4066 in Asante Heritage | Active Adult,https://www.lennar.comclass=
Move-in ready,"$345,990",3.0,2.0,1594.0,"12218 E WALLFLOWER LN, Florence, AZ",Gibraltar Plan 3564 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
Move-in ready,"$349,490",3.0,2.0,1400.0,"32038 N WAYNE LN, San Tan Valley, AZ",Bisbee Plan 3565 in Bella Vista Farms,https://www.lennar.comclass=
Move-in ready,"$869,990",4.0,3.0,2835.0,"32821 N. 21st Ln, Phoenix, AZ",Aurora Plan 5580 in Copperleaf,https://www.lennar.comclass=
Move-in ready,"$500,990",4.0,3.0,2375.0,"4215 S 109TH AVE, Tolleson, AZ",Aspen Plan 4578 in Verde Trails,https://www.lennar.comclass=
Move-in ready,"$348,990",3.0,2.0,1594.0,"12232 E WALLFLOWER LN, Florence, AZ",Gibraltar Plan 3564 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
Move-in ready,"$431,990",2.0,2.5,1312.0,"773 S HAWK LN, Gilbert, AZ",Oriole Plan 105 in Warner Meadow,https://www.lennar.comclass=
Move-in ready,"$510,990",4.0,2.5,2468.0,"10908 W TRUMBULL RD, Tolleson, AZ",Juniper Plan 4584 in Verde Trails,https://www.lennar.comclass=
Move-in ready,"$345,990",3.0,2.0,1609.0,"12245 E WALLFLOWER LN, Florence, AZ",Agave Plan 3016 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
Move-in ready,"$460,990",5.0,3.0,1939.0,"24604 N 170th DR, Surprise, AZ",Lewis Plan 3575 in Asante,https://www.lennar.comclass=
Move-in ready,"$400,990",3.0,2.0,1392.0,"24616 N 170th DR, Surprise, AZ",Bisbee Plan 3565 in Asante,https://www.lennar.comclass=
Move-in ready,"$435,990",2.0,2.5,1312.0,"784 S HAWK LN, Gilbert, AZ",Oriole Plan 105 in Warner Meadow,https://www.lennar.comclass=
Move-in ready,"$422,990",2.0,2.5,1312.0,"776 S HAWK LN, Gilbert, AZ",Goldfinch Plan 104 in Warner Meadow,https://www.lennar.comclass=
Move-in ready,"$614,990",4.0,3.0,2835.0,"20040 W Cheery Lynn Rd, Buckeye, AZ",Aurora Plan 5580 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$508,990",4.0,3.0,2524.0,"4143 E ENMARK DR, San Tan Valley, AZ",Revolution 4083 in Bella Vista Farms,https://www.lennar.comclass=
Move-in ready,"$449,490",4.0,2.0,1800.0,"24763 N 170th LN, Surprise, AZ",Barbaro Plan 3570 in Asante,https://www.lennar.comclass=
Move-in ready,"$487,990",4.0,2.5,2468.0,"3000 E TUNDRA LN, San Tan Valley, AZ",Juniper Plan 4584 in Bella Vista Farms,https://www.lennar.comclass=
Move-in ready,"$464,990",4.0,3.0,2264.0,"3283 N 199th Dr, Buckeye, AZ",Sage Plan 4022 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$487,990",4.0,2.5,2468.0,"32475 N WOODSIDE DR, San Tan Valley, AZ",Juniper Plan 4584 in Bella Vista Farms,https://www.lennar.comclass=
Move-in ready,"$629,990",5.0,3.0,1953.0,"32608 N. 20th Glen, Phoenix, AZ",Lewis Plan 3575 in Copperleaf,https://www.lennar.comclass=
Move-in ready,"$362,990",3.0,2.0,1232.0,"2346 W Bowker St, Phoenix, AZ",Jerome Plan 3556 in Liberty,https://www.lennar.comclass=
Move-in ready,"$522,490",4.0,3.0,2524.0,"37817 N WINTER WHEAT WAY, San Tan Valley, AZ",Revolution Plan 4083 in Wales Ranch,https://www.lennar.comclass=
Move-in ready,"$589,990",4.0,2.5,2296.0,"20180 W Cheery Lynn Rd, Buckeye, AZ",Outlander II Plan 5581 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$309,990",3.0,2.0,1232.0,"12273 E WALLFLOWER LN, Florence, AZ",Jerome Plan 3556 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
Move-in ready,"$482,990",4.0,3.0,2264.0,"37803 N WINTER WHEAT WAY, San Tan Valley, AZ",Sage Plan 4022 in Wales Ranch,https://www.lennar.comclass=
Move-in ready,"$439,990",4.0,3.0,2030.0,"19928 W Monterey Way, Buckeye, AZ",Barbosa Plan 4070 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$609,990",4.0,3.0,2835.0,"20171 W Cheery Lynn Rd, Buckeye, AZ",Aurora Plan 5580 in Arroyo Seco,https://www.lennar.comclass=
Move-in ready,"$520,990",4.0,2.5,2468.0,"10916 W TRUMBULL RD, Tolleson, AZ",Juniper Plan 4584 in Verde Trails,https://www.lennar.comclass=
Under construction,"$326,990",3.0,2.0,1400.0,"36480 W Mediterranean Way, Maricopa, AZ",Bisbee Plan 3565 in Anderson Farms,https://www.lennar.comclass=
Under construction,"$329,490",3.0,2.0,1400.0,"36490 W Mediterranean Way, Maricopa, AZ",Bisbee Plan 3565 in Anderson Farms,https://www.lennar.comclass=
Under construction,"$599,490",4.0,3.0,2598.0,"32589 N ARIS DR, San Tan Valley, AZ",Oracle Plan 5080 in Bella Vista Farms,https://www.lennar.comclass=
Under construction,"$306,990",3.0,2.0,1232.0,"12272 E WALLFLOWER LN, Florence, AZ",Jerome Plan 3556 in Magma Ranch Vistas Premier,https://www.lennar.comclass=
