Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$829,000",3.0,2.0,1478.0,"51 Innes Ct #402, San Francisco, CA",Monarch 4-402 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$829,000",3.0,2.0,1409.0,"51 Innes Ct #403, San Francisco, CA",Monarch 4-403 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$829,000",3.0,2.0,1557.0,"51 Innes Ct #407, San Francisco, CA",Monarch 4-407 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$829,000",3.0,2.0,1409.0,"52 Innes Ct #403, San Francisco, CA",Monarch 3-403 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$749,000",2.0,2.0,1067.0,"10 Kennedy Pl #202, San Francisco, CA",Landing 1-202 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$759,000",2.0,2.0,1058.0,"10 Kennedy Pl #210, San Francisco, CA",Landing 1-210 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$489,000",1.0,1.0,744.0,"52 Kirkwood Ave. #207, San Francisco, CA",Madison-207 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$569,000",1.0,1.0,740.0,"52 Kirkwood Ave. #219, San Francisco, CA",Madison-219 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$399,000",0.0,1.0,549.0,"52 Kirkwood Ave. #220, San Francisco, CA",Madison-220 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$384,000",0.0,1.0,551.0,"52 Kirkwood Ave. #223, San Francisco, CA",Madison-223 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$384,000",0.0,1.0,552.0,"52 Kirkwood Ave. #304, San Francisco, CA",Madison-304 in The San Francisco Shipyard,https://www.lennar.comclass=
Move-in ready,"$399,000",0.0,1.0,514.0,"52 Kirkwood Ave. #305, San Francisco, CA",Madison-305 in The San Francisco Shipyard,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/palisades/palisades-plan-a1
Future release,,,,,,,https://www.lennar.com/new-homes/california/san-francisco-metro-area/san-francisco/the-san-francisco-shipyard/palisades/palisades-plan-c1
