Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$821,100",4.0,3.5,2581.0,"3408 S Quartz Street, Morrison, CO",Overlook in Red Rocks Ranch,https://www.lennar.comclass=
Move-in ready,"$489,900",2.0,2.5,1266.0,"866 Furrow Way, Lafayette, CO",Plan 302 in Silo,https://www.lennar.comclass=
Move-in ready,"$494,900",2.0,2.5,1266.0,"850 Furrow Way, Lafayette, CO",Plan 302 in Silo,https://www.lennar.comclass=
Move-in ready,"$389,900",3.0,2.5,1467.0,"545 Cottonwood Avenue, Bennett, CO",Odyssey in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$749,900",3.0,3.5,2427.0,"877 Furrow Way, Lafayette, CO",Apex in Silo,https://www.lennar.comclass=
Move-in ready,"$749,900",3.0,3.5,2326.0,"881 Lariat Lane, Lafayette, CO",Bear in Silo,https://www.lennar.comclass=
Move-in ready,"$350,000",2.0,2.0,1099.0,"741 N Bently Street, Watkins, CO",Plan 301 in Sky Ranch,https://www.lennar.comclass=
Move-in ready,"$439,900",2.0,2.0,1099.0,"1430 Sun Way, Lafayette, CO",Plan 301 in Silo,https://www.lennar.comclass=
Move-in ready,"$749,900",3.0,3.5,2530.0,"849 Furrow Way, Lafayette, CO",Parmelee in Silo,https://www.lennar.comclass=
Move-in ready,"$540,000",3.0,2.0,1976.0,"541 Columbia Street, Johnstown, CO",Graham in Johnstown Farms,https://www.lennar.comclass=
Move-in ready,"$389,900",3.0,2.5,1390.0,"520 Kiowa Avenue, Bennett, CO",Navigator in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$409,900",3.0,2.5,1653.0,"510 Kiowa Avenue, Bennett, CO",Expedition in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$724,900",3.0,3.5,2427.0,"843 Furrow Way, Lafayette, CO",Apex in Silo,https://www.lennar.comclass=
Move-in ready,"$389,900",3.0,2.5,1467.0,"530 Kiowa Avenue, Bennett, CO",Odyssey in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$385,000",2.0,2.0,1266.0,"5466 Euclid Drive, Timnath, CO",Plan 302R in Timnath Lakes,https://www.lennar.comclass=
Move-in ready,"$799,900",3.0,3.5,2427.0,"845 Lariat Lane, Lafayette, CO",Apex in Silo,https://www.lennar.comclass=
Move-in ready,"$431,400",3.0,2.5,1851.0,"540 Kiowa Avenue, Bennett, CO",Aviator in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$411,400",3.0,2.5,1390.0,"550 Kiowa Avenue, Bennett, CO",Navigator in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$406,500",3.0,2.5,1467.0,"560 Kiowa Avenue, Bennett, CO",Odyssey in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$666,000",3.0,2.0,1972.0,"8175 Sewanee Peak Street, Littleton, CO",Graham in Sterling Ranch,https://www.lennar.comclass=
Move-in ready,"$575,000",3.0,2.5,1787.0,"16276 Estuary Point, Parker, CO",Plateau in Dove Village,https://www.lennar.comclass=
Move-in ready,"$465,000",4.0,2.5,2238.0,"46529 Orchard Drive, Bennett, CO",Evans in Muegge Farms,https://www.lennar.comclass=
Move-in ready,"$739,900",2.0,2.0,2175.0,"1965 Merrill Circle West, Erie, CO",Davis in Morgan Hill,https://www.lennar.comclass=
Move-in ready,"$599,900",4.0,2.5,2758.0,"13002 E 99th Place, Commerce City, CO",Envision in Reunion Ridge,https://www.lennar.comclass=
Move-in ready,"$431,400",3.0,2.5,1653.0,"600 Kiowa Avenue, Bennett, CO",Expedition in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$439,900",3.0,2.5,1851.0,"610 Kiowa Avenue, Bennett, CO",Aviator in Bennett Village,https://www.lennar.comclass=
Move-in ready,"$565,000",4.0,2.5,2140.0,"24243 E Walsh Avenue, Aurora, CO",Evans in Waterstone,https://www.lennar.comclass=
Move-in ready,"$745,000",4.0,3.5,2612.0,"17353 Gandy Dancer Lane, Parker, CO",Chelton in Looking Glass,https://www.lennar.comclass=
Move-in ready,"$676,000",4.0,3.5,2578.0,"24346 E Ohio Drive, Aurora, CO",Ashbrook in Waterstone,https://www.lennar.comclass=
Move-in ready,"$625,000",3.0,2.5,2010.0,"9092 Zeta Pass Court, Parker, CO",Ascent in Dove Village,https://www.lennar.comclass=
Move-in ready,"$670,000",3.0,2.5,2287.0,"16360 Saint Paul Drive, Thornton, CO",Springdale in Orchard Farms,https://www.lennar.comclass=
Move-in ready,"$567,900",3.0,2.5,1825.0,"637 Acorn Place, Erie, CO",Spire in Parkdale,https://www.lennar.comclass=
Move-in ready,"$693,000",3.0,2.0,1851.0,"9555 Byers Peak Street, Littleton, CO",Abbot in Sterling Ranch,https://www.lennar.comclass=
Move-in ready,"$640,000",3.0,2.0,1974.0,"16349 Saint Paul Drive, Thornton, CO",Graham in Orchard Farms,https://www.lennar.comclass=
Move-in ready,"$449,900",3.0,2.5,1813.0,"46533 Orchard Drive, Bennett, CO",Tabor in Muegge Farms,https://www.lennar.comclass=
Move-in ready,"$714,900",4.0,2.5,2139.0,"580 Rob Roy Court, Erie, CO",Evans in Parkdale,https://www.lennar.comclass=
Move-in ready,"$550,000",3.0,2.5,1802.0,"5527 Runge Court, Timnath, CO",Tabor in Timnath Lakes,https://www.lennar.comclass=
Move-in ready,"$575,000",4.0,2.5,2377.0,"840 Mosquito Court, Elizabeth, CO",Pinnacle in Legacy Village,https://www.lennar.comclass=
Move-in ready,"$664,900",3.0,2.5,1882.0,"590 Rob Roy Court, Erie, CO",Elbert in Parkdale,https://www.lennar.comclass=
Under construction,"$450,000",3.0,2.5,1366.0,"46536 Orchard Drive, Bennett, CO",Snowmass in Muegge Farms,https://www.lennar.comclass=
Under construction,"$509,900",3.0,2.0,1359.0,"13042 E 99th Place, Commerce City, CO",Imagine in Reunion Ridge,https://www.lennar.comclass=
Under construction,"$715,000",5.0,4.0,2763.0,"24326 E Ohio Drive, Aurora, CO",Stonehaven in Waterstone,https://www.lennar.comclass=
Under construction,"$575,000",4.0,3.5,2235.0,"1969 S Fultondale Way, Aurora, CO",Visage in Harvest Ridge,https://www.lennar.comclass=
Under construction,"$545,000",3.0,2.0,1366.0,"860 Mosquito Court, Elizabeth, CO",Snowmass in Legacy Village,https://www.lennar.comclass=
Under construction,"$479,900",4.0,2.5,2377.0,"46537 Orchard Drive, Bennett, CO",Pinnacle in Muegge Farms,https://www.lennar.comclass=
Under construction,"$445,000",3.0,2.5,1502.0,"659 Heartland Drive, Bennett, CO",Flatiron in Muegge Farms,https://www.lennar.comclass=
Under construction,"$739,900",4.0,3.5,2612.0,"14835 Elm Street, Thornton, CO",Chelton in Willow Bend,https://www.lennar.comclass=
Under construction,"$599,900",3.0,2.5,2161.0,"628 Fieldstone Place, Erie, CO",Meridian in Parkdale,https://www.lennar.comclass=
Under construction,"$574,900",3.0,2.5,1803.0,"636 Fieldstone Place, Erie, CO",Plateau in Parkdale,https://www.lennar.comclass=
Under construction,"$599,900",3.0,2.5,2161.0,"644 Fieldstone Place, Erie, CO",Meridian in Parkdale,https://www.lennar.comclass=
Under construction,"$804,500",3.0,2.0,1749.0,"6538 W Atlantic Avenue, Lakewood, CO",Oxford in Green Gables,https://www.lennar.comclass=
Under construction,"$380,000",2.0,2.0,1099.0,"5490 Euclid Drive, Timnath, CO",Plan 301 in Timnath Lakes,https://www.lennar.comclass=
Under construction,"$900,900",5.0,4.0,3010.0,"1957 Merrill Circle West, Erie, CO",Aspen in Morgan Hill,https://www.lennar.comclass=
Under construction,"$481,000",3.0,2.5,1813.0,"46540 Orchard Drive, Bennett, CO",Tabor in Muegge Farms,https://www.lennar.comclass=
Under construction,"$475,000",2.0,2.5,1409.0,"1959 S Fultondale Way, Aurora, CO",Cielo in Harvest Ridge,https://www.lennar.comclass=
Under construction,"$565,000",4.0,2.5,2138.0,"850 Mosquito Court, Elizabeth, CO",Evans in Legacy Village,https://www.lennar.comclass=
Under construction,"$629,900",4.0,2.5,2758.0,"13052 E 99th Place, Commerce City, CO",Envision in Reunion Ridge,https://www.lennar.comclass=
Under construction,"$685,000",3.0,2.0,1366.0,"8331 S Cody Way, Littleton, CO",Snowmass in Meadowbrook Heights,https://www.lennar.comclass=
