Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$534,034",4.0,2.5,3361.0,"3 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$399,990",2.0,2.0,1728.0,"524 DAVIS FALLS DR, Newark, DE",Solano in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$527,250",3.0,3.0,2321.0,"160 Lilac Court, Coatesville, PA",Napa LUXE in Meadows at Hillview | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$536,500",3.0,2.5,2189.0,"4976 Franklin Circle, Pipersville, PA",Harper in Lantern Ridge,https://www.lennar.comclass=
Move-in ready,"$479,990",3.0,3.0,2151.0,"1007 SHANNON FALLS DR, Newark, DE",Tuscany LUXE in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$548,000",3.0,2.5,2189.0,"4972 Franklin Circle, Pipersville, PA",Harper in Lantern Ridge,https://www.lennar.comclass=
Move-in ready,"$749,915",4.0,3.5,2682.0,"607 Dahlia Dr, Spring City, PA",Dalton in Villages at Spring Hill,https://www.lennar.comclass=
Move-in ready,"$419,990",3.0,3.0,2151.0,"173 Hanover Ave, Smyrna, DE",Tuscany Luxe in Auburn Meadows | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$499,990",3.0,2.5,2142.0,"23 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$534,034",4.0,2.5,3383.0,"5 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$528,270",3.0,2.5,1911.0,"41 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$534,034",4.0,2.5,3361.0,"7 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$508,270",3.0,2.5,1979.0,"39 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$554,034",4.0,2.5,3361.0,"9 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$499,990",3.0,3.0,2151.0,"1015 SHANNON FALLS DR, Newark, DE",Tuscany LUXE in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$564,900",3.0,2.5,1857.0,"14 Four Leaf Drive, Downingtown, PA",Avery in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$508,270",3.0,2.5,1911.0,"37 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$564,700",3.0,2.5,1857.0,"18 Four Leaf Drive, Downingtown, PA",Avery in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$442,080",3.0,2.5,1868.0,"4716 Franklin Circle, Pipersville, PA",Piper in Lantern Ridge,https://www.lennar.comclass=
Move-in ready,"$466,312",2.0,2.0,1936.0,"1017 SHANNON FALLS DR, Newark, DE",Mendocino in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$509,170",3.0,2.5,1941.0,"35 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$532,167",4.0,2.5,3361.0,"135 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$509,770",3.0,2.5,1911.0,"33 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$532,167",4.0,2.5,3361.0,"133 Painters Way, Pottstown, PA",Beckham Grande in Coventry Chase,https://www.lennar.comclass=
Move-in ready,"$505,796",3.0,3.0,2386.0,"1021 SHANNON FALLS DR, Newark, DE",Mendocino LUXE in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$759,989",4.0,3.5,2722.0,"711 Hunsberger Rd, Spring City, PA",Dalton in Villages at Spring Hill,https://www.lennar.comclass=
Move-in ready,"$549,500",3.0,2.5,1857.0,"24 Four Leaf Drive, Downingtown, PA",Avery in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$528,270",3.0,2.5,1979.0,"31 Four Leaf Drive, Downingtown, PA",Pinehurst II in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$423,796",2.0,2.0,1728.0,"248 Hyde Ave, Smyrna, DE",Solano in Auburn Meadows | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$571,952",3.0,2.5,1857.0,"28 Four Leaf Drive, Downingtown, PA",Avery in Clover Mill,https://www.lennar.comclass=
Move-in ready,"$413,796",2.0,2.0,1728.0,"189 Hanover Ave, Smyrna, DE",Solano in Auburn Meadows | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$689,990",4.0,2.5,3005.0,"1145 Mariwill Dr, Quakertown, PA",Emerson in Reserve at Woodside Creek,https://www.lennar.comclass=
Move-in ready,"$473,970",3.0,2.0,1878.0,"1023 SHANNON FALLS DR, Newark, DE",Sonoma in The Cascades | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$709,000",4.0,2.5,2791.0,"223 Goldleaf Dr E, Middletown, DE",Montgomery in Copperleaf,https://www.lennar.comclass=
Move-in ready,"$719,910",4.0,2.5,3005.0,"227 Goldleaf Dr E, Middletown, DE",Emerson in Copperleaf,https://www.lennar.comclass=
Move-in ready,"$806,352",4.0,2.5,2844.0,"133 Ladbroke Drive, Exton, PA",Parker Retreat in Exton Grove,https://www.lennar.comclass=
Under construction,"$432,751",2.0,2.0,1778.0,"256 Hyde Ave, Smyrna, DE",Tuscany in Auburn Meadows | Active Adult 55+,https://www.lennar.comclass=
Under construction,"$730,194",4.0,2.5,2688.0,"1146 Mariwill Dr, Quakertown, PA",Bradford in Reserve at Woodside Creek,https://www.lennar.comclass=
Under construction,"$729,534",4.0,3.5,2755.0,"229 Goldleaf Dr E, Middletown, DE",Dalton in Copperleaf,https://www.lennar.comclass=
Under construction,"$706,875",4.0,3.5,2755.0,"225 Goldleaf Dr E, Middletown, DE",Dalton in Copperleaf,https://www.lennar.comclass=
Under construction,"$705,918",4.0,2.5,2688.0,"1149 Mariwill Dr, Quakertown, PA",Bradford in Reserve at Woodside Creek,https://www.lennar.comclass=
Under construction,"$476,886",3.0,3.0,2151.0,"213 Hanover Ave, Smyrna, DE",Tuscany Luxe in Auburn Meadows | Active Adult 55+,https://www.lennar.comclass=
Under construction,"$369,533",2.0,2.5,1237.0,"3A Wafer Alley, Bridgeport, PA",Jaxon in River Pointe,https://www.lennar.comclass=
Under construction,"$369,533",2.0,2.5,1237.0,"11B Ford Street, Bridgeport, PA",Jaxon in River Pointe,https://www.lennar.comclass=
Under construction,"$435,275",3.0,2.5,1868.0,"75A East Fourth Street, Bridgeport, PA",Piper in River Pointe,https://www.lennar.comclass=
Under construction,"$435,275",3.0,2.5,1868.0,"11A Ford Street, Bridgeport, PA",Piper in River Pointe,https://www.lennar.comclass=
Under construction,"$718,869",4.0,2.5,2803.0,"1153 Mariwill Dr, Quakertown, PA",Montgomery in Reserve at Woodside Creek,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/spring-city/villages-at-spring-hill/villages-at-spring-hill-carriage-homes/serena
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/mendocino
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/mendocino-luxe
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/napa
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/napa-luxe
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/smyrna/auburnmeadowsactiveadult55/sonoma
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coopersburg/brookside-court-at-upper-saucon/the-carriages-at-brookside-court/brynley
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coopersburg/brookside-court-at-upper-saucon/the-townes-at-brookside-court/chase
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/middletown/copperleaf/aurora
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/middletown/copperleaf/emerson-ii
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/exton/exton-grove/asher
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/exton/exton-grove/asher-ii
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/exton/exton-grove/hudson
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/exton/exton-grove/parker
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/pipersville/lantern-ridge/lantern-ridge-contemporary-townhomes/jaxon
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/napa
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/solano
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/sonoma
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/phoenixville/steelpointe/grandview
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/phoenixville/steelpointe/halifax
Future release,,,,,,,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/newark/thecascadesactiveadult55/tuscany
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/spring-city/villages-at-spring-hill/villages-at-spring-hill-single-homes/graham
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/spring-city/villages-at-spring-hill/villages-at-spring-hill-single-homes/grayson
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/spring-city/villages-at-spring-hill/villages-at-spring-hill-townhomes/chase
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/spring-city/villages-at-spring-hill/villages-at-spring-hill-townhomes/chase-grande
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-contemporary-towns/delaware
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-contemporary-towns/easton
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-traditional-towns/alexandria
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-traditional-towns/arlington
Future release,,,,,,,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/downingtown/clover-mill/clover-mill-carriage-homes/carrington
