Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$439,690",3.0,2.0,1816.0,"24240 Charleston Lane, Millsboro, DE",Canton in Plantation Lakes,https://www.lennar.comclass=
Move-in ready,"$559,990",3.0,3.0,2548.0,"34245 Chelsey Court, Lewes, DE",Sullivan Basement in Kindleton,https://www.lennar.comclass=
Move-in ready,"$554,990",2.0,2.5,2224.0,"34242 Chelsey Court, Lewes, DE",Hardy Basement in Kindleton,https://www.lennar.comclass=
Move-in ready,"$579,990",3.0,3.0,2548.0,"34010 Givens Way, Lewes, DE",Sullivan Slab in Kindleton,https://www.lennar.comclass=
Move-in ready,"$532,790",3.0,2.0,1568.0,"37047 HAVELOCK CT, Millsboro, DE",Newport in Plantation Lakes,https://www.lennar.comclass=
Move-in ready,"$504,990",3.0,2.0,1570.0,"29105 Frenchman Bay DR, Lewes, DE",Newport Slab in Acadia Landing,https://www.lennar.comclass=
Move-in ready,"$392,290",4.0,2.5,1781.0,"38507 Ketch Dr, Selbyville, DE",Fairfield Slab in Schooner Landing,https://www.lennar.comclass=
Move-in ready,"$364,990",3.0,2.0,1390.0,"38511 Ketch Dr, Selbyville, DE",Hanover Slab in Schooner Landing,https://www.lennar.comclass=
Move-in ready,"$364,990",3.0,2.5,1487.0,"38402 Yawl Ct, Selbyville, DE",Pembroke Slab in Schooner Landing,https://www.lennar.comclass=
Move-in ready,"$399,990",4.0,2.5,1998.0,"38406 Yawl Ct, Selbyville, DE",Charleston Slab in Schooner Landing,https://www.lennar.comclass=
Move-in ready,"$499,990",3.0,2.0,1596.0,"31511 Deep Pond Ln, Frankford, DE",Savannah Slab in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$444,990",3.0,2.5,2160.0,"32255 Norman Ln, Frankford, DE",Lafayette in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$424,990",3.0,2.5,2223.0,"32291 Norman Ln, Frankford, DE",Jefferson in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$449,990",3.0,2.5,2182.0,"34303 Graham Circle, Millsboro, DE",Dover in Plantation Lakes,https://www.lennar.comclass=
Move-in ready,"$424,990",3.0,2.5,2195.0,"32283 Norman Ln, Frankford, DE",Jefferson in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$444,990",3.0,2.5,2332.0,"31106 Christys Way, Frankford, DE",MacArthur in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$399,990",3.0,2.5,2223.0,"31110 Christys Way, Frankford, DE",Jefferson in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$424,990",3.0,2.5,2195.0,"31116 Christys Way, Frankford, DE",Jefferson in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$434,990",3.0,2.5,2195.0,"32279 Norman Ln, Frankford, DE",Jefferson in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$414,990",3.0,2.5,2160.0,"31112 Christys Way, Frankford, DE",Lafayette in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$429,990",3.0,2.5,2316.0,"31118 Christys Way, Frankford, DE",MacArthur in Milos Haven,https://www.lennar.comclass=
Move-in ready,"$474,690",3.0,2.0,1592.0,"34287 Graham Circle, Millsboro, DE",Savannah in Plantation Lakes,https://www.lennar.comclass=
Move-in ready,"$369,990",4.0,2.0,1700.0,"38532 Ketch Dr, Selbyville, DE",Princeton Slab in Schooner Landing,https://www.lennar.comclass=
Under construction,"$541,590",3.0,2.0,1814.0,"29133 Frenchman Bay Dr, Lewes, DE",Canton Slab in Acadia Landing,https://www.lennar.comclass=
Under construction,"$571,740",4.0,2.5,2398.0,"37085 HAVELOCK CT, Millsboro, DE",Portfield in Plantation Lakes,https://www.lennar.comclass=
Under construction,"$541,490",3.0,2.0,1570.0,"31525 Deep Pond Ln, Frankford, DE",Newport Slab in Milos Haven,https://www.lennar.comclass=
Under construction,"$581,590",3.0,2.5,2594.0,"31528 Deep Pond Ln, Frankford, DE",Clearwater Slab in Milos Haven,https://www.lennar.comclass=
Under construction,"$547,740",3.0,2.0,1592.0,"37125 HAVELOCK CT, Millsboro, DE",Savannah in Plantation Lakes,https://www.lennar.comclass=
Under construction,"$540,990",3.0,2.5,2182.0,"31533 Deep Pond Ln, Frankford, DE",Dover Slab in Milos Haven,https://www.lennar.comclass=
