Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$569,790",3.0,2.5,1334.0,"12960 NW 22 PL, Miami, FL",Avignon in Westview,https://www.lennar.comclass=
Move-in ready,"$559,490",3.0,2.5,1334.0,"12940 NW 22 PL, Miami, FL",Avignon in Westview,https://www.lennar.comclass=
Move-in ready,"$687,221",4.0,3.5,2648.0,"29173 SW 169 AVE, Miami, FL",Fontana in Sedona Estates,https://www.lennar.comclass=
Move-in ready,"$442,240",3.0,3.0,1334.0,"16308 SW 291 ST, Miami, FL",Bandol in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$441,430",3.0,2.5,1668.0,"16264 SW 291 ST, Miami, FL",Vence in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$697,240",5.0,3.0,2665.0,"16400 SW 290 ST, Miami, FL",Olmeto in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$475,140",3.0,3.0,1334.0,"11764 SW 245 TER, Miami, FL",Bandol in Corsica,https://www.lennar.comclass=
Move-in ready,"$491,840",3.0,2.5,1443.0,"29021 SW 162 CT, Miami, FL",Bordeaux in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$565,440",3.0,2.5,1443.0,"12918 NW 22 PL, Miami, FL",Bordeaux in Westview,https://www.lennar.comclass=
Move-in ready,"$585,375",3.0,2.5,1697.0,"12906 NW 22 PL, Miami, FL",Dijon in Westview,https://www.lennar.comclass=
Move-in ready,"$506,790",3.0,2.5,1414.0,"12261 NW 24 PL, Miami, FL",Casis in Westview,https://www.lennar.comclass=
Move-in ready,"$482,790",4.0,2.5,1878.0,"26476 SW 148 CT, Miami, FL",Lotus in Harmony Parc,https://www.lennar.comclass=
Move-in ready,"$435,040",3.0,2.5,1545.0,"16236 SW 291 ST, Miami, FL",Reserve in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$489,390",3.0,2.5,1414.0,"11761 SW 245 TER, Miami, FL",Casis in Corsica,https://www.lennar.comclass=
Move-in ready,"$479,030",3.0,2.5,1668.0,"23423 SW 127 PL, Miami, FL",Vence in Siena Reserve,https://www.lennar.comclass=
Move-in ready,"$472,490",3.0,2.5,1334.0,"23086 SW 128 PL, Miami, FL",Avignon in Siena Reserve,https://www.lennar.comclass=
Move-in ready,"$483,790",3.0,2.5,1334.0,"29017 SW 162 CT, Miami, FL",Avignon in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$706,090",4.0,3.0,2403.0,"29031 SW 169 CT, Miami, FL",Edlin in Sedona Estates,https://www.lennar.comclass=
Move-in ready,"$511,390",3.0,2.5,1828.0,"16223 SW 289 ST, Miami, FL",Lorient in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$705,140",3.0,2.5,2086.0,"16920 SW 288 TER, Miami, FL",Caraway in Sedona Estates,https://www.lennar.comclass=
Move-in ready,"$472,490",3.0,2.5,1334.0,"23087 SW 128 PL, Miami, FL",Avignon in Siena Reserve,https://www.lennar.comclass=
Move-in ready,"$2,062,110",5.0,4.5,3573.0,"8275 SW 120 TER, Miami, FL",Florence in Centris,https://www.lennar.comclass=
Move-in ready,"$502,175",3.0,2.5,1697.0,"16220 SW 288 TER, Miami, FL",Dijon in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$2,369,990",5.0,4.5,4152.0,"8361 SW 120 TER, Miami, FL",Ruby in Centris,https://www.lennar.comclass=
Move-in ready,"$2,386,690",5.0,5.5,4336.0,"8347 SW 120 TER, Miami, FL",Silverstone in Centris,https://www.lennar.comclass=
Move-in ready,"$2,182,690",5.0,5.5,4032.0,"8333 SW 120 TER, Miami, FL",Niagara in Centris,https://www.lennar.comclass=
Move-in ready,"$453,940",3.0,2.5,1464.0,"26426 SW 148 CT, Miami, FL",Clover in Harmony Parc,https://www.lennar.comclass=
Move-in ready,"$462,590",3.0,2.5,1561.0,"26422 SW 148 CT, Miami, FL",Ivy in Harmony Parc,https://www.lennar.comclass=
Move-in ready,"$518,590",4.0,2.5,1828.0,"16215 SW 288 TER, Miami, FL",Marseille in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$455,390",3.0,2.5,1561.0,"12834 SW 243 ST, Princeton, FL",Ivy in Avalon Square,https://www.lennar.comclass=
Move-in ready,"$443,090",3.0,2.5,1414.0,"16301 SW 292 ST, Miami, FL",Casis in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$427,190",3.0,2.5,1489.0,"16311 SW 292 ST, Miami, FL",Monte Carlo in Cedar Pointe,https://www.lennar.comclass=
Move-in ready,"$3,123,415",5.0,6.0,5122.0,"9151 SW 110 TER, Miami, FL",Violet in Sanctuary Grande,https://www.lennar.comclass=
Move-in ready,"$468,140",3.0,3.0,1334.0,"12897 SW 234 ST, Miami, FL",Bandol in Siena Reserve,https://www.lennar.comclass=
Move-in ready,"$546,630",3.0,2.5,1668.0,"12274 NW 24 PL, Miami, FL",Vence in Westview,https://www.lennar.comclass=
Move-in ready,"$1,978,690",5.0,4.0,3442.0,"12021 SW 82 PL, Miami, FL",Citrine in Centris,https://www.lennar.comclass=
Move-in ready,"$462,390",3.0,2.5,1654.0,"12862 SW 243 ST, Princeton, FL",Juniper in Avalon Square,https://www.lennar.comclass=
Move-in ready,"$505,790",4.0,2.5,1878.0,"12890 SW 243 ST, Princeton, FL",Lotus in Avalon Square,https://www.lennar.comclass=
Move-in ready,"$1,022,340",3.0,2.5,2115.0,"12102 SW 82 PL, Miami, FL",Ceylon in Centris,https://www.lennar.comclass=
Move-in ready,"$653,440",4.0,2.5,2532.0,"23375 SW 133 AVE, Miami, FL",Lennox in Siena Reserve,https://www.lennar.comclass=
Move-in ready,"$722,490",4.0,3.5,3045.0,"23339 SW 133 AVE, Miami, FL",Napoli in Siena Reserve,https://www.lennar.comclass=
Under construction,"$481,440",3.0,2.5,1443.0,"12880 SW 231 ST, Miami, FL",Bordeaux in Siena Reserve,https://www.lennar.comclass=
Under construction,"$498,375",3.0,2.5,1697.0,"12886 SW 231 ST, Miami, FL",Dijon in Siena Reserve,https://www.lennar.comclass=
Under construction,"$509,390",3.0,2.5,1828.0,"12904 SW 231 ST, Miami, FL",Lorient in Siena Reserve,https://www.lennar.comclass=
Under construction,"$511,390",4.0,2.5,1828.0,"12900 SW 231 ST, Miami, FL",Marsielle in Siena Reserve,https://www.lennar.comclass=
Under construction,"$762,040",5.0,3.0,2665.0,"14821 SW 163 ST, Miami, FL",Olmeto in Salerno,https://www.lennar.comclass=
Under construction,"$806,290",5.0,3.0,2987.0,"14829 SW 163 ST, Miami, FL",Piani in Salerno,https://www.lennar.comclass=
Under construction,"$454,890",3.0,2.5,1489.0,"12892 SW 233 TER, Miami, FL",Monte Carlo in Siena Reserve,https://www.lennar.comclass=
Under construction,"$601,390",4.0,2.5,1828.0,"12872 NW 22 PL, Miami, FL",Marsielle in Westview,https://www.lennar.comclass=
Under construction,"$503,990",4.0,3.0,1897.0,"12849 SW 243 TER, Princeton, FL",Orchid in Avalon Square,https://www.lennar.comclass=
Under construction,"$715,090",3.0,3.0,1827.0,"14813 SW 163 ST, Miami, FL",Centuri in Salerno,https://www.lennar.comclass=
Under construction,"$719,340",4.0,3.5,2648.0,"17058 SW 290 TER, Miami, FL",Fontana in Sedona Estates,https://www.lennar.comclass=
Under construction,"$737,290",5.0,4.5,2806.0,"17011 SW 290 TER, Miami, FL",Mulberry in Sedona Estates,https://www.lennar.comclass=
Under construction,"$700,190",5.0,3.0,3221.0,"23243 SW 133 AVE, Miami, FL",Palmdale in Siena Reserve,https://www.lennar.comclass=
Under construction,"$595,990",3.0,2.5,1828.0,"12766 NW 22 PL, Miami, FL",Lorient in Westview,https://www.lennar.comclass=
Under construction,"$501,840",3.0,3.0,1334.0,"12221 NW 24 PL, Miami, FL",Bandol in Westview,https://www.lennar.comclass=
Under construction,"$451,740",3.0,2.5,1464.0,"24340 SW 128 AVE, Princeton, FL",Clover in Avalon Square,https://www.lennar.comclass=
Under construction,"$702,390",3.0,3.0,1732.0,"14836 SW 162 ST, Miami, FL",Argento in Salerno,https://www.lennar.comclass=
Under construction,"$2,854,790",5.0,5.5,3608.0,"11172 SW 91 AVE, Miami, FL",Addison in Sanctuary Grande,https://www.lennar.comclass=
Under construction,"$3,134,240",5.0,6.0,4296.0,"11102 SW 91 AVE, Miami, FL",Magnolia in Sanctuary Grande,https://www.lennar.comclass=
Under construction,"$875,990",5.0,4.0,3468.0,"29020 SW 171 AVE, Miami, FL",Willow in Sedona Estates,https://www.lennar.comclass=
Under construction,"$495,990",3.0,2.5,1792.0,"12923 SW 231 TER, Miami, FL",Genoa in Siena Reserve,https://www.lennar.comclass=
Under construction,"$736,990",4.0,3.0,2439.0,"16125 SW 149 AVE, Miami, FL",Lumio in Salerno,https://www.lennar.comclass=
Under construction,"$470,765",3.0,3.5,1671.0,"734 SE 14 CT, Homestead, FL",Iris in Terra Sol,https://www.lennar.comclass=
Under construction,"$475,990",3.0,3.5,1746.0,"722 SE 14 CT, Homestead, FL",Poppy in Terra Sol,https://www.lennar.comclass=
Coming soon,High $700K,5.0,4.5,3468.0,"19740 SW 321 ST, Miami, FL",Willow in Silverland Estates,https://www.lennar.comclass=
Coming soon,Low $700K,4.0,3.5,3045.0,"23303 SW 133 AVE, Miami, FL",Napoli in Siena Reserve,https://www.lennar.comclass=
Coming soon,Mid $600K,4.0,2.5,2532.0,"23259 SW 133 AVE, Miami, FL",Lennox in Siena Reserve,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/piani
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/harmony-parc/juniper
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/harmony-parc/orchid
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/argento
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/centuri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/florent
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/lumio
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/olmeto
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/juniper-collection/piani
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/sequoia-collection/centuri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/sequoia-collection/compass
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/cedar-pointe/sequoia-collection/piani
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/centris/sapphire-collection/montana
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/centris/sapphire-collection/star
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/brion-collection/monte-carlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/brion-collection/reserve
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/brion-collection/vence
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/province-collection/avignon
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/province-collection/bordeaux
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/province-collection/dijon
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/province-collection/lorient
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/province-collection/marsielle
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/argento
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/centuri
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/florent
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/lumio
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/corsica/santorini-collection/olmeto
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/carmel-collection/arlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/carmel-collection/easton
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/carmel-collection/monroe
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/carmel-collection/shiloh
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/malibu-collection/bandol
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/malibu-collection/casis
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/malibu-collection/monte-carlo
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/malibu-collection/reserve
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/malibu-collection/vence
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/pasadena-collection/avignon
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/pasadena-collection/bordeaux
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/pasadena-collection/dijon
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/pasadena-collection/lorient
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/pine-vista/pasadena-collection/marseille
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/salerno/florent
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/siena-reserve/adora-collection/casis
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/siena-reserve/adora-collection/reserve
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/siena-reserve/fontaine-collection/ayla
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/siena-reserve/fontaine-collection/carmel
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/silverland-estates/edlin
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/silverland-estates/fontana
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/silverland-estates/mulberry
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/miami/silverland-estates/voyage
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/homestead/terra-sol/carnation
Future release,,,,,,,https://www.lennar.com/new-homes/florida/miami/homestead/terra-sol/water-lilly
