Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$1,000,825",5.0,4.0,3730.0,"19011 Fly Rod Run, Loxahatchee, FL",Hart in Arden,https://www.lennar.comclass=
Move-in ready,"$785,630",5.0,3.5,2868.0,"1486 Heron Nook Rd, Loxahatchee, FL",Tarragon in Arden,https://www.lennar.comclass=
Move-in ready,"$859,385",5.0,4.0,3360.0,"19031 Broad Shore Walk, Loxahatchee, FL",Lyonia in Arden,https://www.lennar.comclass=
Move-in ready,"$984,940",4.0,3.5,3444.0,"18986 Tackle Box Trail, Loxahatchee, FL",Flora in Arden,https://www.lennar.comclass=
Move-in ready,"$1,083,335",5.0,4.0,4003.0,"19035 Fly Rod Run, Loxahatchee, FL",Lotus in Arden,https://www.lennar.comclass=
Move-in ready,"$889,125",5.0,4.0,3360.0,"1059 Tangled Orchard Trce, Loxahatchee, FL",Lyonia in Arden,https://www.lennar.comclass=
Move-in ready,"$829,470",4.0,3.0,2807.0,"1113 Tangled Orchard Trce, Loxahatchee, FL",Cocoplum in Arden,https://www.lennar.comclass=
Move-in ready,"$806,965",3.0,3.0,2631.0,"1125 Tangled Orchard Trce, Loxahatchee, FL",ACACIA in Arden,https://www.lennar.comclass=
Move-in ready,"$1,197,668",4.0,3.5,3444.0,"727 Hookline Circle, Loxahatchee, FL",Flora in Arden,https://www.lennar.comclass=
Move-in ready,"$722,750",4.0,3.0,2345.0,"13430 Amber Waves Ave, Delray Beach, FL",SYCAMORE in Delray Trails,https://www.lennar.comclass=
Move-in ready,"$739,955",4.0,3.5,2677.0,"1925 Wandering Willow Way, Loxahatchee, FL",PERIWINKLE in Arden,https://www.lennar.comclass=
Move-in ready,"$754,470",4.0,3.0,2373.0,"19119 Croft Mill Xing, Loxahatchee, FL",Rosemary in Arden,https://www.lennar.comclass=
Move-in ready,"$503,100",3.0,2.5,1690.0,"4328 Hammock Grove Dr, Lake Worth, FL",HAWTHORNE in Lakeshore at The Fountains,https://www.lennar.comclass=
Move-in ready,"$475,420",3.0,2.5,1635.0,"5315 Flannigan Way, Lake Worth, FL",COCCO in Heathwood Reserve,https://www.lennar.comclass=
Move-in ready,"$475,420",3.0,2.5,1635.0,"5311 Flannigan Way, Lake Worth, FL",COCCO in Heathwood Reserve,https://www.lennar.comclass=
Move-in ready,"$641,925",3.0,2.0,1610.0,"13443 Noble Dr, Delray Beach, FL",JACARANDA in Delray Trails,https://www.lennar.comclass=
Move-in ready,"$638,580",3.0,2.0,1947.0,"1822 Wandering Willow Way, Loxahatchee, FL",DAFFODIL in Arden,https://www.lennar.comclass=
Move-in ready,"$553,610",3.0,2.0,1954.0,"1356 Haywagon Trl, Loxahatchee, FL",BUTTONWOOD in Arden,https://www.lennar.comclass=
Under construction,"$554,585",3.0,2.0,1956.0,"1376 Haywagon Trl, Loxahatchee, FL",JUNIPER in Arden,https://www.lennar.comclass=
Under construction,"$728,265",4.0,3.0,2345.0,"13450 Noble Dr, Delray Beach, FL",SYCAMORE in Delray Trails,https://www.lennar.comclass=
Under construction,"$513,940",4.0,2.5,1819.0,"4184 Lagoon Shore Dr, Lake Worth, FL",CHESTNUT in Lakeshore at The Fountains,https://www.lennar.comclass=
Under construction,"$708,205",4.0,3.0,2345.0,"13449 Purple Mountain Pass, Delray Beach, FL",SYCAMORE in Delray Trails,https://www.lennar.comclass=
Under construction,"$716,945",4.0,3.0,2483.0,"13452 Purple Mountain Pass, Delray Beach, FL",WILLOW in Delray Trails,https://www.lennar.comclass=
Under construction,"$602,500",3.0,2.0,1450.0,"13448 Purple Mountain Pass, Delray Beach, FL",CYPRESS in Delray Trails,https://www.lennar.comclass=
Under construction,"$774,735",4.0,3.0,2648.0,"19101 Croft Mill Xing, Loxahatchee, FL",Sage in Arden,https://www.lennar.comclass=
Under construction,"$856,155",5.0,3.5,3326.0,"1154 Tangled Orchard Trce, Loxahatchee, FL",Holly in Arden,https://www.lennar.comclass=
Under construction,"$986,090",4.0,3.0,3112.0,"702 Hookline Circle, Loxahatchee, FL",Broadleaf in Arden,https://www.lennar.comclass=
Under construction,"$618,340",2.0,2.0,1410.0,"13445 Purple Mountain Pass, Delray Beach, FL",BEECH in Delray Trails,https://www.lennar.comclass=
Under construction,"$535,900",3.0,2.5,1820.0,"4620 Hollister Ave, Lake Worth, FL",HONEY in Heathwood Reserve,https://www.lennar.comclass=
Under construction,"$627,500",3.0,2.0,1450.0,"13430 Noble Dr, Delray Beach, FL",CYPRESS in Delray Trails,https://www.lennar.comclass=
Under construction,"$515,045",3.0,2.5,1690.0,"4181 Lagoon Shore Dr, Lake Worth, FL",HAWTHORNE in Lakeshore at The Fountains,https://www.lennar.comclass=
Under construction,"$695,190",4.0,3.0,2379.0,"1593 Wandering Willow Way, Loxahatchee, FL",LILI in Arden,https://www.lennar.comclass=
Under construction,"$628,340",2.0,2.0,1410.0,"5685 Graceful Way, Delray Beach, FL",BEECH in Delray Trails,https://www.lennar.comclass=
Under construction,"$587,935",4.0,3.5,2311.0,"1409 Haywagon Trl, Loxahatchee, FL",HYDRANGEA in Arden,https://www.lennar.comclass=
Under construction,"$507,170",2.0,2.0,1308.0,"5843 Shining Sea Ct, Delray Beach, FL",HIBISCUS in Delray Trails,https://www.lennar.comclass=
Under construction,"$537,440",3.0,2.0,1305.0,"5855 Shining Sea Ct, Delray Beach, FL",ORCHID in Delray Trails,https://www.lennar.comclass=
Under construction,"$643,830",3.0,2.0,1610.0,"5701 Graceful Way, Delray Beach, FL",JACARANDA in Delray Trails,https://www.lennar.comclass=
Under construction,"$530,085",3.0,2.0,1757.0,"1405 Haywagon Trl, Loxahatchee, FL",AZALEA in Arden,https://www.lennar.comclass=
Under construction,"$690,380",4.0,3.0,2256.0,"1625 Wandering Willow Way, Loxahatchee, FL",DAISY in Arden,https://www.lennar.comclass=
Coming soon,Low $800K,4.0,3.0,2807.0,"1118 Tangled Orchard Trce, Loxahatchee, FL",Cocoplum in Arden,https://www.lennar.comclass=
Coming soon,High $700K,3.0,3.0,2631.0,"1142 Tangled Orchard Trce, Loxahatchee, FL",ACACIA in Arden,https://www.lennar.comclass=
Coming soon,Low $700K,3.0,2.5,2200.0,"19107 Croft Mill Xing, Loxahatchee, FL",Coriander in Arden,https://www.lennar.comclass=
Coming soon,Mid $700K,3.0,2.5,2200.0,"19124 Croft Mill Xing, Loxahatchee, FL",Coriander in Arden,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/delray-trails/the-villas/cosmos
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/delray-trails/the-villas/larkspur
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/delray-trails/the-woods/magnolia
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/lake-worth/lakeshore-at-the-fountains/banyan
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/lake-worth/lakewood-cove/evergreen
Future release,,,,,,,https://www.lennar.com/new-homes/florida/palm-beach/lake-worth/lakewood-cove/maple
