Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$595,914",3.0,2.5,2236.0,"576 SE FASCINO CIR, Port St Lucie, FL",GIULIA in Tesoro Club,https://www.lennar.comclass=
Move-in ready,"$588,325",3.0,2.5,2013.0,"681 SE FASCINO CIR, Port St Lucie, FL",ANGELO in Tesoro Club,https://www.lennar.comclass=
Move-in ready,"$631,403",3.0,2.5,2236.0,"553 SE FASCINO CIR, Port St Lucie, FL",GIULIA in Tesoro Club,https://www.lennar.comclass=
Move-in ready,"$544,885",3.0,2.5,2013.0,"520 SE FASCINO CIR, Port St Lucie, FL",ANGELO in Tesoro Club,https://www.lennar.comclass=
Move-in ready,"$687,075",4.0,3.5,2624.0,"537 SE FASCINO CIR, Port St Lucie, FL",LUCCA in Tesoro Club,https://www.lennar.comclass=
Move-in ready,"$495,000",4.0,2.5,2582.0,"6117 NW SWEETWOOD DR, Port St Lucie, FL",PROVIDENCE in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$443,350",4.0,2.0,1936.0,"11050 NW PONDSIDE LN, Port St Lucie, FL",HARTFORD in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$449,990",5.0,2.5,2409.0,"6140 NW SWEETWOOD DR, Port St Lucie, FL",COLUMBIA in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$442,635",4.0,2.0,1817.0,"11154 NW PONDSIDE LN, Port St Lucie, FL",HARRISBURG in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$449,990",4.0,2.0,1936.0,"11137 NW PONDSIDE LN, Port St Lucie, FL",HARTFORD in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$402,990",3.0,2.0,1448.0,"6381 NW LEAFMORE LN, Port St Lucie, FL",ANNAPOLIS in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$510,350",5.0,3.0,2587.0,"11057 NW PONDSIDE LN, Port St Lucie, FL",CONCORD in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$499,990",4.0,2.5,2584.0,"11122 NW PONDSIDE LN, Port St Lucie, FL",PROVIDENCE in Brystol at Wylder,https://www.lennar.comclass=
Move-in ready,"$549,990",3.0,2.5,2324.0,"1164 SE WOODBINE RD, Port St Lucie, FL",PARIS in Veranda Preserve,https://www.lennar.comclass=
Move-in ready,"$494,135",3.0,3.0,2040.0,"1068 SE WOODBINE RD, Port St Lucie, FL",SOPHIA in Veranda Preserve,https://www.lennar.comclass=
Move-in ready,"$445,770",3.0,2.0,1695.0,"1148 SE WOODBINE RD, Port St Lucie, FL",MAGNOLIA in Veranda Preserve,https://www.lennar.comclass=
Move-in ready,"$610,215",3.0,3.5,2807.0,"1188 SE WOODBINE RD, Port St Lucie, FL",VENICE in Veranda Preserve,https://www.lennar.comclass=
Move-in ready,"$528,565",3.0,3.5,2389.0,"1204 SE WOODBINE RD, Port St Lucie, FL",KEY LARGO in Veranda Preserve,https://www.lennar.comclass=
Under construction,"$349,125",3.0,2.5,1635.0,"868 SE GROVEBUSH LN, Port St Lucie, FL",COCCO in Veranda Landing,https://www.lennar.comclass=
Under construction,"$770,655",5.0,4.0,3198.0,"266 SE FASCINO CIR, Port St Lucie, FL",VITO in Tesoro Club,https://www.lennar.comclass=
Under construction,"$628,635",4.0,3.0,2650.0,"1212 SE WOODBINE RD, Port St Lucie, FL",RIVIERA in Veranda Preserve,https://www.lennar.comclass=
Under construction,"$758,781",4.0,3.5,3066.0,"270 SE FASCINO CIR, Port St Lucie, FL",POPPI in Tesoro Club,https://www.lennar.comclass=
Under construction,"$760,655",5.0,4.0,3211.0,"201 SE FASCINO CIR, Port St Lucie, FL",VITO in Tesoro Club,https://www.lennar.comclass=
Under construction,"$362,865",3.0,2.5,1635.0,"857 SE GROVEBUSH LN, Port St Lucie, FL",COCCO in Veranda Landing,https://www.lennar.comclass=
Under construction,"$407,325",3.0,2.5,1820.0,"851 SE GROVEBUSH LN, Port St Lucie, FL",HONEY in Veranda Landing,https://www.lennar.comclass=
Under construction,"$435,380",5.0,2.5,2389.0,"966 Bent Creek Drive, Fort Pierce, FL",Columbia in Bent Creek,https://www.lennar.comclass=
Under construction,"$426,880",3.0,2.0,1757.0,"2145 SE CROSSWOOD WAY, Port St Lucie, FL",AZALEA in Veranda Preserve,https://www.lennar.comclass=
Under construction,"$453,465",6.0,3.0,2580.0,"4220 Longmour Lane, Fort Pierce, FL",Concord in Bent Creek,https://www.lennar.comclass=
Under construction,"$446,865",5.0,2.5,2389.0,"4208 Longmour Lane, Fort Pierce, FL",Columbia in Bent Creek,https://www.lennar.comclass=
Under construction,"$373,630",3.0,2.0,1635.0,"4204 Longmour Lane, Fort Pierce, FL",Denver in Bent Creek,https://www.lennar.comclass=
Under construction,"$394,480",4.0,2.0,1817.0,"4202 Longmour Lane, Fort Pierce, FL",Harrisburg in Bent Creek,https://www.lennar.comclass=
Under construction,"$400,920",3.0,2.5,1820.0,"702 SE LAKE FALLS ST, Port St Lucie, FL",HONEY in Veranda Landing,https://www.lennar.comclass=
Coming soon,Low $600K,3.0,3.0,2468.0,"1220 SE WOODBINE RD, Port St Lucie, FL",SUMMERVILLE II in Veranda Preserve,https://www.lennar.comclass=
Coming soon,High $500K,3.0,3.0,2583.0,"1088 SE CROSSWOOD WAY, Port St Lucie, FL",TREVISO in Veranda Preserve,https://www.lennar.comclass=
Coming soon,Mid $400K,3.0,2.0,1610.0,"1209 SE CROSSWOOD WAY, Port St Lucie, FL",JACARANDA in Veranda Preserve,https://www.lennar.comclass=
Coming soon,Low $400K,5.0,2.5,2389.0,"4226 Longmour Lane, Fort Pierce, FL",Columbia in Bent Creek,https://www.lennar.comclass=
Coming soon,High $300K,3.0,2.0,1635.0,"4200 Longmour Lane, Fort Pierce, FL",Denver in Bent Creek,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/brystol-at-wylder/the-heritage-collection/raleigh
Future release,,,,,,,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/brystol-at-wylder/the-palms-collection/alexia
Future release,,,,,,,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/brystol-at-wylder/the-palms-collection/atlanta
