Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$493,025",4.0,2.5,2388.0,"744 Blue Moon Crossing, Pooler, GA",VIRGINIAN II in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$468,080",4.0,2.5,2388.0,"738 Blue Moon Crossing, Pooler, GA",VIRGINIAN II in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$439,600",4.0,2.5,2464.0,"155 Binscombe Lane, Pooler, GA",HANOVER in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$491,970",4.0,2.5,2697.0,"737 Blue Moon Crossing, Pooler, GA",BLUFFTON in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$505,110",4.0,3.0,2695.0,"732 Blue Moon Crossing, Pooler, GA",CONYERS II in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$471,710",4.0,2.5,2656.0,"143 Binscombe Lane, Pooler, GA",HENNINGER in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$366,170",3.0,2.0,1435.0,"110 Holloway Hill, Pooler, GA",DRAKE in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$363,620",3.0,2.0,1435.0,"116 Holloway Hill, Pooler, GA",DRAKE in Savannah Quarters,https://www.lennar.comclass=
Move-in ready,"$261,448",4.0,2.0,1779.0,"273 Lillian Street, Rincon, GA",HARRISBURG in Raindance,https://www.lennar.comclass=
Under construction,"$516,165",5.0,3.5,2461.0,"139 Binscombe Lane, Pooler, GA",KENSINGTON in Savannah Quarters,https://www.lennar.comclass=
Under construction,"$312,557",3.0,2.0,1520.0,"267 Lillian Street, Rincon, GA",DOVER in Raindance,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/columbia
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/litchfield-ii
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/rutledge
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/st-phillips
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/atlanta
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/hartford
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/arbor-collection/litchfield-ii
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/coastal-collection/grayson
Future release,,,,,,,https://www.lennar.com/new-homes/georgia/savannah/pooler/savannah-quarters/cottage-collection/carlyle
