Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$489,900",4.0,2.5,2616.0,"20270 Carbondale Ave, Caldwell, ID",Estelle in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$421,900",3.0,2.0,1808.0,"20284 Carbondale Ave, Caldwell, ID",Capella in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$384,900",4.0,2.0,1667.0,"15113 Sun Shower Ave, Caldwell, ID",Plan 1667 in Cirrus Pointe,https://www.lennar.comclass=
Move-in ready,"$339,900",3.0,2.0,1474.0,"14118 Sky Lake Dr, Caldwell, ID",Plan 1474 in Cirrus Pointe,https://www.lennar.comclass=
Move-in ready,"$399,900",4.0,3.0,2170.0,"11270 Aspen Hill Dr, Caldwell, ID",Carlton in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$366,900",3.0,2.0,1474.0,"15197 Hanks Way, Caldwell, ID",Plan 1474 in Cirrus Pointe,https://www.lennar.comclass=
Move-in ready,"$399,900",4.0,2.5,1874.0,"15249 Hanks Way, Caldwell, ID",Plan 1874 in Cirrus Pointe,https://www.lennar.comclass=
Move-in ready,"$539,900",5.0,3.0,2801.0,"15192 Hanks Way, Caldwell, ID",Eclipse in Cirrus Pointe,https://www.lennar.comclass=
Move-in ready,"$359,900",4.0,2.5,1874.0,"3305 E Mossy Rock Ct, Nampa, ID",Plan 1874 in Mossy Creek,https://www.lennar.comclass=
Move-in ready,"$459,900",4.0,2.5,2431.0,"764 Knowledge St, Middleton, ID",Cortina in Carlton Meadows,https://www.lennar.comclass=
Move-in ready,"$464,900",4.0,2.5,2431.0,"11258 Aspen Hill Dr, Caldwell, ID",Cortina in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$469,900",4.0,2.5,2431.0,"827 Knowledge St, Middleton, ID",Cortina in Carlton Meadows,https://www.lennar.comclass=
Move-in ready,"$429,900",4.0,2.0,2096.0,"11168 Aspen Hill Dr, Caldwell, ID",Elara in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$394,900",4.0,2.5,1874.0,"11111 W Hidden Point St, Star, ID",Plan 1874 in Wilson Landing,https://www.lennar.comclass=
Move-in ready,"$532,900",5.0,3.0,2801.0,"11114 Aspen Hill Dr, Caldwell, ID",Eclipse in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$399,900",4.0,3.0,2170.0,"11217 Aspen Hill Dr, Caldwell, ID",Carlton in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$439,900",4.0,3.0,2170.0,"212 Insight Ct, Middleton, ID",Carlton in Carlton Meadows,https://www.lennar.comclass=
Move-in ready,"$481,900",4.0,2.5,2616.0,"11162 Aspen Hill Dr, Caldwell, ID",Estelle in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$399,900",4.0,2.0,1667.0,"177 E Liberator Ct, Meridian, ID",Plan 1667 in Prevail,https://www.lennar.comclass=
Move-in ready,"$359,900",4.0,2.5,1874.0,"11176 White River St, Caldwell, ID",Plan 1874 in Mandalay Ranch,https://www.lennar.comclass=
Move-in ready,"$364,900",4.0,2.5,1874.0,"3244 E Mossy Rock Ct, Nampa, ID",Plan 1874 in Mossy Creek,https://www.lennar.comclass=
Move-in ready,"$476,900",4.0,2.5,2431.0,"14227 Sky Lake Dr, Caldwell, ID",Cortina in Cirrus Pointe,https://www.lennar.comclass=
