Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$442,995",3.0,3.0,2225.0,"92 Underland Circle, Westfield, IN",Seabrook in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$299,995",2.0,2.0,1370.0,"822 Harley Lane, Westfield, IN",Atwood in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$521,995",5.0,3.5,3005.0,"628 Felix Drive, Danville, IN",Fairmont in Penrose,https://www.lennar.comclass=
Move-in ready,"$399,000",2.0,2.0,2440.0,"712 Harley Lane, Westfield, IN",Fletcher in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$628,995",5.0,4.5,3122.0,"19372 Lewis Circle, Westfield, IN",3000 in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$474,995",5.0,3.5,2736.0,"19368 Beruna Way, Westfield, IN",Kingston in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$309,995",2.0,2.0,1370.0,"814 Harley Lane, Westfield, IN",Atwood in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$477,995",3.0,3.0,2225.0,"201 Underland Circle, Westfield, IN",Seabrook in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$643,995",5.0,4.5,3122.0,"125 Waterford Lane, Westfield, IN",3000 in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$383,610",2.0,2.0,1674.0,"802 Harley Lane, Westfield, IN",Fletcher in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$439,995",5.0,3.5,2427.0,"19329 Beruna Way, Westfield, IN",Hampshire in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$374,995",2.0,2.0,1674.0,"703 Harley Lane, Westfield, IN",Fletcher in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$424,995",4.0,2.5,2281.0,"19421 Beruna Way, Westfield, IN",Irvington in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$431,995",5.0,3.0,2736.0,"2117 Egbert Road, Westfield, IN",Kingston in Westgate,https://www.lennar.comclass=
Move-in ready,"$449,995",3.0,3.0,2830.0,"19680 Sutton Terrace, Westfield, IN",Monroe in Osborne Trails,https://www.lennar.comclass=
Move-in ready,"$689,585",5.0,4.5,3488.0,"19465 Lewis Circle, Westfield, IN",3400 in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$379,995",5.0,3.0,2422.0,"1343 Inverness Drive, Avon, IN",Hampshire in Village of Turner Trace,https://www.lennar.comclass=
Move-in ready,"$399,000",5.0,3.0,2736.0,"1287 Inverness Drive, Avon, IN",Kingston in Village of Turner Trace,https://www.lennar.comclass=
Move-in ready,"$555,995",5.0,4.5,3448.0,"83 Edmund Circle, Westfield, IN",Rockwell in Aberdeen,https://www.lennar.comclass=
Move-in ready,"$702,480",4.0,3.5,3523.0,"1250 Hartswick Court, Westfield, IN",Chartwell in Chatham Village,https://www.lennar.comclass=
Move-in ready,"$559,170",5.0,3.5,3329.0,"103 Edmund Circle, Westfield, IN",Oxford in Aberdeen,https://www.lennar.comclass=
