Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$374,990",3.0,2.5,1842.0,"252 Waterstone Road, Essex, MD",Tydings II Front Load Garage in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$529,190",3.0,2.5,2619.0,"7732-B Port Capital Drive, Elkridge, MD",Bluemont in Port Capital,https://www.lennar.comclass=
Move-in ready,"$349,990",3.0,2.5,1842.0,"1710 Huber Road, Essex, MD",Tydings II Front Load Garage in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$399,990",3.0,2.5,2127.0,"1700 Woods Edge Way, Essex, MD",Arcadia Front Load Garage in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$479,990",3.0,2.5,2178.0,"420 Waters Landing Drive, Essex, MD",Lafayette in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$489,990",3.0,2.5,2154.0,"428 Waters Landing Drive, Essex, MD",Lafayette in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$484,990",3.0,2.5,2580.0,"310 Sweetbay Road, Essex, MD",Easton Front Load Garage in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$719,990",3.0,2.5,2117.0,"11458 Starlight Place, Marriottsville, MD",Arcadia Front Load Garage in Chapelgate,https://www.lennar.comclass=
Move-in ready,"$524,990",3.0,2.5,2327.0,"513 Waters Landing Drive, Essex, MD",MacArthur in Waters Landing,https://www.lennar.comclass=
Move-in ready,"$474,990",3.0,2.5,2580.0,"324 Sweetbay Road, Essex, MD",Easton Front Load Garage in Waters Landing,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/marriottsville/chapelgate/arcadia-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/marriottsville/chapelgate/breckenridge-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/marriottsville/chapelgate/easton-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/manor/admiral
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/manor/fitzgerald
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/manor/kensington
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/manor/lynnfield
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/townhomes/ellicott-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/annapolis/parkeside-preserve/townhomes/tyndale-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/arcadia-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/arcadia-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/ellicott-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/ellicott-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/tydings-ii-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/tydings-ii-non-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/patapsco-glen/tydings-ii-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/elkridge/port-capital/tarara
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/baltimore/roland-heights/tyndale-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/glen-burnie/tanyard-shores/chesapeake-collection/arcadia-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/central-maryland/glen-burnie/tanyard-shores/chesapeake-collection/arcadia-rear-load-garage
