Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$574,890",3.0,2.0,1592.0,"4069 Zion St, White Plains, MD",Savannah in St. Charles,https://www.lennar.comclass=
Move-in ready,"$384,990",2.0,2.0,1386.0,"3917 Glacier Bay Pl, White Plains, MD",Hamlin in St. Charles,https://www.lennar.comclass=
Move-in ready,"$569,990",3.0,2.0,1592.0,"4082 Zion St, White Plains, MD",Savannah in St. Charles,https://www.lennar.comclass=
Move-in ready,"$564,990",3.0,2.0,1592.0,"4032 Zion St, White Plains, MD",Savannah in St. Charles,https://www.lennar.comclass=
Move-in ready,"$549,990",3.0,2.0,1592.0,"3986 Katmai St, White Plains, MD",Savannah in St. Charles,https://www.lennar.comclass=
Move-in ready,"$599,940",3.0,2.0,1833.0,"3990 Katmai St, White Plains, MD",Canton in St. Charles,https://www.lennar.comclass=
Move-in ready,"$610,565",3.0,2.5,2202.0,"3978 Katmai St, White Plains, MD",Dover in St. Charles,https://www.lennar.comclass=
Move-in ready,"$601,990",3.0,2.5,2202.0,"10659 Carlsbad Cavern Ct, White Plains, MD",Dover in St. Charles,https://www.lennar.comclass=
Move-in ready,"$408,890",3.0,2.5,2043.0,"23618 Crosswinds Way, California, MD",Arcadia Front Load Garage in The Woods at Myrtle Point,https://www.lennar.comclass=
Move-in ready,"$399,890",3.0,2.5,2043.0,"23658 Crosswinds Way, California, MD",Arcadia Front Load Garage in The Woods at Myrtle Point,https://www.lennar.comclass=
Move-in ready,"$409,890",3.0,2.5,2043.0,"45363 Concord Way, California, MD",Arcadia Front Load Garage in The Woods at Myrtle Point,https://www.lennar.comclass=
Move-in ready,"$462,590",3.0,2.5,2371.0,"45401 Concord Way, California, MD",Ellicott Front Load Garage in The Woods at Myrtle Point,https://www.lennar.comclass=
Move-in ready,"$629,900",4.0,2.5,2745.0,"4299 Shakespeare Cir, White Plains, MD",Danbury in St. Charles,https://www.lennar.comclass=
Move-in ready,"$414,890",3.0,2.5,2043.0,"45413 Concord Way, California, MD",Arcadia Front Load Garage in The Woods at Myrtle Point,https://www.lennar.comclass=
Move-in ready,"$649,990",4.0,2.5,2747.0,"4025 Aydon Pl, White Plains, MD",Danbury in St. Charles,https://www.lennar.comclass=
Move-in ready,"$659,540",4.0,2.5,2418.0,"4021 Aydon Pl, White Plains, MD",Portfield in St. Charles,https://www.lennar.comclass=
Move-in ready,"$467,390",3.0,2.5,2195.0,"3905 Glacier Bay Pl, White Plains, MD",Jefferson in St. Charles,https://www.lennar.comclass=
Move-in ready,"$422,390",3.0,2.5,2160.0,"3896 Glacier Bay Pl, White Plains, MD",Lafayette in St. Charles,https://www.lennar.comclass=
Under construction,"$668,490",4.0,3.5,2923.0,"11782 Seamus Heaney Ct/4277, White Plains, MD",Norwood in St. Charles,https://www.lennar.comclass=
Under construction,"$449,890",3.0,2.5,2544.0,"4185 Brodie Place, White Plains, MD",Easton Rear Load Garage in St. Charles,https://www.lennar.comclass=
Under construction,"$448,890",3.0,2.5,2544.0,"4167 Brodie Place, White Plains, MD",Easton Rear Load Garage in St. Charles,https://www.lennar.comclass=
Under construction,"$604,740",4.0,2.5,2318.0,"11778 Sir Walter Scott Ct, White Plains, MD",Somerset in St. Charles,https://www.lennar.comclass=
Under construction,"$649,740",4.0,3.5,2917.0,"11217 St Luke Dr, White Plains, MD",Seneca in St. Charles,https://www.lennar.comclass=
Under construction,"$417,890",3.0,2.5,2117.0,"4071 Aydon Pl, White Plains, MD",Arcadia Front Load Garage in St. Charles,https://www.lennar.comclass=
Coming soon,High $500K,3.0,2.5,2202.0,"3989 Katmai St, White Plains, MD",Dover in St. Charles,https://www.lennar.comclass=
Coming soon,High $500K,3.0,2.5,2202.0,"3978 Katmai St, White Plains, MD",Dover in St. Charles,https://www.lennar.comclass=
Coming soon,Mid $500K,3.0,2.5,2202.0,"3965 Katmai St, White Plains, MD",Dover in St. Charles,https://www.lennar.comclass=
Coming soon,Low $500K,3.0,2.0,1568.0,"10656 Carlsbad Cavern Ct, White Plains, MD",Newport in St. Charles,https://www.lennar.comclass=
Coming soon,High $600K,4.0,3.5,2922.0,"11101 Applecross Ct, White Plains, MD",Camelot in St. Charles,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/signature-collection/azalea
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/signature-collection/galloway
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/signature-collection/garret
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/signature-collection/innisbrook
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/signature-collection/portfield
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/townhome-collection/arcadia-rear-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/bryans-road/bryans-village/townhome-collection/easton-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/parklands-signature/clearwater
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-neo-traditional/beaufort
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-neo-traditional/cumberland
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-neo-traditional/kiawah
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-single-family/powell
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-townhomes/tydings-ii-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/white-plains/st-charles/st-charles-townhomes/valencia-front-load-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/california/the-woods-at-myrtle-point/arcadia-non-garage
Future release,,,,,,,https://www.lennar.com/new-homes/maryland/southern-maryland/california/the-woods-at-myrtle-point/ellicott-non-garage
