Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$729,990",3.0,3.5,2445.0,"5 Coogan Court, Morris Plains, NJ",Pershing in The Collection at Morris Plains,https://www.lennar.comclass=
Move-in ready,"$599,990",3.0,2.5,2042.0,"66 Harvest Way, Little Falls, NJ",Hampton in The Parke at Little Falls,https://www.lennar.comclass=
Move-in ready,"$849,990",3.0,2.5,2875.0,"67 Whitney Ave, Morris Plains, NJ",Maple in Venue at The American,https://www.lennar.comclass=
Under construction,"$729,740",3.0,2.5,2464.0,"14 Dorchester Ln, East Hanover, NJ",Pershing in Valley View Park,https://www.lennar.comclass=
Under construction,"$754,740",3.0,2.5,2453.0,"10 Dorchester Ln, East Hanover, NJ",Pershing in Valley View Park,https://www.lennar.comclass=
Under construction,"$729,740",3.0,2.5,2457.0,"12 Dorchester Ln, East Hanover, NJ",Pershing in Valley View Park,https://www.lennar.comclass=
Under construction,"$810,940",3.0,3.5,2441.0,"2 Coogan Court, Morris Plains, NJ",Pershing in The Collection at Morris Plains,https://www.lennar.comclass=
Under construction,"$810,140",3.0,3.5,2913.0,"29 Fillmore Drive, Monroe Township, NJ",Belmont in Venue at Monroe,https://www.lennar.comclass=
Under construction,"$770,940",3.0,3.5,2445.0,"4 Coogan Court, Morris Plains, NJ",Pershing in The Collection at Morris Plains,https://www.lennar.comclass=
Under construction,"$898,840",3.0,2.5,2654.0,"69 Whitney Ave, Morris Plains, NJ",Birch in Venue at The American,https://www.lennar.comclass=
Under construction,"$939,055",3.0,2.5,2654.0,"73 Whitney Ave, Morris Plains, NJ",Birch in Venue at The American,https://www.lennar.comclass=
Under construction,"$909,840",3.0,2.5,2875.0,"71 Whitney Ave, Morris Plains, NJ",Maple in Venue at The American,https://www.lennar.comclass=
Under construction,"$770,940",3.0,3.5,2445.0,"6 Coogan Court, Morris Plains, NJ",Pershing in The Collection at Morris Plains,https://www.lennar.comclass=
Under construction,"$690,490",3.0,3.5,2382.0,"115 Aaron Truehart Way, Hopewell Township, NJ",Thompson in Hopewell Parc,https://www.lennar.comclass=
