Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$732,000",3.0,2.5,4441.0,"6003 Bob Ross Loop, Mount Holly, NC",Crabtree Basement in Imagery,https://www.lennar.comclass=
Move-in ready,"$750,000",3.0,2.5,4441.0,"6007 Bob Ross Loop, Mount Holly, NC",Crabtree Basement in Imagery,https://www.lennar.comclass=
Move-in ready,"$793,000",2.0,2.5,2724.0,"6011 Bob Ross Loop, Mount Holly, NC",Abbott in Imagery,https://www.lennar.comclass=
Move-in ready,"$329,999",2.0,2.0,1592.0,"5720 Oak Branch Circle, Maiden, NC",Bedford in Shannon Woods,https://www.lennar.comclass=
Move-in ready,"$776,000",2.0,2.5,2724.0,"6019 Bob Ross Loop, Mount Holly, NC",Abbott in Imagery,https://www.lennar.comclass=
Move-in ready,"$408,999",2.0,2.0,1520.0,"1455 Turkey Roost Road, Fort Mill, SC",Chiffon in Elizabeth,https://www.lennar.comclass=
Move-in ready,"$779,000",2.0,2.5,2724.0,"6015 Bob Ross Loop, Mount Holly, NC",Abbott in Imagery,https://www.lennar.comclass=
Move-in ready,"$779,000",2.0,2.5,2724.0,"6021 Bob Ross Loop, Mount Holly, NC",Abbott in Imagery,https://www.lennar.comclass=
Move-in ready,"$294,999",2.0,2.0,1592.0,"104 Pampas Place, Statesville, NC",Bedford in Bell Farm,https://www.lennar.comclass=
Move-in ready,"$236,999",2.0,2.0,1077.0,"5201 Duck Lane, Catawba, NC",Baxter in Legacy Ridge,https://www.lennar.comclass=
Move-in ready,"$274,999",2.0,2.0,1440.0,"108 Pampas Place, Statesville, NC",Ashford in Bell Farm,https://www.lennar.comclass=
Move-in ready,"$488,499",4.0,3.5,2964.0,"240 Kennerly Center Drive, Mooresville, NC",Forsyth in Gambill Forest,https://www.lennar.comclass=
Move-in ready,"$298,499",2.0,2.0,1592.0,"107 Pampas Place, Statesville, NC",Bedford in Bell Farm,https://www.lennar.comclass=
Move-in ready,"$338,999",2.0,2.0,1816.0,"248 White Apple Way, Statesville, NC",Canton in Bell Farm,https://www.lennar.comclass=
Move-in ready,"$388,999",4.0,2.5,2753.0,"4519 Clifton Mill Lane, Maiden, NC",Durham in Shannon Woods,https://www.lennar.comclass=
Move-in ready,"$383,999",2.0,2.0,1389.0,"1418 Turkey Roost Road, Fort Mill, SC",Blush in Elizabeth,https://www.lennar.comclass=
Move-in ready,"$572,399",6.0,5.5,4068.0,"259 Kennerly Center Drive, Mooresville, NC",Granville in Gambill Forest,https://www.lennar.comclass=
Move-in ready,"$333,999",3.0,2.5,2052.0,"4525 Clifton Mill Lane, Maiden, NC",Bradley in Shannon Woods,https://www.lennar.comclass=
Move-in ready,"$416,999",4.0,3.5,2946.0,"4531 Clifton Mill Lane, Maiden, NC",Forsyth in Shannon Woods,https://www.lennar.comclass=
Move-in ready,"$377,999",3.0,3.0,2425.0,"250 White Apple Way, Statesville, NC",Beacon in Bell Farm,https://www.lennar.comclass=
Move-in ready,"$395,859",4.0,2.5,2201.0,"2051 Morning Gold Drive, Maiden, NC",Sweetbay in Shannon Woods,https://www.lennar.comclass=
Move-in ready,"$543,079",6.0,5.5,4063.0,"269 Kennerly Center Drive, Mooresville, NC",Granville in Gambill Forest,https://www.lennar.comclass=
Move-in ready,"$493,759",3.0,2.5,2066.0,"348 Runner Stone Lane, Fort Mill, SC",Bradley in Elizabeth,https://www.lennar.comclass=
Under construction,"$497,799",4.0,3.5,2801.0,"266 Kennerly Center Drive, Mooresville, NC",Inlet in Gambill Forest,https://www.lennar.comclass=
Under construction,"$516,559",5.0,4.5,3272.0,"267 Kennerly Center Drive, Mooresville, NC",Grisham in Gambill Forest,https://www.lennar.comclass=
Under construction,"$471,639",4.0,2.5,2705.0,"268 Kennerly Center Drive, Mooresville, NC",Durham in Gambill Forest,https://www.lennar.comclass=
Under construction,"$383,299",5.0,3.0,2577.0,"218 Brentwood Drive, Statesville, NC",Frost in Greenbriar,https://www.lennar.comclass=
Under construction,"$388,939",3.0,2.5,2082.0,"264 White Apple Way, Statesville, NC",Dover in Bell Farm,https://www.lennar.comclass=
Under construction,"$397,539",4.0,2.5,2158.0,"2063 Morning Gold Drive, Maiden, NC",Westbury in Shannon Woods,https://www.lennar.comclass=
Under construction,"$405,399",2.0,2.0,1592.0,"4815 Maiden Creek Way, Maiden, NC",Bedford in Shannon Woods,https://www.lennar.comclass=
Under construction,"$450,879",3.0,3.0,2425.0,"4528 Clifton Mill Lane, Maiden, NC",Beacon in Shannon Woods,https://www.lennar.comclass=
Under construction,"$468,019",4.0,3.0,2762.0,"4546 Clifton Mill Lane, Maiden, NC",Dorchester in Shannon Woods,https://www.lennar.comclass=
Under construction,"$505,979",4.0,2.5,2158.0,"356 Runner Stone Lane, Fort Mill, SC",Westbury in Elizabeth,https://www.lennar.comclass=
Under construction,"$526,599",5.0,3.5,3368.0,"271 Kennerly Center Drive, Mooresville, NC",Davidson in Gambill Forest,https://www.lennar.comclass=
Under construction,"$478,179",5.0,4.5,3269.0,"4567 Clifton Mill Lane, Maiden, NC",Grisham in Shannon Woods,https://www.lennar.comclass=
Under construction,"$553,399",4.0,3.5,4230.0,"131 Lambeth Loop, Mooresville, NC",Forsyth Basement in Gambill Forest,https://www.lennar.comclass=
Under construction,"$456,129",3.0,3.0,2540.0,"4570 Clifton Mill Lane, Maiden, NC",Cambridge in Shannon Woods,https://www.lennar.comclass=
Under construction,"$373,239",5.0,2.5,2306.0,"224 Brentwood Drive, Statesville, NC",Emerson in Greenbriar,https://www.lennar.comclass=
Under construction,"$330,949",4.0,2.5,1955.0,"2269 Trollinger Drive, Catawba, NC",Crane in Legacy Ridge,https://www.lennar.comclass=
Under construction,"$351,939",5.0,2.5,2306.0,"2275 Trollinger Drive, Catawba, NC",Emerson in Legacy Ridge,https://www.lennar.comclass=
Under construction,"$363,179",5.0,3.0,2577.0,"2281 Trollinger Drive, Catawba, NC",Frost in Legacy Ridge,https://www.lennar.comclass=
Under construction,"$507,499",4.0,3.5,2791.0,"280 Kennerly Center Drive, Mooresville, NC",Hunter in Gambill Forest,https://www.lennar.comclass=
Under construction,"$471,939",4.0,3.0,2762.0,"4816 Maiden Creek Way, Maiden, NC",Dorchester in Shannon Woods,https://www.lennar.comclass=
Under construction,"$503,959",4.0,2.5,2201.0,"357 Runner Stone Lane, Fort Mill, SC",Sweetbay in Elizabeth,https://www.lennar.comclass=
Under construction,"$430,769",3.0,2.5,2110.0,"4821 Maiden Creek Way, Maiden, NC",Dover in Shannon Woods,https://www.lennar.comclass=
Under construction,"$388,079",3.0,2.5,1708.0,"6025 Chelsea Oaks Ridge, Tega Cay, SC",Carlton in Windhaven,https://www.lennar.comclass=
Under construction,"$363,299",5.0,2.5,2213.0,"198 Brentwood Drive, Statesville, NC",Dickenson in Greenbriar,https://www.lennar.comclass=
Under construction,"$354,479",3.0,2.5,1631.0,"6023 Chelsea Oaks Ridge, Tega Cay, SC",Abbey in Windhaven,https://www.lennar.comclass=
Under construction,"$432,019",3.0,2.5,2082.0,"4822 Maiden Creek Way, Maiden, NC",Dover in Shannon Woods,https://www.lennar.comclass=
Under construction,"$358,859",3.0,2.5,1708.0,"6019 Chelsea Oaks Ridge, Tega Cay, SC",Carlton in Windhaven,https://www.lennar.comclass=
Under construction,"$449,999",3.0,2.5,4200.0,"257 White Apple Way, Statesville, NC",Dover Basement in Bell Farm,https://www.lennar.comclass=
Under construction,"$538,299",5.0,4.5,3576.0,"117 Kelham Lane, Mooresville, NC",Fairfield in Gambill Forest,https://www.lennar.comclass=
Under construction,"$486,339",5.0,3.5,2659.0,"291 Kennerly Center Drive, Mooresville, NC",Greenway in Gambill Forest,https://www.lennar.comclass=
Under construction,"$360,359",3.0,2.5,1708.0,"8009 Scarlet Maple Lane, Tega Cay, SC",Carlton in Windhaven,https://www.lennar.comclass=
Coming soon,"$439,499",3.0,2.5,1735.0,"15826 Capps Road, Charlotte, NC",Crestwind in Brightwater,https://www.lennar.comclass=
Coming soon,"$469,499",4.0,2.5,2201.0,"15822 Capps Road, Charlotte, NC",Sweetbay in Brightwater,https://www.lennar.comclass=
Coming soon,"$467,499",4.0,2.5,2201.0,"15830 Capps Road, Charlotte, NC",Sweetbay in Brightwater,https://www.lennar.comclass=
Coming soon,"$465,499",4.0,2.5,2118.0,"15818 Capps Road, Charlotte, NC",Westover in Brightwater,https://www.lennar.comclass=
Coming soon,"$463,499",4.0,2.5,2098.0,"15904 Capps Road, Charlotte, NC",Westover in Brightwater,https://www.lennar.comclass=
Coming soon,"$481,499",5.0,3.5,3269.0,"202 Hamptons Cove Road, Troutman, NC",Davidson in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$481,499",4.0,3.0,2798.0,"107 Troutline Court, Troutman, NC",Dorchester in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$450,999",4.0,2.5,2753.0,"106 Troutline Court, Troutman, NC",Durham in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$467,999",4.0,3.5,2946.0,"200 Hamptons Cove Road, Troutman, NC",Forsyth in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$559,999",6.0,5.5,4117.0,"105 Troutline Court, Troutman, NC",Granville in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$443,499",4.0,3.5,2659.0,"184 Hamptons Cove Road, Troutman, NC",Greenway in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$508,999",5.0,4.5,3272.0,"110 Troutline Court, Troutman, NC",Grisham in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$462,000",4.0,3.5,2791.0,"192 Hamptons Cove Road, Troutman, NC",Hunter in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$440,499",4.0,3.5,2713.0,"196 Hamptons Cove Road, Troutman, NC",Inlet in Falls Cove at Lake Norman,https://www.lennar.comclass=
Coming soon,"$339,999",4.0,2.5,1955.0,"103 Hazelnut Way, Statesville, NC",Crane in Greenbriar,https://www.lennar.comclass=
Coming soon,"$380,359",5.0,3.0,2577.0,"187 Brentwood Drive, Statesville, NC",Frost in Greenbriar,https://www.lennar.comclass=
Coming soon,Mid $400K,3.0,2.5,2006.0,"5836 Soft Shell Drive, Lancaster, SC",Bradley in Walnut Creek,https://www.lennar.comclass=
Coming soon,"$485,779",4.0,2.5,2654.0,"274 Kennerly Center Drive, Mooresville, NC",Durham in Gambill Forest,https://www.lennar.comclass=
Coming soon,"$572,899",6.0,5.5,4068.0,"281 Kennerly Center Drive, Mooresville, NC",Granville in Gambill Forest,https://www.lennar.comclass=
