Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$309,330",3.0,2.0,1520.0,"181 FOX RAE DRIVE, Conway, SC",DOVER in Fieldview,https://www.lennar.comclass=
Move-in ready,"$271,045",3.0,2.0,1520.0,"540 HAVASU STREET, Little River, SC",DOVER in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$359,620",3.0,2.0,1748.0,"159 ALBATROSS WAY, Myrtle Beach, SC",LITCHFIELD II in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$314,935",3.0,2.0,1772.0,"208 AUGUSTA GREEN WAY, Myrtle Beach, SC",ST PHILLIPS in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$277,090",4.0,2.0,1779.0,"532 Havasu Street, Little River, SC",HARRISBURG in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$277,090",4.0,2.0,1779.0,"548 HAVASU STREET, Little River, SC",HARRISBURG in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$245,730",3.0,2.0,1520.0,"543 APPALOOSA WAY, Conway, SC",DOVER in Saddle Ridge,https://www.lennar.comclass=
Move-in ready,"$275,045",3.0,2.0,1520.0,"552 HAVASU STREET, Little River, SC",DOVER in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$308,210",5.0,2.5,2343.0,"1009 SENTINEL COURT, Little River, SC",COLUMBIA in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$276,095",5.0,2.5,2343.0,"539 APPALOOSA WAY, Conway, SC",COLUMBIA in Saddle Ridge,https://www.lennar.comclass=
Move-in ready,"$246,430",3.0,2.0,1520.0,"519 APPALOOSA WAY, Conway, SC",DOVER in Saddle Ridge,https://www.lennar.comclass=
Move-in ready,"$373,840",3.0,2.0,2008.0,"169 New Paradise Way, Myrtle Beach, SC",MUIRWOOD in Arcadia,https://www.lennar.comclass=
Move-in ready,"$268,000",3.0,3.0,1437.0,"5026 Georgetown Drive, Myrtle Beach, SC",BLAKELY in Forestbrook Estates,https://www.lennar.comclass=
Move-in ready,"$318,000",3.0,2.0,1772.0,"235 AUGUSTA GREEN WAY, Myrtle Beach, SC",ST PHILLIPS in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$256,290",4.0,2.0,1779.0,"133 SADDLE STREET, Conway, SC",HARRISBURG in Saddle Ridge,https://www.lennar.comclass=
Move-in ready,"$287,445",3.0,2.0,1520.0,"1015 SENTINEL COURT, Little River, SC",DOVER in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$375,960",3.0,2.0,1748.0,"227 AUGUSTA GREEN WAY, Myrtle Beach, SC",LITCHFIELD II in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$373,440",3.0,2.0,2008.0,"178 New Paradise Way, Myrtle Beach, SC",MUIRWOOD in Arcadia,https://www.lennar.comclass=
Move-in ready,"$320,000",3.0,2.0,1772.0,"238 AUGUSTA GREEN WAY, Myrtle Beach, SC",ST PHILLIPS in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$373,640",3.0,2.0,2008.0,"194 New Paradise Way, Myrtle Beach, SC",MUIRWOOD in Arcadia,https://www.lennar.comclass=
Move-in ready,"$311,945",5.0,2.5,2343.0,"8180 FOREST EDGE DRIVE, Myrtle Beach, SC",COLUMBIA in Forestbrook Estates,https://www.lennar.comclass=
Move-in ready,"$265,750",3.0,3.0,1437.0,"5027 Georgetown Drive, Myrtle Beach, SC",BLAKELY in Forestbrook Estates,https://www.lennar.comclass=
Move-in ready,"$329,490",4.0,2.0,1779.0,"1005 SENTINEL COURT, Little River, SC",HARRISBURG in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$286,700",4.0,2.0,1886.0,"773 WAPAMA STREET, Little River, SC",HARTFORD in Waterfall Villages,https://www.lennar.comclass=
Move-in ready,"$342,020",3.0,2.0,1772.0,"251 AUGUSTA GREEN WAY, Myrtle Beach, SC",ST PHILLIPS in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$324,635",5.0,2.5,2343.0,"153 RIVER VISTA WAY, Myrtle Beach, SC",COLUMBIA in Cooper's Bluff,https://www.lennar.comclass=
Move-in ready,"$324,635",5.0,2.5,2343.0,"127 RIVER VISTA WAY, Myrtle Beach, SC",COLUMBIA in Cooper's Bluff,https://www.lennar.comclass=
Move-in ready,"$324,045",3.0,2.0,1520.0,"123 RIVER VISTA WAY, Myrtle Beach, SC",DOVER in Cooper's Bluff,https://www.lennar.comclass=
Move-in ready,"$389,155",3.0,2.0,2008.0,"8866 NASHVILLE DR NW, Calabash, NC",MUIRWOOD in Brunswick Plantation,https://www.lennar.comclass=
Move-in ready,"$307,070",4.0,2.0,1886.0,"119 RIVER VISTA WAY, Myrtle Beach, SC",HARTFORD in Cooper's Bluff,https://www.lennar.comclass=
Move-in ready,"$363,635",5.0,2.5,2343.0,"115 RIVER VISTA WAY, Myrtle Beach, SC",COLUMBIA in Cooper's Bluff,https://www.lennar.comclass=
Move-in ready,"$401,055",3.0,2.0,1748.0,"9061 LITTLE OSPREY DR, Calabash, NC",LITCHFIELD II in Beach Walk,https://www.lennar.comclass=
Move-in ready,"$314,945",5.0,2.5,2343.0,"8191 FOREST EDGE DRIVE, Myrtle Beach, SC",COLUMBIA in Forestbrook Estates,https://www.lennar.comclass=
Move-in ready,"$414,260",5.0,3.5,2449.0,"247 AUGUSTA GREEN WAY, Myrtle Beach, SC",KENSINGTON in Hidden Pines,https://www.lennar.comclass=
Move-in ready,"$299,670",3.0,2.5,1616.0,"156 WATER DEER WAY, Surfside Beach, SC",SAVANNAH in Beach Village,https://www.lennar.comclass=
Under construction,"$347,445",5.0,2.5,2343.0,"8188 FOREST EDGE DRIVE, Myrtle Beach, SC",COLUMBIA in Forestbrook Estates,https://www.lennar.comclass=
Under construction,"$321,280",5.0,2.5,2343.0,"140 WATER DEER WAY, Surfside Beach, SC",COLUMBIA in Beach Village,https://www.lennar.comclass=
Under construction,"$298,030",3.0,2.0,1520.0,"136 WATER DEER WAY, Surfside Beach, SC",DOVER in Beach Village,https://www.lennar.comclass=
Under construction,"$347,575",4.0,2.5,2526.0,"153 WATER DEER WAY, Surfside Beach, SC",PROVIDENCE in Beach Village,https://www.lennar.comclass=
Under construction,"$350,585",3.0,2.0,1772.0,"9053 LITTLE OSPREY DR, Calabash, NC",ST PHILLIPS in Beach Walk,https://www.lennar.comclass=
