Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$547,400",4.0,3.0,2252.0,"4010 SW Quartz Pl, Redmond, OR",Del Rey in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$595,400",4.0,3.0,2634.0,"4056 SW Quartz Pl, Redmond, OR",Burlington in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$599,900",4.0,3.0,2837.0,"4014 SW Quartz Ave, Redmond, OR",Kensington in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$662,400",4.0,3.0,2837.0,"4026 SW Quartz Ave, Redmond, OR",Kensington in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$566,400",5.0,3.0,2268.0,"4068 SW Quartz Pl, Redmond, OR",Arlington in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$574,400",4.0,3.0,2252.0,"4080 SW Quartz Pl, Redmond, OR",Del Rey in Summerhaven,https://www.lennar.comclass=
Move-in ready,"$629,400",4.0,3.0,2634.0,"4092 SW Quartz Pl, Redmond, OR",Burlington in Summerhaven,https://www.lennar.comclass=
Under construction,"$640,900",4.0,2.5,2288.0,"63288 NE Peale St, Bend, OR",Ashland in Acadia Pointe,https://www.lennar.comclass=
Under construction,"$667,900",4.0,2.5,2479.0,"63277 NE Peale St., Bend, OR",Magnolia in Acadia Pointe,https://www.lennar.comclass=
Under construction,"$592,900",3.0,2.5,1495.0,"63280 NE Peale St, Bend, OR",Avery in Acadia Pointe,https://www.lennar.comclass=
Under construction,"$634,900",4.0,2.5,2304.0,"63273 NE Peale St., Bend, OR",Hickory in Acadia Pointe,https://www.lennar.comclass=
Under construction,"$658,400",4.0,3.0,2341.0,"63265 NE Peale St, Bend, OR",Jade in Acadia Pointe,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/bend/acadia-pointe/cypress
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/bend/acadia-pointe/larwood
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/bend/acadia-pointe/leverich
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/redmond/summerhaven/cameron
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/redmond/summerhaven/endicott
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/redmond/summerhaven/jade
Future release,,,,,,,https://www.lennar.com/new-homes/oregon/central-oregon/redmond/summerhaven/trenton
