Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$257,110",3.0,2.5,1905.0,"110 PINE GATE DR, Summerville, SC",MORGAN in Central Avenue Townhomes,https://www.lennar.comclass=
Move-in ready,"$328,130",3.0,2.5,2400.0,"1441 CENTRAL AVE, Summerville, SC",THATCHER in Central Avenue Townhomes,https://www.lennar.comclass=
Move-in ready,"$457,085",4.0,3.0,2695.0,"1095 Fitzgerald Ct, Summerville, SC",CONYERS II in Sweetgrass at Summers Corner,https://www.lennar.comclass=
Move-in ready,"$361,435",3.0,2.0,1921.0,"1212 Darling St, Summerville, SC",COLLINS in Horizons at Summers Corner,https://www.lennar.comclass=
Move-in ready,"$267,665",3.0,2.5,1687.0,"8064 Reagan Way, North Charleston, SC",BRADY in Willow Bend Townhomes,https://www.lennar.comclass=
Move-in ready,"$284,460",3.0,2.5,1796.0,"8060 Reagan Way, North Charleston, SC",CARSON in Willow Bend Townhomes,https://www.lennar.comclass=
Move-in ready,"$278,350",4.0,3.0,2130.0,"1465 CENTRAL AVE, Summerville, SC",DRAYTON in Central Avenue Townhomes,https://www.lennar.comclass=
Move-in ready,"$256,500",3.0,2.5,1905.0,"1463 CENTRAL AVE, Summerville, SC",MORGAN in Central Avenue Townhomes,https://www.lennar.comclass=
Move-in ready,"$280,185",3.0,2.5,1687.0,"4107 Quincy Adams Lane, North Charleston, SC",BRADY in Willow Bend Townhomes,https://www.lennar.comclass=
Move-in ready,"$255,455",3.0,2.5,1897.0,"124 PINE GATE DR, Summerville, SC",MORGAN in Central Avenue Townhomes,https://www.lennar.comclass=
Move-in ready,"$262,890",3.0,2.5,1687.0,"8054 Reagan Way, North Charleston, SC",BRADY in Willow Bend Townhomes,https://www.lennar.comclass=
Move-in ready,"$362,025",4.0,2.5,2185.0,"2129 Longhorn Ln, Summerville, SC",PRIMROSE in Sweetgrass at Summers Corner,https://www.lennar.comclass=
Move-in ready,"$333,670",3.0,2.0,1430.0,"1010 Fitzgerald Ct, Summerville, SC",PALMETTO in Sweetgrass at Summers Corner,https://www.lennar.comclass=
Under construction,"$431,635",4.0,2.5,2464.0,"89 RED BLUFF STREET, Summerville, SC",HANOVER in Limehouse Village,https://www.lennar.comclass=
Under construction,"$450,386",6.0,4.5,3493.0,"204 CAMELLIA BLOOM DRIVE, Moncks Corner, SC",FULTON in Cypress Preserve,https://www.lennar.comclass=
Under construction,"$373,220",4.0,2.5,2464.0,"214 RED BLUFF STREET, Summerville, SC",HANOVER in Limehouse Village,https://www.lennar.comclass=
Under construction,"$548,950",5.0,3.5,3110.0,"221 ASHWORTH DRIVE, Summerville, SC",WINSTON in Carnes Crossroads,https://www.lennar.comclass=
Under construction,"$374,642",4.0,2.5,2185.0,"193 CAMELLIA BLOOM DRIVE, Moncks Corner, SC",PRIMROSE in Cypress Preserve,https://www.lennar.comclass=
Under construction,"$368,764",4.0,2.5,2014.0,"209 CAMELLIA BLOOM DRIVE, Moncks Corner, SC",SWEETGRASS in Cypress Preserve,https://www.lennar.comclass=
Under construction,"$371,730",3.0,2.0,1715.0,"1224 Darling St, Summerville, SC",OSPREY in Horizons at Summers Corner,https://www.lennar.comclass=
