Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$328,999",3.0,2.0,1606.0,"421 Layup Circle, Elgin, SC",Bedford in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$323,999",3.0,2.0,1620.0,"418 Layup Circle, Elgin, SC",Bedford in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$323,999",3.0,2.0,1633.0,"154 Backspin Drive, Elgin, SC",Castleford in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$361,999",3.0,3.0,2540.0,"401 Layup Circle, Elgin, SC",Cambridge in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$244,999",3.0,2.5,1955.0,"298 Burbage Ct, Hopkins, SC",Crane in Champions Ridge,https://www.lennar.comclass=
Move-in ready,"$203,999",3.0,2.5,1485.0,"159 D Triumph Ave, Lugoff, SC",Aspen in Village at Boulware Townhomes,https://www.lennar.comclass=
Move-in ready,"$280,999",3.0,2.5,1938.0,"428 Windy Farm Rd, Gilbert, SC",Blake in Windy Farms,https://www.lennar.comclass=
Move-in ready,"$268,999",4.0,2.5,2446.0,"427 Wheatley Street, Gilbert, SC",Camden in Palmetto Village,https://www.lennar.comclass=
Move-in ready,"$199,999",3.0,2.5,1470.0,"1221 B Champions Rest Rd, Lugoff, SC",Cedar in Village at Boulware Townhomes,https://www.lennar.comclass=
Move-in ready,"$273,999",3.0,2.5,1778.0,"432 Windy Farm Rd, Gilbert, SC",Bishop in Windy Farms,https://www.lennar.comclass=
Move-in ready,"$419,999",4.0,3.0,2776.0,"434 Layup Circle, Elgin, SC",Dorchester in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$306,999",4.0,3.5,2934.0,"227 Broom Street, Gilbert, SC",Forsyth in Palmetto Village,https://www.lennar.comclass=
Move-in ready,"$376,999",3.0,3.0,2429.0,"170 Backspin Drive, Elgin, SC",Beacon in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Move-in ready,"$292,999",4.0,2.5,2806.0,"423 Wheatley Street, Gilbert, SC",Edgecomb in Palmetto Village,https://www.lennar.comclass=
Move-in ready,"$290,999",4.0,2.5,1955.0,"9 Parkwood Court, Camden, SC",Crane in Meadow Springs,https://www.lennar.comclass=
Move-in ready,"$314,999",4.0,2.5,2386.0,"407 Windy Farm Rd, Gilbert, SC",Hughes in Windy Farms,https://www.lennar.comclass=
Move-in ready,"$296,999",3.0,2.0,1592.0,"5 Parkwood Court, Camden, SC",Bedford in Meadow Springs,https://www.lennar.comclass=
Move-in ready,"$317,999",5.0,3.0,2577.0,"13 Parkwood Court, Camden, SC",Frost in Meadow Springs,https://www.lennar.comclass=
Move-in ready,"$309,999",4.0,2.5,2169.0,"221 Shadowbrook Way, Camden, SC",Westbury Basement in Friendship Hill Farms,https://www.lennar.comclass=
Move-in ready,"$303,999",5.0,2.5,2213.0,"30 Parkwood Court, Camden, SC",Dickenson in Meadow Springs,https://www.lennar.comclass=
Under construction,"$301,844",4.0,2.5,1955.0,"111 Jacobs Drive, Columbia, SC",Crane in Jabay Estates,https://www.lennar.comclass=
Under construction,"$506,019",4.0,3.0,2798.0,"417 Layup Circle, Elgin, SC",Dorchester in Woodcreek Farms - Northwoods Villas,https://www.lennar.comclass=
Under construction,"$318,459",5.0,2.5,2306.0,"38 Parkwood Court, Camden, SC",Emerson in Meadow Springs,https://www.lennar.comclass=
Under construction,"$300,159",4.0,2.5,2157.0,"437 Windy Farm Rd, Gilbert, SC",Browning in Windy Farms,https://www.lennar.comclass=
Under construction,"$338,399",4.0,2.5,2642.0,"422 Wheatley Street, Gilbert, SC",Durham in Palmetto Village,https://www.lennar.comclass=
Under construction,"$367,099",4.0,2.5,2169.0,"241 Shadowbrook Way, Camden, SC",Westbury Basement in Friendship Hill Farms,https://www.lennar.comclass=
Coming soon,Low $300K,4.0,2.5,1955.0,"124 Winding Pine Court, Elgin, SC",Crane in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,4.0,2.5,1955.0,"117 Winding Pine Court, Elgin, SC",Crane in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,4.0,2.5,1955.0,"121 Winding Pine Court, Elgin, SC",Crane in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,5.0,2.5,2213.0,"104 Winding Pine Court, Elgin, SC",Dickenson in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,5.0,2.5,2213.0,"109 Winding Pine Court, Elgin, SC",Dickenson in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,5.0,2.5,2306.0,"100 Winding Pine Court, Elgin, SC",Emerson in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,5.0,2.5,2306.0,"116 Winding Pine Court, Elgin, SC",Emerson in Chestnut Place,https://www.lennar.comclass=
Coming soon,Mid $300K,5.0,3.0,2577.0,"113 Winding Pine Court, Elgin, SC",Frost in Chestnut Place,https://www.lennar.comclass=
Coming soon,Low $300K,5.0,2.5,2306.0,"10 Parkwood Court, Camden, SC",Emerson in Meadow Springs,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/hopkins/champions-ridge/dickenson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/hopkins/champions-ridge/emerson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/hopkins/champions-ridge/frost
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/bedford
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/camden
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/durham
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/forsyth
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/grisham
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/friendship-hill-farms/inlet
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/columbia/jabay-estates/dickenson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/west-columbia/lanier-estates/calhoun
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/west-columbia/lanier-estates/henderson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/west-columbia/lanier-estates/lexington
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/west-columbia/lanier-estates/richland
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/gilbert/palmetto-village/bedford
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/gilbert/palmetto-village/grisham
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/gilbert/palmetto-village/inlet
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/bedford
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/brunswick
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/camden
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/durham
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/edgecomb
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/forsyth
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/grisham
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/camden/pickett-thomas/inlet
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lexington/platt-springs/calhoun
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lexington/platt-springs/lexington
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lexington/platt-springs/richland
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lugoff/quail-creek/crane
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lugoff/quail-creek/dickenson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lugoff/quail-creek/emerson
Future release,,,,,,,https://www.lennar.com/new-homes/south-carolina/columbia/lugoff/quail-creek/frost
