Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$249,490",3.0,2.0,1450.0,"350 Gypsum Valley, San Marcos, TX",Weyburn in Sunset Oaks,https://www.lennar.comclass=
Move-in ready,"$297,999",4.0,2.5,1950.0,"241 STANDING ROCK LANE, Marble Falls, TX",Ridley in Thunder Rock,https://www.lennar.comclass=
Move-in ready,"$641,090",3.0,3.5,1829.0,"4412-A Tilley Street, Austin, TX",Perry in Mueller,https://www.lennar.comclass=
Move-in ready,"$387,990",4.0,2.5,1950.0,"14117 Berning Road, Pflugerville, TX",Ridley in Greenwood,https://www.lennar.comclass=
Move-in ready,"$199,999",3.0,2.0,1450.0,"229 Texas Angel Way, Jarrell, TX",Weyburn in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$268,990",4.0,2.0,1879.0,"14221 Mussel Run, Elgin, TX",Rosedale in Elm Creek,https://www.lennar.comclass=
Move-in ready,"$499,990",4.0,2.5,2500.0,"1624 Frontenac Street, Leander, TX",Hudson in Devine Lake,https://www.lennar.comclass=
Move-in ready,"$279,990",4.0,2.0,1879.0,"14204 Mussel Run, Elgin, TX",Rosedale in Elm Creek,https://www.lennar.comclass=
Move-in ready,"$699,990",4.0,2.5,2361.0,"201 Olivia Drive, Austin, TX",Castell in Rough Hollow,https://www.lennar.comclass=
Move-in ready,"$686,525",3.0,2.5,1708.0,"205 Olivia Drive, Austin, TX",Torre in Rough Hollow,https://www.lennar.comclass=
Move-in ready,"$397,990",4.0,3.0,2022.0,"612 WATERWAY AVENUE, Hutto, TX",Duff in Cotton Brook,https://www.lennar.comclass=
Move-in ready,"$525,990",5.0,3.5,2956.0,"1628 Frontenac Street, Leander, TX",Hudson II in Devine Lake,https://www.lennar.comclass=
Move-in ready,"$299,990",4.0,2.5,1874.0,"14224 Tordillo Drive, Elgin, TX",Selsey in Elm Creek,https://www.lennar.comclass=
Move-in ready,"$499,990",4.0,2.5,2500.0,"1540 Cobblecrest Lane, Leander, TX",Hudson in Devine Lake,https://www.lennar.comclass=
Move-in ready,"$274,990",3.0,2.0,1474.0,"14220 Tordillo Drive, Elgin, TX",Gannes in Elm Creek,https://www.lennar.comclass=
Move-in ready,"$302,990",4.0,2.0,1667.0,"14112 Mussel Run, Elgin, TX",Nettleton in Elm Creek,https://www.lennar.comclass=
Move-in ready,"$404,990",5.0,3.5,2532.0,"606 WATERWAY AVENUE, Hutto, TX",Brock in Cotton Brook,https://www.lennar.comclass=
Move-in ready,"$254,990",3.0,2.0,1440.0,"345 The Bad Way, Jarrell, TX",Durbin in Eastwood at Sonterra,https://www.lennar.comclass=
Move-in ready,"$248,990",3.0,2.0,1450.0,"154 Gabbro Gardens, San Marcos, TX",Weyburn in Sunset Oaks,https://www.lennar.comclass=
Move-in ready,"$394,990",3.0,3.5,2104.0,"610 WATERWAY AVENUE, Hutto, TX",Ames in Cotton Brook,https://www.lennar.comclass=
Move-in ready,"$199,999",3.0,2.0,1450.0,"205 Texas Angel Way, Jarrell, TX",Weyburn in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$209,999",3.0,2.0,1450.0,"212 Texas Angel Way, Jarrell, TX",Cambria in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$383,715",4.0,2.5,2533.0,"148 Maravillas Bend, Bastrop, TX",Riviera in The Colony,https://www.lennar.comclass=
Move-in ready,"$369,245",4.0,3.5,2363.0,"142 Maravillas Bend, Bastrop, TX",Winsdale in The Colony,https://www.lennar.comclass=
Move-in ready,"$716,350",3.0,3.0,2037.0,"6120 Cuchara Bend, Austin, TX",Underwood in Sweetwater - Madrone Ridge,https://www.lennar.comclass=
Move-in ready,"$340,890",3.0,2.5,1857.0,"111 ALLEGRO DRIVE, Hutto, TX",Windyhill in Cotton Brook,https://www.lennar.comclass=
Move-in ready,"$774,405",3.0,3.5,2247.0,"3115 SORIN STREET, Austin, TX",McKinney in Mueller,https://www.lennar.comclass=
Move-in ready,"$796,990",3.0,3.5,2247.0,"3119 SORIN STREET, Austin, TX",McKinney in Mueller,https://www.lennar.comclass=
Move-in ready,"$212,000",3.0,2.5,1360.0,"605 MARTY ALLEN LOOP, Jarrell, TX",Pima in Cielo Gardens,https://www.lennar.comclass=
Move-in ready,"$774,405",3.0,3.5,2285.0,"3109 SORIN STREET, Austin, TX",McKinney in Mueller,https://www.lennar.comclass=
Move-in ready,"$256,990",4.0,2.0,1627.0,"829 Rancho Del Cielo Loop, Jarrell, TX",Drexel in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$235,990",3.0,2.0,1440.0,"821 Rancho Del Cielo Loop, Jarrell, TX",Durbin in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$231,990",3.0,2.0,1266.0,"833 Rancho Del Cielo Loop, Jarrell, TX",Rundle in Rancho Del Cielo,https://www.lennar.comclass=
Move-in ready,"$284,990",4.0,2.0,1627.0,"332 Amber Glen, San Marcos, TX",Drexel in Sunset Oaks,https://www.lennar.comclass=
Move-in ready,"$316,990",4.0,2.5,1950.0,"324 Amber Glen, San Marcos, TX",Ridley in Sunset Oaks,https://www.lennar.comclass=
Move-in ready,"$211,000",3.0,2.5,1360.0,"444 MARTY ALLEN LOOP, Jarrell, TX",Pima in Cielo Gardens,https://www.lennar.comclass=
Move-in ready,"$351,990",3.0,2.0,1645.0,"502 ARNAGE DRIVE, Hutto, TX",Avery in Cotton Brook,https://www.lennar.comclass=
Move-in ready,"$333,720",3.0,2.0,1440.0,"333 The Bad Way, Jarrell, TX",Durbin in Eastwood at Sonterra,https://www.lennar.comclass=
